sample_id,ticker,name,reference_date,weekly_stage_at_reference,human_label,range_position_24m,drawdown_from_12m_high,ma_alignment_score,monthly_down_month_ratio_12m,higher_monthly_low_count_12m,post_breakout_min_low_vs_level_pct_26w,close_vs_wma200_pct,distance_to_prior_26w_high_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,recent_5d_max_gap_abs_pct,atr_14_pct
011200_20221223,011200,HMM,2022-12-23,WATCH,TOO_EARLY,0.262483994878361,-0.4077025232403718,-1.0,0.4166666666666667,4.0,,0.2686886757842701,-0.2036697247706421,7.0,-0.0045628834355828,-0.0588795618265165,0.0155902004454342,0.0357142857142857
011210_20180629,011210,현대위아,2018-06-29,WATCH,TOO_EARLY,0.0274841437632135,-0.3525641025641025,-1.0,0.75,3.0,,,-0.389055472263868,4.0,-0.0093152266277596,-0.0829621249617006,0.0116822429906542,0.030236634531113
011330_20260327,011330,유니켐,2026-03-27,WATCH,NO_SETUP,0.0425531914893617,-0.3892120571126388,-1.0,0.6666666666666666,4.0,,-0.5192785863475118,-0.5382165605095541,5.0,-0.0080796718747856,-0.1291808781332899,0.0518134715025906,0.0838423645320197
012170_20250328,012170,아센디오,2025-03-28,WATCH,NO_SETUP,0.011441647597254,-0.8576732673267327,-1.0,0.75,3.0,,,0.0873786407766989,4.0,0.0642610837438424,0.569811216170649,0.0903426791277257,0.1466654518950437
012450_20230630,012450,한화에어로스페이스,2023-06-30,TREND,GOOD_TRIGGER,0.8135394641696644,-0.1356728028345366,1.0,0.0833333333333333,8.0,0.0324668955370279,1.5269275983848551,-0.1356728028345366,6.0,0.0181837697139786,0.1247437814392213,0.0119131965494825,0.052310611939822
032580_20260327,032580,피델릭스,2026-03-27,WATCH,TOO_EARLY,0.0621650589496248,-0.2805280528052805,-1.0,0.5833333333333334,6.0,,-0.1960828886170676,-0.2348901098901099,7.0,-0.0017018212760386,-0.0391801780455606,0.038843721770551,0.0456527314696075
032820_20251226,032820,우리기술,2025-12-26,SETUP,GOOD_TRIGGER,0.6024429592071906,-0.3080357142857143,1.0,0.4166666666666667,7.0,,0.7383029190099086,-0.3508928571428571,6.0,0.0124710123008671,0.028117300352674,0.019736842105263,0.0366476714482216
032820_20260327,032820,우리기술,2026-03-27,TREND,TOO_LATE,0.911417888984757,-0.0825737265415549,1.0,0.3333333333333333,8.0,-0.094188376753507,7.302524109252701,-0.2251655629139073,10.0,0.0746602734418244,0.6283355898152598,0.0664136622390891,0.1425518925518925
034220_20200925,034220,LG디스플레이,2020-09-25,WATCH,FALSE_TRIGGER,0.4243512974051896,-0.1309891808346213,-1.0,0.5,6.0,-0.0569745942614531,-0.307140670413443,-0.1282568923096334,10.0,0.0017953181832313,0.1213374345335838,0.0188486663037561,0.0403562640861815
036170_20251226,036170,에이치엠넥스,2025-12-26,SETUP,GOOD_TRIGGER,0.3566878980891719,-0.188785046728972,0.0,0.5,5.0,,-0.1441548402742342,-0.1487437185929648,5.0,-0.0009497277447132,-0.0333951096169869,0.0046296296296295,0.0197335132400067
