date,ticker,foreign_net_buy_value,foreign_buy_value,foreign_sell_value
2026-05-13,004250,-97289270.0,11608135.0,108897405.0
2026-05-13,004255,-283155.0,0.0,283155.0
2026-05-13,004270,10736180.0,11377100.0,640920.0
2026-05-13,004310,-289127640.0,941778945.0,1230906585.0
2026-05-13,004360,131612725.0,630904695.0,499291970.0
2026-05-13,004365,23324260.0,46646640.0,23322380.0
2026-05-13,004370,-532141750.0,5938637250.0,6470779000.0
2026-05-13,004380,554209970.0,1372252620.0,818042650.0
2026-05-13,004430,-165467270.0,773797230.0,939264500.0
2026-05-13,004440,-58597920.0,49307200.0,107905120.0
2026-05-13,004450,1993550.0,2565100.0,571550.0
2026-05-13,004490,476205000.0,1344567700.0,868362700.0
2026-05-13,0044K0,1119360.0,1137450.0,18090.0
2026-05-13,004540,-14839777.0,16116597.0,30956374.0
2026-05-13,004545,0.0,0.0,0.0
2026-05-13,004560,437776655.0,3346772110.0,2908995455.0
2026-05-13,004590,-225418310.0,207010020.0,432428330.0
2026-05-13,004650,-82594495.0,100195510.0,182790005.0
2026-05-13,004690,-1120197500.0,420414800.0,1540612300.0
2026-05-13,004700,18354300.0,33668400.0,15314100.0
2026-05-13,004710,-689835155.0,17237507220.0,17927342375.0
2026-05-13,004720,-73217928.0,69065997.0,142283925.0
2026-05-13,004770,70509140.0,167588575.0,97079435.0
2026-05-13,004780,-22817370.0,14314410.0,37131780.0
2026-05-13,004800,-143840250.0,6073273750.0,6217114000.0
2026-05-13,004830,-97562835.0,36518145.0,134080980.0
2026-05-13,004835,-5287840.0,4210800.0,9498640.0
2026-05-13,004840,18462150.0,33484210.0,15022060.0
2026-05-13,004870,5772087.0,73056881.0,67284794.0
2026-05-13,004890,3413800.0,4194300.0,780500.0
2026-05-13,004910,-23791565.0,23575575.0,47367140.0
2026-05-13,004920,-9509755.0,65693988.0,75203743.0
2026-05-13,004960,-234817355.0,595101640.0,829918995.0
2026-05-13,004970,-9728100.0,20905070.0,30633170.0
2026-05-13,004980,-72850880.0,791857870.0,864708750.0
2026-05-13,004985,1968140.0,6356840.0,4388700.0
2026-05-13,004990,-2470679225.0,2791484175.0,5262163400.0
2026-05-13,00499K,-600050.0,5090250.0,5690300.0
2026-05-13,005010,386869615.0,4543521255.0,4156651640.0
2026-05-13,005070,-951644700.0,4069381150.0,5021025850.0
2026-05-13,005090,49899950.0,1936920950.0,1887021000.0
2026-05-13,005160,-76629620.0,185363920.0,261993540.0
2026-05-13,005180,132800350.0,987606650.0,854806300.0
2026-05-13,005250,-4237913080.0,6190726410.0,10428639490.0
2026-05-13,005290,6831216850.0,14465306150.0,7634089300.0
2026-05-13,005300,-579736850.0,459560500.0,1039297350.0
2026-05-13,005305,-58764500.0,20802700.0,79567200.0
2026-05-13,005360,8095992.0,25398989.0,17302997.0
2026-05-13,005380,199969819500.0,689135748700.0,489165929200.0
2026-05-13,005385,9721369750.0,29199741500.0,19478371750.0
2026-05-13,005387,21827073250.0,45985826750.0,24158753500.0
2026-05-13,005389,2515843250.0,5095010000.0,2579166750.0
2026-05-13,005420,-295775070.0,1102475680.0,1398250750.0
2026-05-13,005430,-57477200.0,154548200.0,212025400.0
2026-05-13,005440,-192060510.0,1772760950.0,1964821460.0
2026-05-13,005490,-4057200000.0,77174740420.0,81231940420.0
2026-05-13,0054V0,40600.0,40600.0,0.0
2026-05-13,005500,9228215.0,96024885.0,86796670.0
2026-05-13,005610,-280215450.0,43053600.0,323269050.0
2026-05-13,005670,28951670.0,197255780.0,168304110.0
2026-05-13,005680,-46155410.0,280383100.0,326538510.0
2026-05-13,005690,-3282067685.0,4188956440.0,7471024125.0
2026-05-13,005710,259643105.0,320309350.0,60666245.0
2026-05-13,005720,-17965920.0,48445360.0,66411280.0
