ticker,name,market,entry_execution_date,entry_open_price,pattern_a_stage_at_entry,coverage_path,policy_a_status,policy_a_exit_reason,policy_a_terminal_return_pct,policy_a_terminal_giveback_pct,policy_b_status,policy_b_exit_reason,policy_b_terminal_return_pct,policy_b_terminal_giveback_pct,paired_return_delta_pct,paired_giveback_delta_pct,exit4_triggered,policy_b_better,policy_b_equal,policy_b_worse
094800,맵스리얼티,KOSPI,2024-12-09,4290.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,63.17,27.74,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,37.53,53.38,-25.64,25.64,True,False,False,True
094820,일진파워,KOSDAQ,2026-01-19,14260.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,-10.52,82.33,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-2.31,74.12,8.21,-8.21,True,True,False,False
094840,슈프리마에이치큐,KOSDAQ,2026-04-20,9160.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,36.03,34.28,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,36.03,34.28,0.0,0.0,False,False,True,False
095340,ISC,KOSDAQ,2025-01-06,72000.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,124.03,182.22,OPEN_AT_CUTOFF,,124.03,182.22,0.0,0.0,False,False,True,False
095570,AJ네트웍스,KOSPI,2025-11-24,4795.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-5.74,21.9,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-5.74,21.9,0.0,0.0,False,False,True,False
095610,테스,KOSDAQ,2025-03-17,24000.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,514.58,370.84,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,68.54,45.63,-446.04,-325.21,True,False,False,True
095660,네오위즈,KOSDAQ,2026-02-02,29100.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-34.36,39.17,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-34.36,39.17,0.0,0.0,False,False,True,False
096530,씨젠,KOSDAQ,2025-05-19,33300.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-3.45,13.51,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-3.45,13.51,0.0,0.0,False,False,True,False
096760,JW홀딩스,KOSPI,2025-06-16,4135.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,0.0,14.15,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,0.0,14.15,0.0,0.0,False,False,True,False
096770,SK이노베이션,KOSPI,2025-02-24,132700.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-3.01,20.12,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-3.01,20.12,0.0,0.0,False,False,True,False
097230,HJ중공업,KOSPI,2024-12-23,6100.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,193.44,269.67,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,18.52,43.78,-174.92,-225.89,True,False,False,True
097520,엠씨넥스,KOSPI,2025-02-03,22800.0,TRANSITION,SKIPPED_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,SKIPPED_EARLY_TREND_HANDOFF,-8.33,50.87,OPEN_AT_CUTOFF,SKIPPED_EARLY_TREND_HANDOFF,-8.33,50.87,0.0,0.0,False,False,True,False
