window,layer,market,version,lifecycle_group,role,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median
P2-2,ELIGIBLE,KOSPI,CLOSED_ONLY,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,208,32.2494,5.54,-15.6125,62.5525,52.4038,72,34.6154,63,30.2885,29,13.9423,74,35.5769,2,0.9615,2,0.9615,1,0.4808,0,0.0,0.0,100.0,221.6827,118.0,66.0448,40.65,-14.095,-15.07,33.7954,23.345
P2-2,ELIGIBLE,KOSPI,CLOSED_ONLY,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,17,0.6347,-15.38,-17.05,-13.03,23.5294,3,17.6471,2,11.7647,1,5.8824,10,58.8235,1,5.8824,0,0.0,0,0.0,0,0.0,0.0,100.0,108.1765,66.0,31.2459,18.85,-18.4118,-17.21,30.6112,26.31
P2-2,ELIGIBLE,KOSPI,CLOSED_ONLY,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,44,11.0243,-14.745,-16.2175,29.455,31.8182,11,25.0,9,20.4545,4,9.0909,21,47.7273,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,187.9773,143.5,39.8007,18.985,-14.655,-16.155,28.7764,24.145
P2-2,ELIGIBLE,KOSPI,CLOSED_ONLY,COVERAGE_PATH_COMBINED,PRIMARY,61,8.1289,-15.2,-16.48,28.65,29.5082,14,22.9508,11,18.0328,5,8.1967,31,50.8197,1,1.6393,0,0.0,0,0.0,0,0.0,0.0,100.0,165.7377,117.0,37.4166,18.85,-15.702,-16.56,29.2877,24.44
P2-2,ELIGIBLE,KOSPI,CLOSED_ONLY,NEVER_PROGRESSED,REFERENCE_ONLY,89,-15.8789,-15.79,-16.72,-15.2,0.0,0,0.0,0,0.0,0,0.0,71,79.7753,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,99.618,51.0,11.3871,7.58,-17.3187,-16.93,27.266,23.44
P2-2,ELIGIBLE,KOSDAQ,ALL,NORMAL_EARLY_TREND_HANDOFF,PRIMARY,60,11.6908,-13.915,-16.5975,34.8125,35.0,17,28.3333,13,21.6667,4,6.6667,22,36.6667,2,3.3333,0,0.0,0,0.0,0,0.0,6.6667,93.3333,127.4333,82.0,51.8347,28.21,-17.8482,-16.75,40.1438,28.6
P2-2,ELIGIBLE,KOSDAQ,ALL,SKIPPED_EARLY_TREND_HANDOFF,PRIMARY,6,1.4933,-13.625,-18.3125,16.0825,33.3333,1,16.6667,1,16.6667,0,0.0,3,50.0,1,16.6667,1,16.6667,1,16.6667,1,16.6667,16.6667,83.3333,246.1667,49.0,44.3483,21.425,-24.3633,-16.67,42.855,21.065
P2-2,ELIGIBLE,KOSDAQ,ALL,PROGRESSED_WITHOUT_DIRECT_HANDOFF,PRIMARY,9,2.8389,-15.42,-15.64,-14.84,22.2222,1,11.1111,1,11.1111,1,11.1111,6,66.6667,0,0.0,0,0.0,0,0.0,0,0.0,11.1111,88.8889,120.8889,80.0,40.2922,10.39,-16.9211,-16.22,37.4533,26.79
P2-2,ELIGIBLE,KOSDAQ,ALL,COVERAGE_PATH_COMBINED,PRIMARY,15,2.3007,-15.15,-15.695,1.605,26.6667,2,13.3333,2,13.3333,1,6.6667,9,60.0,1,6.6667,1,6.6667,1,6.6667,1,6.6667,13.3333,86.6667,171.0,59.0,41.9147,10.39,-19.898,-16.22,39.614,26.03
P2-2,ELIGIBLE,KOSDAQ,ALL,NEVER_PROGRESSED,REFERENCE_ONLY,20,-16.043,-16.06,-16.85,-15.4275,0.0,0,0.0,0,0.0,0,0.0,16,80.0,1,5.0,0,0.0,0,0.0,0,0.0,5.0,95.0,38.4,36.5,15.9255,6.935,-17.973,-17.58,31.9685,22.47
