sample_id,asset_type,file_path,sha256,data_start,data_end,reference_date,human_exposure_phase
INV_OOS_B_004,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/004_INV_OOS_B_004_outcome.png,f8e14109182199ca99fbf27012025c6c575a67ca02ad4e8eee96061a7a3487b2,2022-09-30,2023-10-20,2022-09-30,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_005,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/005_INV_OOS_B_005_monthly.png,f5ab5297bcde4673a3651c827f782563559f07bd097daa6adca6ca4074aa41d6,2014-05-31,2021-05-31,2021-06-25,PASS_A
INV_OOS_B_005,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/005_INV_OOS_B_005_weekly.png,fa60824783d87bb2546f0d84125540ab150b3fba08784c9798dd17d87440c153,2014-05-30,2021-06-25,2021-06-25,PASS_A
INV_OOS_B_005,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/005_INV_OOS_B_005_daily.png,3849cef67d50c0f617febcf483fe70a4257955b4aecb95b475524ef4fc9a2e93,2014-05-26,2021-06-25,2021-06-25,PASS_A
INV_OOS_B_005,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/005_INV_OOS_B_005_outcome.png,0d47459d645749ea988f635a2142a565688b6c62707601ea077a3673421c2a7d,2021-06-25,2022-07-01,2021-06-25,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_006,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/006_INV_OOS_B_006_monthly.png,3423b9809f84aa4db35da643a7904b6ef8e0f1d355ba9a74743f7b46d2799f43,2014-05-31,2025-05-31,2025-06-27,PASS_A
INV_OOS_B_006,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/006_INV_OOS_B_006_weekly.png,20c50bc7580215885fcbdbcb78e809c82bb068bf578623b401e22c05f4e9bd72,2014-05-30,2025-06-27,2025-06-27,PASS_A
INV_OOS_B_006,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/006_INV_OOS_B_006_daily.png,a5b9a3afa3be2d312c5cece46a33af63e89fc87450066e80e4a9d7e8baf2ad53,2014-05-26,2025-06-27,2025-06-27,PASS_A
INV_OOS_B_006,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/006_INV_OOS_B_006_outcome.png,f44e18f6de2dcc1b75749e32be0fe4df6b85968fbe4cfb1e135bcd97ea6446c6,2025-06-27,2025-12-30,2025-06-27,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_007,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/007_INV_OOS_B_007_monthly.png,545e99ca187998012dd9f300f5b332967baeb5281fb04c8ba9169f4a529fd7e3,2021-08-31,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_007,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/007_INV_OOS_B_007_weekly.png,a660483a5d4c8f17e30b1df9638e4eccf130853636a31b1880720ef175b3de09,2021-08-20,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_007,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/007_INV_OOS_B_007_daily.png,49bc75c88eac3bf72c36065904aaae5b968e6540acfce42b1b01c7455dcb7904,2021-08-17,2023-06-30,2023-06-30,PASS_A
INV_OOS_B_007,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/007_INV_OOS_B_007_outcome.png,4fbfb6e920516ba8d28a7eedbcf85d18cebe293457c62d1d6f9e9b8c1618d59e,2023-06-30,2024-07-26,2023-06-30,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_008,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/008_INV_OOS_B_008_monthly.png,04346fb173599f08add3264a5d2aa014dbabc4dea62310a2615d674bad14d47d,2021-08-31,2023-11-30,2023-12-22,PASS_A
INV_OOS_B_008,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/008_INV_OOS_B_008_weekly.png,8845d90dcd62f039581df465ead677f5a4a0a5ad697670df124edc30c01447c6,2021-08-20,2023-12-22,2023-12-22,PASS_A
INV_OOS_B_008,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/008_INV_OOS_B_008_daily.png,cf695c03162cfec22090250e423c8a33d4f2560ec91562df6e0486f2a90a159d,2021-08-17,2023-12-22,2023-12-22,PASS_A
INV_OOS_B_008,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/008_INV_OOS_B_008_outcome.png,08053d654d66b5ba6a0dcf5bf30d57fa67775ba4f9b5c7ebb1ed6aca829f16b9,2023-12-22,2025-01-10,2023-12-22,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_009,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/009_INV_OOS_B_009_monthly.png,9acd9ad36263fda1581d69310c4924f0d225a5cd8790050e00c8dd9d19603605,2022-07-31,2025-05-31,2025-06-27,PASS_A
INV_OOS_B_009,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/009_INV_OOS_B_009_weekly.png,8c2b43797692466641e10db62b46d827d90f623e0df7ec6f55a333a063b02c60,2022-07-08,2025-06-27,2025-06-27,PASS_A
INV_OOS_B_009,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/009_INV_OOS_B_009_daily.png,f60d29b585e54ba8db54465a4bca15d0c3e8b87653899c9c24fec97597c98294,2022-07-07,2025-06-27,2025-06-27,PASS_A
INV_OOS_B_009,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/009_INV_OOS_B_009_outcome.png,64eb827f0fed8543fbc9eb69423c01ace6fb83820a39694607c816d0a9e9d5d7,2025-06-27,2026-07-24,2025-06-27,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_010,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/010_INV_OOS_B_010_monthly.png,cb4afa4d4bc2e0737ecdab3cc4b9582b190a25d888bde241442659299fa8e81b,2021-08-31,2024-08-31,2024-09-27,PASS_A
INV_OOS_B_010,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/010_INV_OOS_B_010_weekly.png,cf78a03a9d8e62aa08ce6fa24fe320013edd882d362a33b81bbf50b04999d9d4,2021-08-20,2024-09-27,2024-09-27,PASS_A
INV_OOS_B_010,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/010_INV_OOS_B_010_daily.png,f5a58ae833c1d426ca56809e9b96c59e3987b99cf7a3d2e05e42c04192a5c19b,2021-08-17,2024-09-27,2024-09-27,PASS_A
INV_OOS_B_010,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/010_INV_OOS_B_010_outcome.png,b0ce544510987d11a7c0f27452601447a0ebc45d8875a466d51de64777949d92,2024-09-27,2025-10-17,2024-09-27,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_011,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/011_INV_OOS_B_011_monthly.png,95be05f418951097c85b13f7271623c9a071a3b5f2f8997c662db7af104b1d84,2021-08-31,2024-08-31,2024-09-27,PASS_A
INV_OOS_B_011,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/011_INV_OOS_B_011_weekly.png,65dc3532e4449b578dc3b4b6d70afd2d40a1c621ae28348a137bd88c9e5513e8,2021-08-20,2024-09-27,2024-09-27,PASS_A
INV_OOS_B_011,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/011_INV_OOS_B_011_daily.png,5555200bde84267e8748fde7be5664ec2dc288f986f00b361250fd31bbeae012,2021-08-17,2024-09-27,2024-09-27,PASS_A
INV_OOS_B_011,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/011_INV_OOS_B_011_outcome.png,829ee81fdc33fe8a716d1c0a71338943b7a08281f0c847f701a7049c94345daa,2024-09-27,2025-10-17,2024-09-27,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_012,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/012_INV_OOS_B_012_monthly.png,6bc23cf35615dd6ecb5b32d6278560e32554d6a14d5713da8912f1761081e014,2021-08-31,2023-11-30,2023-12-22,PASS_A
INV_OOS_B_012,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/012_INV_OOS_B_012_weekly.png,d278221339e77814bb98419bee4f4a18a34964af6dd2053be4a869c732e13f1e,2021-08-20,2023-12-22,2023-12-22,PASS_A
INV_OOS_B_012,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/012_INV_OOS_B_012_daily.png,95f992d5f8e6c7dd7c87267ba08e9b8fe651b4d3778527b07282e744c4713714,2021-08-17,2023-12-22,2023-12-22,PASS_A
