portfolio,signal_id,ticker,isu_cd,market,name,signal_date,scheduled_execution_date,fast_score,pattern_score,ranking,execution_result
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001130_KR7001130004_KOSPI_01,001130,KR7001130004,KOSPI,대한제분,2022-04-01,2022-04-04,79.3,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_010780_KR7010780005_KOSPI_01,010780,KR7010780005,KOSPI,아이에스동서,2022-04-01,2022-04-04,77.35,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_115960_KR7115960007_KOSDAQ_01,115960,KR7115960007,KOSDAQ,연우,2022-04-01,2022-04-04,75.54,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_086280_KR7086280005_KOSPI_01,086280,KR7086280005,KOSPI,현대글로비스,2022-04-15,2022-04-18,79.3,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_003230_KR7003230000_KOSPI_01,003230,KR7003230000,KOSPI,삼양식품,2022-04-22,2022-04-25,80.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_030000_KR7030000004_KOSPI_01,030000,KR7030000004,KOSPI,제일기획,2022-04-22,2022-04-25,79.3,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_009580_KR7009580002_KOSPI_01,009580,KR7009580002,KOSPI,무림P&P,2022-04-22,2022-04-25,75.54,,3,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_078930_KR7078930005_KOSPI_01,078930,KR7078930005,KOSPI,GS,2022-05-06,2022-05-09,79.3,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_104830_KR7104830005_KOSDAQ_01,104830,KR7104830005,KOSDAQ,원익머트리얼즈,2022-05-13,2022-05-16,77.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_282330_KR7282330000_KOSPI_01,282330,KR7282330000,KOSPI,BGF리테일,2022-05-13,2022-05-16,77.99,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_004990_KR7004990008_KOSPI_02,004990,KR7004990008,KOSPI,롯데지주,2022-05-13,2022-05-16,71.6,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_069260_KR7069260008_KOSPI_02,069260,KR7069260008,KOSPI,TKG휴켐스,2022-05-20,2022-05-23,80.24,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_009970_KR7009970005_KOSPI_02,009970,KR7009970005,KOSPI,영원무역홀딩스,2022-05-20,2022-05-23,75.49,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_128940_KR7128940004_KOSPI_01,128940,KR7128940004,KOSPI,한미약품,2022-05-20,2022-05-23,72.1,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_069960_KR7069960003_KOSPI_02,069960,KR7069960003,KOSPI,현대백화점,2022-06-03,2022-06-07,76.85,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_267250_KR7267250009_KOSPI_01,267250,KR7267250009,KOSPI,HD현대,2022-06-03,2022-06-07,76.85,,2,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_006260_KR7006260004_KOSPI_01,006260,KR7006260004,KOSPI,LS,2022-06-03,2022-06-07,75.54,,3,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_010060_KR7010060002_KOSPI_01,010060,KR7010060002,KOSPI,OCI홀딩스,2022-07-01,2022-07-04,77.99,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_028260_KR7028260008_KOSPI_01,028260,KR7028260008,KOSPI,삼성물산,2022-07-01,2022-07-04,72.04,,2,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_207940_KR7207940008_KOSPI_01,207940,KR7207940008,KOSPI,삼성바이오로직스,2022-07-29,2022-08-01,79.1,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_100090_KR7100090000_KOSDAQ_01,100090,KR7100090000,KOSDAQ,SK오션플랜트,2022-08-05,2022-08-08,80.24,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_009830_KR7009830001_KOSPI_01,009830,KR7009830001,KOSPI,한화솔루션,2022-08-12,2022-08-16,77.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_003670_KR7003670007_KOSPI_01,003670,KR7003670007,KOSPI,포스코퓨처엠,2022-08-19,2022-08-22,80.32,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001800_KR7001800002_KOSPI_01,001800,KR7001800002,KOSPI,오리온홀딩스,2022-08-19,2022-08-22,79.3,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_013030_KR7013030002_KOSDAQ_01,013030,KR7013030002,KOSDAQ,하이록코리아,2022-08-19,2022-08-22,77.99,,3,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_047050_KR7047050000_KOSPI_01,047050,KR7047050000,KOSPI,포스코인터내셔널,2022-08-19,2022-08-22,76.94,,4,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_095660_KR7095660007_KOSDAQ_01,095660,KR7095660007,KOSDAQ,네오위즈,2022-08-19,2022-08-22,75.54,,5,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_213500_KR7213500002_KOSPI_01,213500,KR7213500002,KOSPI,한솔제지,2022-09-02,2022-09-05,75.54,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_095570_KR7095570008_KOSPI_01,095570,KR7095570008,KOSPI,AJ네트웍스,2022-09-16,2022-09-19,75.49,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_145720_KR7145720009_KOSPI_02,145720,KR7145720009,KOSPI,덴티움,2022-09-16,2022-09-19,75.49,,2,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_004360_KR7004360004_KOSPI_01,004360,KR7004360004,KOSPI,세방,2022-10-07,2022-10-11,82.05,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_006400_KR7006400006_KOSPI_01,006400,KR7006400006,KOSPI,삼성SDI,2022-10-28,2022-10-31,75.54,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_079370_KR7079370003_KOSDAQ_01,079370,KR7079370003,KOSDAQ,제우스,2022-11-18,2022-11-21,77.99,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_280360_KR7280360009_KOSPI_01,280360,KR7280360009,KOSPI,롯데웰푸드,2022-11-18,2022-11-21,71.05,,2,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000150_KR7000150003_KOSPI_02,000150,KR7000150003,KOSPI,두산,2022-11-25,2022-11-28,73.29,,1,SKIP_INSUFFICIENT_CASH
