portfolio,execution_date,event_type,ticker,name,signal_date,signal_type,open_price,shares_before,shares_delta,shares_after,cash_before,cash_delta,cash_after,position_cost_basis,realized_pnl,realized_return,partial_profit_taken,portfolio_equity_after_execution
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-14,FULL_EXIT,000880,한화,2023-08-11,FUNDAMENTAL_B_SHARP_DECLINE,33613.0,117,-117,0,8839762.0,3932721.0,12772483.0,42556.0,-1046331.0,-21.014663,False,162983091.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-14,ENTRY,004370,농심,2023-08-11,ABC_FASTCORE_ENTRY,464000.0,0,10,10,12772483.0,-4640000.0,8132483.0,464000.0,0.0,0.0,False,162983091.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-14,ENTRY,017960,한국카본,2023-08-11,ABC_FASTCORE_ENTRY,14390.0,0,347,347,8132483.0,-4993330.0,3139153.0,14390.0,0.0,0.0,False,162983091.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-14,ENTRY,018290,브이티,2023-08-11,ABC_FASTCORE_ENTRY,10910.0,0,287,287,3139153.0,-3131170.0,7983.0,10910.0,0.0,0.0,False,162983091.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,100120,뷰웍스,2023-08-14,FUNDAMENTAL_B_SHARP_DECLINE,29500.0,108,-108,0,7983.0,3186000.0,3193983.0,46200.0,-1803600.0,-36.147186,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,077500,유니퀘스트,2023-08-14,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,7465.0,800,-800,0,3193983.0,5972000.0,9165983.0,6250.0,972000.0,19.44,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,030000,제일기획,2023-08-14,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,19050.0,38,-38,0,9165983.0,723900.0,9889883.0,25050.0,-228000.0,-23.952096,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,104830,원익머트리얼즈,2023-08-14,FUNDAMENTAL_B_SHARP_DECLINE,27250.0,122,-122,0,9889883.0,3324500.0,13214383.0,40900.0,-1665300.0,-33.374083,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,069960,현대백화점,2023-08-14,FUNDAMENTAL_B_SHARP_DECLINE,64200.0,3,-3,0,13214383.0,192600.0,13406983.0,80200.0,-48000.0,-19.950125,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,079370,제우스,2023-08-14,FUNDAMENTAL_A_OPERATING_LOSS,14266.0,274,-274,0,13406983.0,3908884.0,17315867.0,10782.0,954616.0,32.313114,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,FULL_EXIT,195870,해성디에스,2023-08-14,FUNDAMENTAL_B_SHARP_DECLINE,64700.0,2,-2,0,17315867.0,129400.0,17445267.0,52800.0,23800.0,22.537879,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-21,ENTRY,161890,한국콜마,2023-08-18,ABC_FASTCORE_ENTRY,56700.0,0,88,88,17445267.0,-4989600.0,12455667.0,56700.0,0.0,0.0,False,158724093.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-08-28,ENTRY,082920,비츠로셀,2023-08-25,ABC_FASTCORE_ENTRY,11607.0,0,430,430,12455667.0,-4991010.0,7464657.0,11607.0,0.0,0.0,False,161164751.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-09-04,FULL_EXIT,112610,씨에스윈드,2023-09-01,FUNDAMENTAL_A_OPERATING_LOSS,62500.0,23,-23,0,7464657.0,1437500.0,8902157.0,82300.0,-455400.0,-24.058323,False,160594778.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-09-04,ENTRY,036830,솔브레인홀딩스,2023-09-01,ABC_FASTCORE_ENTRY,40600.0,0,123,123,8902157.0,-4993800.0,3908357.0,40600.0,0.0,0.0,False,160594778.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-09-25,ENTRY,000640,동아쏘시오홀딩스,2023-09-22,ABC_FASTCORE_ENTRY,90761.0,0,43,43,3908357.0,-3902723.0,5634.0,90761.0,0.0,0.0,False,155708043.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-10-04,FULL_EXIT,082920,비츠로셀,2023-09-30,EXIT4_SCORE_DRAWDOWN_GE_15,9750.0,430,-430,0,5634.0,4192500.0,4198134.0,11607.0,-798510.0,-15.998966,False,155669459.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-10-10,ENTRY,185750,종근당,2023-10-06,ABC_FASTCORE_ENTRY,88520.0,0,47,47,4198134.0,-4160440.0,37694.0,88520.0,0.0,0.0,False,152661514.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-10-23,ENTRY,003570,SNT다이내믹스,2023-10-20,ABC_FASTCORE_ENTRY,11630.0,0,3,3,37694.0,-34890.0,2804.0,11630.0,0.0,0.0,False,145306506.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-11-06,FULL_EXIT,010120,LS ELECTRIC,2023-10-31,EXIT4_SCORE_DRAWDOWN_GE_15,13860.0,407,-407,0,2804.0,5641020.0,5643824.0,12280.0,643060.0,12.86645,False,150533146.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-11-06,FULL_EXIT,001060,JW중외제약,2023-10-31,EXIT4_SCORE_DRAWDOWN_GE_15,26432.0,181,-181,0,5643824.0,4784192.0,10428016.0,27624.0,-215752.0,-4.315088,False,150533146.0
PORTFOLIO_A_NO_PARTIAL_PROFIT,2023-11-06,FULL_EXIT,009970,영원무역홀딩스,2023-10-31,EXIT4_SCORE_DRAWDOWN_GE_15,78300.0,91,-91,0,10428016.0,7125300.0,17553316.0,54500.0,2165800.0,43.669725,False,150533146.0
