ticker,name,market,total_trades,first_entry_date,last_exit_date,last_trade_status,sequential_cumulative_return_pct,loss_guard_count,positive_trade_count,win_rate_pct,trade_ids
009270,신원,KOSPI,3,2025-01-06,2025-09-09,REALIZED,-39.4,3,0,0.0,"009270_01,009270_02,009270_03"
009450,경동나비엔,KOSPI,2,2024-08-19,2026-06-24,REALIZED,0.49,1,1,50.0,"009450_01,009450_02"
009470,삼화전기,KOSPI,1,2025-10-13,2025-11-10,REALIZED,-16.5,1,0,0.0,009470_01
009830,한화솔루션,KOSPI,5,2017-05-22,2026-06-01,REALIZED,-52.55,4,0,0.0,"009830_01,009830_02,009830_03,009830_04,009830_05"
009970,영원무역홀딩스,KOSPI,1,2025-03-17,2025-11-03,REALIZED,51.29,0,1,100.0,009970_01
010130,고려아연,KOSPI,3,2017-09-04,2025-02-03,REALIZED,3.97,2,1,33.33,"010130_01,010130_02,010130_03"
010820,퍼스텍,KOSPI,2,2025-07-21,2025-11-10,REALIZED,-30.45,2,0,0.0,"010820_01,010820_02"
010950,S-Oil,KOSPI,4,2017-07-10,2026-05-04,REALIZED,26.56,2,2,50.0,"010950_01,010950_02,010950_03,010950_04"
011070,LG이노텍,KOSPI,4,2017-05-02,,OPEN_AT_CUTOFF,266.58,2,2,50.0,"011070_01,011070_02,011070_03,011070_04"
011170,롯데케미칼,KOSPI,2,2018-04-02,,OPEN_AT_CUTOFF,-80.75,1,0,0.0,"011170_01,011170_02"
011200,HMM,KOSPI,1,2025-06-02,2025-11-19,REALIZED,-15.3,1,0,0.0,011200_01
011210,현대위아,KOSPI,3,2020-12-07,2026-05-04,REALIZED,122.71,1,2,66.67,"011210_01,011210_02,011210_03"
011560,세보엠이씨,KOSDAQ,1,2025-06-23,2026-06-01,REALIZED,80.8,0,1,100.0,011560_01
011690,와이투솔루션,KOSPI,1,2026-03-03,2026-03-05,REALIZED,-8.98,1,0,0.0,011690_01
011760,현대코퍼레이션,KOSPI,2,2025-02-24,2026-06-26,REALIZED,-26.08,2,0,0.0,"011760_01,011760_02"
011780,금호석유화학,KOSPI,2,2024-09-30,2026-03-10,REALIZED,-28.05,2,0,0.0,"011780_01,011780_02"
011790,SKC,KOSPI,2,2025-01-31,2025-11-20,REALIZED,-41.05,1,0,0.0,"011790_01,011790_02"
011930,신성이엔지,KOSPI,1,2026-02-19,2026-03-05,REALIZED,-14.56,1,0,0.0,011930_01
012330,현대모비스,KOSPI,1,2025-06-23,2026-06-01,REALIZED,170.18,0,1,100.0,012330_01
012450,한화에어로스페이스,KOSPI,1,2021-02-01,2021-10-01,REALIZED,23.98,0,1,100.0,012450_01
012610,경인양행,KOSPI,1,2026-01-05,2026-03-04,REALIZED,-18.03,1,0,0.0,012610_01
012750,에스원,KOSPI,1,2024-12-02,,OPEN_AT_CUTOFF,23.33,0,1,100.0,012750_01
013030,하이록코리아,KOSDAQ,1,2026-04-13,2026-06-01,REALIZED,-17.54,1,0,0.0,013030_01
013120,동원개발,KOSDAQ,2,2025-07-14,2026-03-05,REALIZED,-27.77,2,0,0.0,"013120_01,013120_02"
013520,화승코퍼레이션,KOSPI,1,2025-10-20,2026-08-03,REALIZED,11.9,0,1,100.0,013520_01
013570,디와이,KOSPI,1,2026-01-19,2026-05-28,REALIZED,-16.11,1,0,0.0,013570_01
013700,까뮤이앤씨,KOSPI,1,2026-02-09,2026-03-04,REALIZED,-17.47,1,0,0.0,013700_01
014620,성광벤드,KOSDAQ,1,2024-08-05,2025-04-01,REALIZED,74.4,0,1,100.0,014620_01
014680,한솔케미칼,KOSPI,1,2025-09-01,2026-02-02,REALIZED,59.71,0,1,100.0,014680_01
014830,유니드,KOSPI,2,2025-04-28,2026-05-14,REALIZED,-27.87,2,0,0.0,"014830_01,014830_02"
014940,오리엔탈정공,KOSDAQ,2,2024-12-02,2025-06-02,REALIZED,-10.34,1,1,50.0,"014940_01,014940_02"
015230,대창단조,KOSPI,1,2025-06-23,,OPEN_AT_CUTOFF,6.35,0,1,100.0,015230_01
015360,INVENI,KOSPI,1,2024-08-12,2025-04-01,REALIZED,6.93,0,1,100.0,015360_01
015750,성우하이텍,KOSDAQ,1,2025-12-15,2026-06-29,REALIZED,-17.55,1,0,0.0,015750_01
015760,한국전력,KOSPI,1,2024-02-05,2025-11-03,REALIZED,111.27,0,1,100.0,015760_01
015860,일진홀딩스,KOSPI,1,2025-06-02,2026-02-02,REALIZED,72.93,0,1,100.0,015860_01
016360,삼성증권,KOSPI,1,2024-10-07,2025-09-01,REALIZED,54.18,0,1,100.0,016360_01
016610,DB증권,KOSPI,1,2024-09-09,2024-11-14,REALIZED,-15.78,1,0,0.0,016610_01
017670,SK텔레콤,KOSPI,2,2017-05-02,,OPEN_AT_CUTOFF,100.74,1,1,50.0,"017670_01,017670_02"
017800,현대엘리베이터,KOSPI,1,2025-02-17,2026-04-01,REALIZED,50.88,0,1,100.0,017800_01
017810,풀무원,KOSPI,1,2025-03-04,2025-04-08,REALIZED,-15.33,1,0,0.0,017810_01
017890,한국알콜,KOSDAQ,1,2025-07-07,,OPEN_AT_CUTOFF,42.76,0,1,100.0,017890_01
017940,E1,KOSPI,1,2025-06-16,,OPEN_AT_CUTOFF,14.74,0,1,100.0,017940_01
017960,한국카본,KOSPI,2,2024-08-19,2025-09-01,REALIZED,104.4,1,1,50.0,"017960_01,017960_02"
018260,삼성에스디에스,KOSPI,2,2023-09-04,,OPEN_AT_CUTOFF,15.23,1,1,50.0,"018260_01,018260_02"
018880,한온시스템,KOSPI,2,2017-06-19,2021-07-01,REALIZED,-7.12,1,1,50.0,"018880_01,018880_02"
019180,티에이치엔,KOSPI,1,2025-09-01,2026-02-02,REALIZED,43.3,0,1,100.0,019180_01
019210,와이지-원,KOSDAQ,1,2025-05-19,2025-09-25,REALIZED,-15.44,1,0,0.0,019210_01
020000,한섬,KOSPI,1,2026-02-19,,OPEN_AT_CUTOFF,-22.33,0,0,0.0,020000_01
020150,롯데에너지머티리얼즈,KOSPI,1,2026-04-13,2026-07-01,REALIZED,-7.3,0,0,0.0,020150_01
021080,에이티넘인베스트,KOSDAQ,1,2026-02-23,2026-03-05,REALIZED,-22.14,1,0,0.0,021080_01
021240,코웨이,KOSPI,2,2024-12-09,,OPEN_AT_CUTOFF,27.71,0,2,100.0,"021240_01,021240_02"
023160,태광,KOSDAQ,1,2025-01-13,2025-10-01,REALIZED,33.32,0,1,100.0,023160_01
023410,유진기업,KOSDAQ,1,2026-02-02,2026-06-09,REALIZED,-17.3,1,0,0.0,023410_01
023530,롯데쇼핑,KOSPI,3,2022-06-07,2026-06-01,REALIZED,37.73,2,1,33.33,"023530_01,023530_02,023530_03"
023590,다우기술,KOSPI,1,2025-03-10,2025-11-03,REALIZED,78.7,0,1,100.0,023590_01
024110,기업은행,KOSPI,2,2017-09-04,2026-05-04,REALIZED,80.88,1,1,50.0,"024110_01,024110_02"
024720,콜마홀딩스,KOSPI,1,2025-05-12,2025-11-03,REALIZED,15.05,0,1,100.0,024720_01
024840,KBI메탈,KOSDAQ,1,2026-03-03,2026-03-05,REALIZED,-11.8,1,0,0.0,024840_01
025540,한국단자,KOSPI,1,2025-12-29,,OPEN_AT_CUTOFF,-6.55,0,0,0.0,025540_01
025860,남해화학,KOSPI,1,2025-06-23,2025-10-01,REALIZED,-13.6,1,0,0.0,025860_01
025980,아난티,KOSDAQ,1,2025-05-07,2025-12-01,REALIZED,17.6,0,1,100.0,025980_01
026890,스틱인베스트먼트,KOSPI,1,2025-05-19,2026-04-01,REALIZED,-15.71,1,0,0.0,026890_01
026960,동서,KOSPI,1,2024-11-11,,OPEN_AT_CUTOFF,-0.57,0,0,0.0,026960_01
027410,BGF,KOSPI,1,2025-06-02,,OPEN_AT_CUTOFF,1.08,0,1,100.0,027410_01
027710,팜스토리,KOSDAQ,1,2026-05-11,2026-05-22,REALIZED,-16.84,1,0,0.0,027710_01
028050,삼성E&A,KOSPI,4,2018-01-29,2026-06-01,REALIZED,120.2,2,2,50.0,"028050_01,028050_02,028050_03,028050_04"
028100,동아지질,KOSPI,2,2025-07-07,2026-06-01,REALIZED,-28.56,2,0,0.0,"028100_01,028100_02"
028260,삼성물산,KOSPI,4,2020-02-10,2026-02-02,REALIZED,40.74,3,1,25.0,"028260_01,028260_02,028260_03,028260_04"
028670,팬오션,KOSPI,1,2026-02-02,,OPEN_AT_CUTOFF,24.92,0,1,100.0,028670_01
029460,케이씨,KOSPI,1,2025-06-02,2026-05-04,REALIZED,77.58,0,1,100.0,029460_01
029530,신도리코,KOSPI,1,2024-10-07,,OPEN_AT_CUTOFF,2.62,0,1,100.0,029530_01
029780,삼성카드,KOSPI,1,2025-06-16,,OPEN_AT_CUTOFF,-2.22,0,0,0.0,029780_01
030000,제일기획,KOSPI,1,2025-06-30,,OPEN_AT_CUTOFF,-6.27,0,0,0.0,030000_01
030190,NICE평가정보,KOSPI,1,2024-12-02,2025-10-01,REALIZED,16.39,0,1,100.0,030190_01
030200,KT,KOSPI,2,2021-07-05,2026-05-28,REALIZED,32.36,1,1,50.0,"030200_01,030200_02"
030520,한컴,KOSDAQ,1,2025-06-16,2025-08-21,REALIZED,-15.08,1,0,0.0,030520_01
030530,원익홀딩스,KOSDAQ,2,2025-03-24,2025-09-01,REALIZED,39.86,1,1,50.0,"030530_01,030530_02"
030610,교보증권,KOSPI,2,2025-02-24,2026-02-02,REALIZED,58.42,1,1,50.0,"030610_01,030610_02"
031330,에스에이엠티,KOSDAQ,1,2025-07-07,2026-05-04,REALIZED,141.08,0,1,100.0,031330_01
031430,신세계인터내셔날,KOSPI,1,2026-04-27,2026-06-09,REALIZED,-14.15,1,0,0.0,031430_01
031980,피에스케이홀딩스,KOSDAQ,2,2025-10-13,2026-06-01,REALIZED,58.7,1,1,50.0,"031980_01,031980_02"
032190,다우데이타,KOSDAQ,1,2025-07-07,2026-02-02,REALIZED,53.82,0,1,100.0,032190_01
032350,롯데관광개발,KOSPI,1,2025-06-02,2025-12-01,REALIZED,61.83,0,1,100.0,032350_01
032640,LG유플러스,KOSPI,4,2017-07-03,2026-01-02,REALIZED,-12.39,2,1,25.0,"032640_01,032640_02,032640_03,032640_04"
032830,삼성생명,KOSPI,1,2021-01-11,2026-02-02,REALIZED,131.81,0,1,100.0,032830_01
033100,제룡전기,KOSDAQ,1,2026-02-02,,OPEN_AT_CUTOFF,1.99,0,1,100.0,033100_01
033240,자화전자,KOSPI,2,2025-11-03,2026-01-16,REALIZED,-29.85,2,0,0.0,"033240_01,033240_02"
033270,유나이티드제약,KOSPI,1,2026-04-20,2026-06-04,REALIZED,-15.22,1,0,0.0,033270_01
033500,동성화인텍,KOSDAQ,2,2024-08-05,2025-07-01,REALIZED,32.85,1,1,50.0,"033500_01,033500_02"
033640,네패스,KOSDAQ,1,2025-11-03,,OPEN_AT_CUTOFF,4.25,0,1,100.0,033640_01
033780,KT&G,KOSPI,1,2024-08-12,2026-08-03,REALIZED,74.55,0,1,100.0,033780_01
033790,피노,KOSDAQ,1,2026-04-13,2026-06-22,REALIZED,-17.8,1,0,0.0,033790_01
034020,두산에너빌리티,KOSPI,1,2025-01-31,2025-07-01,REALIZED,188.51,0,1,100.0,034020_01
034220,LG디스플레이,KOSPI,2,2021-01-11,2026-08-03,REALIZED,-10.5,0,1,50.0,"034220_01,034220_02"
034230,파라다이스,KOSPI,1,2025-06-02,2026-02-02,REALIZED,42.63,0,1,100.0,034230_01
034310,NICE,KOSPI,1,2025-06-30,,OPEN_AT_CUTOFF,3.92,0,1,100.0,034310_01
034730,SK,KOSPI,4,2019-11-04,2026-02-02,REALIZED,1.2,3,1,25.0,"034730_01,034730_02,034730_03,034730_04"
034830,한국토지신탁,KOSPI,1,2025-06-02,2026-07-01,REALIZED,-5.12,0,0,0.0,034830_01
035000,HS애드,KOSPI,1,2025-02-10,2026-07-21,REALIZED,-13.12,1,0,0.0,035000_01
035080,그래디언트,KOSDAQ,1,2025-05-26,2025-11-04,REALIZED,-18.01,1,0,0.0,035080_01
035250,강원랜드,KOSPI,1,2025-08-11,2026-05-12,REALIZED,-15.23,1,0,0.0,035250_01
035420,NAVER,KOSPI,4,2018-01-29,2025-08-28,REALIZED,16.17,3,1,25.0,"035420_01,035420_02,035420_03,035420_04"
035510,신세계 I&C,KOSPI,1,2025-01-13,2025-01-22,REALIZED,-18.22,1,0,0.0,035510_01
035600,KG이니시스,KOSDAQ,2,2025-07-14,2026-03-05,REALIZED,-33.74,2,0,0.0,"035600_01,035600_02"
