market,sector_code,internal_sector_name,official_idx_name,source_api,mapping_status,common_date_count,date,pykrx_open,pykrx_high,pykrx_low,pykrx_close,krx_open,krx_high,krx_low,krx_close,open_match,high_match,low_match,close_match
KOSPI,1018,건설,건설,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,168.18,170.57,160.73,164.42,168.18,170.57,160.73,164.42,True,True,True,True
KOSPI,1018,건설,건설,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,160.09,163.74,159.2,159.84,160.09,163.74,159.20,159.84,True,True,True,True
KOSPI,1018,건설,건설,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,157.99,157.99,150.55,151.28,157.99,157.99,150.55,151.28,True,True,True,True
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,1967.49,2030.18,1967.49,1991.92,1967.49,2030.18,1967.49,1991.92,True,True,True,True
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,1922.45,1978.14,1894.64,1954.34,1922.45,1978.14,1894.64,1954.34,True,True,True,True
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,2017.26,2043.7,1999.09,2043.7,2017.26,2043.70,1999.09,2043.70,True,True,True,True
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,1976.13,2018.48,1976.13,2016.85,1976.13,2018.48,1976.13,2016.85,True,True,True,True
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,1984.4,1996.27,1958.3,1959.86,1984.40,1996.27,1958.30,1959.86,True,True,True,True
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,1949.53,1982.54,1930.72,1977.13,1949.53,1982.54,1930.72,1977.13,True,True,True,True
KOSPI,1020,통신,통신,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,639.4,664.36,629.32,648.44,639.40,664.36,629.32,648.44,True,True,True,True
KOSPI,1020,통신,통신,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,593.19,593.19,571.65,577.86,593.19,593.19,571.65,577.86,True,True,True,True
KOSPI,1020,통신,통신,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,618.66,620.0,600.63,607.84,618.66,620.00,600.63,607.84,True,True,True,True
KOSPI,1020,통신,통신,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,616.68,651.75,615.77,649.9,616.68,651.75,615.77,649.90,True,True,True,True
KOSPI,1020,통신,통신,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,631.38,642.42,625.82,628.99,631.38,642.42,625.82,628.99,True,True,True,True
KOSPI,1020,통신,통신,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,626.2,655.82,621.22,650.25,626.20,655.82,621.22,650.25,True,True,True,True
KOSPI,1021,금융,금융,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,1145.4,1152.36,1111.09,1125.28,1145.40,1152.36,1111.09,1125.28,True,True,True,True
KOSPI,1021,금융,금융,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,1004.01,1085.69,995.34,1083.23,1004.01,1085.69,995.34,1083.23,True,True,True,True
KOSPI,1021,금융,금융,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,1085.58,1091.11,1066.08,1082.46,1085.58,1091.11,1066.08,1082.46,True,True,True,True
KOSPI,1021,금융,금융,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,1137.83,1146.03,1128.16,1145.93,1137.83,1146.03,1128.16,1145.93,True,True,True,True
KOSPI,1021,금융,금융,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,1100.75,1113.56,1085.23,1102.85,1100.75,1113.56,1085.23,1102.85,True,True,True,True
KOSPI,1021,금융,금융,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,1090.31,1115.46,1086.32,1115.46,1090.31,1115.46,1086.32,1115.46,True,True,True,True
KOSPI,1024,,증권,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,5688.28,5688.28,5373.58,5464.58,5688.28,5688.28,5373.58,5464.58,True,True,True,True
KOSPI,1024,,증권,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,5030.59,5295.42,4971.88,5289.07,5030.59,5295.42,4971.88,5289.07,True,True,True,True
KOSPI,1024,,증권,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,5299.62,5330.7,5095.06,5166.39,5299.62,5330.70,5095.06,5166.39,True,True,True,True
KOSPI,1024,,증권,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,5497.68,5535.72,5422.31,5531.96,5497.68,5535.72,5422.31,5531.96,True,True,True,True
KOSPI,1024,,증권,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,5132.93,5358.14,5132.93,5287.55,5132.93,5358.14,5132.93,5287.55,True,True,True,True
KOSPI,1024,,증권,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,5220.15,5244.11,5098.21,5158.04,5220.15,5244.11,5098.21,5158.04,True,True,True,True
KOSPI,1025,,보험,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,47697.94,48364.04,46776.82,47950.69,47697.94,48364.04,46776.82,47950.69,True,True,True,True
KOSPI,1025,,보험,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,43149.09,46992.08,42761.91,46770.23,43149.09,46992.08,42761.91,46770.23,True,True,True,True
KOSPI,1025,,보험,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,44482.34,44955.48,43857.0,44662.49,44482.34,44955.48,43857.00,44662.49,True,True,True,True
KOSPI,1025,,보험,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,47168.59,47744.61,46376.42,47350.39,47168.59,47744.61,46376.42,47350.39,True,True,True,True
KOSPI,1025,,보험,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,46282.68,48235.32,46113.33,47471.18,46282.68,48235.32,46113.33,47471.18,True,True,True,True
KOSPI,1025,,보험,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,46924.84,50634.35,46355.95,50580.16,46924.84,50634.35,46355.95,50580.16,True,True,True,True
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,1287.23,1326.01,1283.44,1299.02,1287.23,1326.01,1283.44,1299.02,True,True,True,True
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,1223.65,1235.19,1200.44,1233.28,1223.65,1235.19,1200.44,1233.28,True,True,True,True
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,1322.21,1325.77,1293.24,1322.67,1322.21,1325.77,1293.24,1322.67,True,True,True,True
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,1347.42,1362.0,1335.14,1350.76,1347.42,1362.00,1335.14,1350.76,True,True,True,True
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,1332.92,1344.76,1316.62,1320.52,1332.92,1344.76,1316.62,1320.52,True,True,True,True
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,1310.93,1310.93,1281.58,1293.14,1310.93,1310.93,1281.58,1293.14,True,True,True,True
KOSPI,1027,제조,제조,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,20779.54,20779.54,19579.09,19679.13,20779.54,20779.54,19579.09,19679.13,True,True,True,True
KOSPI,1027,제조,제조,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,16271.65,19665.99,16208.92,19530.98,16271.65,19665.99,16208.92,19530.98,True,True,True,True
KOSPI,1027,제조,제조,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,18549.17,18730.55,17867.4,18153.36,18549.17,18730.55,17867.40,18153.36,True,True,True,True
KOSPI,1027,제조,제조,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,20728.22,20757.87,20194.04,20608.24,20728.22,20757.87,20194.04,20608.24,True,True,True,True
KOSPI,1027,제조,제조,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,19706.18,20491.57,19435.78,20338.08,19706.18,20491.57,19435.78,20338.08,True,True,True,True
KOSPI,1027,제조,제조,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,20044.7,20688.4,19993.73,20528.83,20044.70,20688.40,19993.73,20528.83,True,True,True,True
KOSPI,1045,,부동산,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,867.08,881.96,866.6,870.42,867.08,881.96,866.60,870.42,True,True,True,True
KOSPI,1045,,부동산,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,866.33,869.25,853.53,862.27,866.33,869.25,853.53,862.27,True,True,True,True
KOSPI,1045,,부동산,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,879.13,889.89,878.25,889.89,879.13,889.89,878.25,889.89,True,True,True,True
KOSPI,1045,,부동산,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,902.99,923.35,900.59,923.35,902.99,923.35,900.59,923.35,True,True,True,True
