krx_idx_name,native_market,native_sector_code,native_idx_name,native_source_api,date,krx_open,krx_high,krx_low,krx_close,native_open,native_high,native_low,native_close,open_match,high_match,low_match,close_match
KRX 300 금융,KOSPI,1047,오락·문화,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,837.89,852.01,836.90,840.62,False,False,False,False
KRX 300 금융,KOSPI,1047,오락·문화,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,827.67,829.26,816.53,822.78,False,False,False,False
KRX 300 금융,KOSDAQ,2012,일반서비스,kosdaq_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,3872.37,3971.49,3795.32,3805.14,False,False,False,False
KRX 300 금융,KOSDAQ,2012,일반서비스,kosdaq_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,3439.35,3686.98,3407.89,3657.04,False,False,False,False
KRX 300 금융,KOSDAQ,2012,일반서비스,kosdaq_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,4329.75,4392.46,4193.41,4392.46,False,False,False,False
KRX 300 금융,KOSDAQ,2012,일반서비스,kosdaq_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,4659.72,4761.55,4562.60,4633.43,False,False,False,False
KRX 300 금융,KOSDAQ,2012,일반서비스,kosdaq_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,4648.03,4747.88,4544.41,4643.82,False,False,False,False
KRX 300 금융,KOSDAQ,2012,일반서비스,kosdaq_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,4482.31,4482.31,4291.22,4367.78,False,False,False,False
KRX 300 금융,KOSDAQ,2024,제조,kosdaq_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,2650.25,2650.25,2522.91,2530.58,False,False,False,False
KRX 300 금융,KOSDAQ,2024,제조,kosdaq_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,2215.68,2436.18,2204.43,2422.39,False,False,False,False
KRX 300 금융,KOSDAQ,2024,제조,kosdaq_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,2708.36,2734.49,2593.19,2662.87,False,False,False,False
KRX 300 금융,KOSDAQ,2024,제조,kosdaq_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,2937.44,2972.50,2849.09,2922.07,False,False,False,False
KRX 300 금융,KOSDAQ,2024,제조,kosdaq_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,2841.22,2857.13,2804.08,2823.72,False,False,False,False
KRX 300 금융,KOSDAQ,2024,제조,kosdaq_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,2767.62,2767.62,2669.28,2689.01,False,False,False,False
