date,kospi_close,trading_value,v_kospi200_close,v_level_pct_252,v_z_60,v_change_20,kospi_return_5,kospi_return_20,kospi_return_60,kospi_drawdown_60,participation_pct_252,participation_ratio_20,future_return_20,future_min_return_20,future_risk_event_20,score_balanced_no_participation_v01,score_panic_confirmed_v01,score_downside_heavy_v01
2021-08-12,3208.38,20390428084679.0,14.09,0.03968253968253968,-0.7401449794102565,0.08052147239263818,-0.020679887550249854,-0.023686789076811543,0.014578089226760405,-0.029296171801489135,0.8650793650793651,0.896455756381582,-0.025751313747124693,-0.04608868026854673,0.0,16.273939692389934,15.50537692885134,16.325476695601047
2021-08-13,3171.29,20187391287255.0,15.45,0.15079365079365079,0.09981147355381842,0.16780045351473905,-0.030293301043310294,-0.03223158402275306,0.004711033385924601,-0.04051784909279599,0.8571428571428571,0.9135997753866191,-0.013694742518028935,-0.03493215694559615,0.0,27.223028597671867,25.27141926509729,25.917545897261608
2021-08-17,3143.09,22224231319202.0,16.34,0.19444444444444445,0.7687053744854331,0.07147540983606548,-0.035986161292103414,-0.03111860519599008,-0.0003848233311071203,-0.04904983344477354,0.9206349206349206,0.94329244766533,0.0018262283294463444,-0.026273507917367933,0.0,30.90998522294641,28.088131569854447,28.57676217302173
2021-08-18,3158.93,16739922379864.0,15.48,0.15476190476190477,0.23306712795025833,-0.012755102040816313,-0.025980593181404776,-0.022819933801466297,-0.003906890506161553,-0.04425739968110953,0.5912698412698413,0.947896004587383,-0.0017505927640054653,-0.03115611931888318,0.0,25.06325436468348,22.614264592208503,23.19433174159744
2021-08-19,3097.83,17158937488011.0,17.82,0.28174603174603174,1.9962019974528658,0.10545905707196024,-0.038126199303239794,-0.036717445450898833,-0.022282329103057275,-0.06274336577706108,0.6547619047619048,0.9551979760016027,0.010413741231765528,-0.012047142677293343,0.0,39.80846123540298,35.72403712298327,36.30718548881924
2021-08-20,3060.51,16440422912575.0,18.92,0.3373015873015873,2.7534256736074516,0.2958904109589042,-0.04608868026854673,-0.058365459462619285,-0.033170010519631865,-0.07403463017478462,0.5555555555555556,0.9659960609097237,0.026139434277293594,0.009704264975445298,0.0,48.23082721483905,44.12792525244783,45.296590581703505
2021-08-23,3090.21,13413625987951.0,17.29,0.25,1.561853475891691,0.19902912621359214,-0.0255668828773149,-0.05045753160317357,-0.03089631295217843,-0.06504881686791464,0.24603174603174602,0.9674901373029726,0.012093029276327494,0.007925027748923119,0.0,39.844386529044094,36.172903778493826,37.685631846002224
2021-08-24,3138.3,14902466332174.0,15.62,0.1626984126984127,0.362598876303828,-0.026791277258567114,-0.0015239779961757627,-0.02686863362222658,-0.020481160578291524,-0.05049906057406328,0.4126984126984127,0.9774454735006849,-0.004161488704075622,-0.0075199949016985235,0.0,26.409076542130904,23.835970347943668,24.692148899351015
2021-08-25,3146.81,13260964410543.0,15.48,0.15674603174603174,0.2731256602485612,-0.017142857142857126,-0.0038367421880193264,-0.026517928681249803,-0.023297029364934052,-0.04792433763664039,0.23015873015873015,0.9803633494409931,-0.004185190716948339,-0.010203984352407769,0.0,25.7469614722903,23.17235428158334,24.1038272755456
2021-08-26,3128.53,13316681943554.0,16.15,0.19444444444444445,0.7857642844948995,0.0024829298572315306,0.009910162920496068,-0.03346761985380886,-0.02968150535166525,-0.05345499983359603,0.23809523809523808,0.9864995592530319,-0.009784147826615075,-0.009784147826615075,0.0,30.51879392111847,27.360358868497887,28.41677487675558
