date,kospi_close,trading_value,v_kospi200_close
2021-04-30,3147.86,19175120943320.0,18.84
2021-05-03,3127.2,16956346623524.0,18.09
2021-05-04,3147.37,15941338700138.0,16.89
2021-05-06,3178.74,16612071560409.0,17.0
2021-05-07,3197.2,15194274576823.0,16.43
2021-05-10,3249.3,17172083006645.0,17.34
2021-05-11,3209.43,21865498666076.0,20.0
2021-05-12,3161.66,22446534828959.0,22.17
2021-05-13,3122.11,21043859646116.0,21.9
2021-05-14,3153.32,14485141459681.0,19.32
2021-05-17,3134.52,14541579885192.0,19.29
2021-05-18,3173.05,13887127106797.0,18.23
2021-05-20,3162.28,13707139615337.0,19.12
2021-05-21,3156.42,14781529840608.0,20.09
2021-05-24,3144.3,11594289060987.0,20.59
2021-05-25,3171.32,11722443527458.0,18.99
2021-05-26,3168.43,13147626934369.0,18.68
2021-05-27,3165.51,20662346905284.0,18.29
2021-05-28,3188.73,13526576687702.0,17.31
2021-05-31,3203.92,14010602449444.0,17.04
2021-06-01,3221.87,15259401235177.0,16.48
2021-06-02,3224.23,17735046789188.0,16.63
2021-06-03,3247.43,16884599306892.0,17.48
2021-06-04,3240.08,16044863567149.0,17.43
2021-06-07,3252.12,19012874422800.0,17.04
2021-06-08,3247.83,19342593348520.0,16.24
2021-06-09,3216.18,17159416417433.0,16.58
2021-06-10,3224.64,19161693000166.0,15.44
2021-06-11,3249.32,17945342666455.0,14.51
2021-06-14,3252.13,15256415163753.0,14.46
2021-06-15,3258.63,14833298604139.0,14.33
2021-06-16,3278.68,16292374802361.0,14.7
2021-06-17,3264.96,14666613783184.0,14.98
2021-06-18,3267.93,17468039797413.0,14.62
2021-06-21,3240.79,17283693965330.0,16.28
2021-06-22,3263.88,15504606497643.0,15.11
2021-06-23,3276.19,17847639641124.0,14.75
2021-06-24,3286.1,21406110047264.0,14.84
2021-06-25,3302.84,18608357762643.0,14.82
2021-06-28,3301.89,13764008462062.0,14.8
2021-06-29,3286.68,15474308749528.0,14.52
2021-06-30,3296.68,15604901130619.0,14.17
2021-07-01,3282.06,16051591516501.0,14.33
2021-07-02,3281.78,15425744313645.0,13.74
2021-07-05,3293.21,14514716500117.0,13.11
2021-07-06,3305.21,14675407293570.0,12.71
2021-07-07,3285.34,14492096011307.0,13.29
2021-07-08,3252.68,16856460255344.0,14.19
2021-07-09,3217.95,16459098455571.0,15.12
2021-07-12,3246.47,11274425700555.0,13.62
2021-07-13,3271.38,13482370504305.0,12.55
2021-07-14,3264.81,12978848926522.0,12.97
2021-07-15,3286.22,13674568354075.0,13.04
2021-07-16,3276.91,14774926677628.0,13.23
2021-07-19,3244.04,12850085278734.0,15.25
2021-07-20,3232.7,15286553195445.0,15.68
2021-07-21,3215.91,14853663453471.0,16.12
2021-07-22,3250.21,13031405902049.0,14.6
2021-07-23,3254.42,13203574350764.0,14.42
2021-07-26,3224.95,12207944551775.0,16.05
2021-07-27,3232.53,12341894038644.0,15.75
2021-07-28,3236.86,11973502349908.0,16.11
2021-07-29,3242.65,10487014073756.0,15.58
2021-07-30,3202.32,12801432029373.0,17.3
2021-08-02,3223.04,10234630301320.0,15.77
2021-08-03,3237.14,12487223926394.0,14.78
2021-08-04,3280.38,12351762899866.0,14.77
2021-08-05,3276.13,11852924508783.0,14.53
2021-08-06,3270.36,15409940104220.0,14.18
2021-08-09,3260.42,15701910900826.0,14.28
2021-08-10,3243.19,21620852149242.0,14.52
2021-08-11,3220.62,19154527955415.0,15.12
2021-08-12,3208.38,20390428084679.0,14.09
2021-08-13,3171.29,20187391287255.0,15.45
