ticker,name,strategy,entry_signal_date,entry_execution_date,entry_open,exit_date,exit_type,return,mfe,mae
267270,267270,BASELINE_V2,2025-07-25,2025-07-28,92100.0,2026-02-02,EXIT4_SCORE_DRAWDOWN_GE_15,14.12,43.11,-7.71
271560,271560,BASELINE_V2,2025-04-04,2025-04-07,112100.0,,NO_PROGRESSED_BEFORE_CUTOFF,19.54,33.9,-11.69
272210,272210,BASELINE_V2,2024-03-08,2024-03-11,18010.0,2025-03-04,EXIT4_SCORE_DRAWDOWN_GE_15,75.18,108.22,-10.22
282330,282330,BASELINE_V2,2026-03-27,2026-03-30,129100.0,2026-06-23,LOSS_GUARD_CLOSE_LE_NEG_15,-15.41,14.48,-16.96
282330,282330,BASELINE_V2,2026-08-07,2026-08-10,150700.0,,NO_PROGRESSED_BEFORE_CUTOFF,-3.65,3.92,-6.64
290650,290650,BASELINE_V2,2025-08-08,2025-08-11,34350.0,2025-12-01,EXIT4_SCORE_DRAWDOWN_GE_15,75.84,97.67,-15.28
294870,294870,BASELINE_V2,2026-03-20,2026-03-23,23750.0,2026-06-02,LOSS_GUARD_CLOSE_LE_NEG_15,-16.13,5.47,-17.22
298020,298020,BASELINE_V2,2026-04-10,2026-04-13,466500.0,2026-05-21,LOSS_GUARD_CLOSE_LE_NEG_15,-15.65,19.4,-20.15
298380,298380,BASELINE_V2,2024-10-11,2024-10-14,40050.0,2024-12-02,EXIT4_SCORE_DRAWDOWN_GE_15,-31.34,8.11,-35.21
306200,306200,BASELINE_V2,2026-05-08,2026-05-11,172700.0,2026-05-29,LOSS_GUARD_CLOSE_LE_NEG_15,-14.36,0.0,-18.65
316140,316140,BASELINE_V2,2023-10-06,2023-10-10,12470.0,2026-01-02,EXIT4_SCORE_DRAWDOWN_GE_15,125.34,134.56,-6.98
339950,339950,BASELINE_V2,2026-08-07,2026-08-10,3125.0,,NO_PROGRESSED_BEFORE_CUTOFF,-8.0,0.8,-11.68
352820,352820,BASELINE_V2,2024-12-13,2024-12-16,207500.0,2026-03-03,EXIT4_SCORE_DRAWDOWN_GE_15,82.41,95.42,-8.43
361390,361390,BASELINE_V2,2026-01-09,2026-01-12,25000.0,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,-15.0,47.6,-17.2
383220,383220,BASELINE_V2,2026-07-31,2026-08-03,73900.0,2026-08-04,LOSS_GUARD_CLOSE_LE_NEG_15,-17.05,0.14,-17.05
383800,383800,BASELINE_V2,2026-02-13,2026-02-19,9150.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-14.75,13.01,-16.72
403870,403870,BASELINE_V2,2026-02-27,2026-03-03,43750.0,2026-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,25.49,110.29,-13.26
453340,453340,BASELINE_V2,2026-06-12,2026-06-15,18060.0,,NO_PROGRESSED_BEFORE_CUTOFF,2.88,10.47,-13.01
950170,950170,BASELINE_V2,2025-06-27,2025-06-30,6500.0,2025-12-01,EXIT3_PROGRESSED_TO_WEAK,-39.38,15.69,-48.46
