ticker,signal_reference_date,market_cap_value,source_type,proxy_method,anchor_date,anchor_age_days,anchor_market_cap,anchor_listed_shares,anchor_close,target_price_date,target_close,close_semantics,estimated_market_cap,market_cap_threshold,market_cap_status,near_threshold,confidence_class,posthoc_next_anchor_date,posthoc_next_anchor_shares,posthoc_share_change_flag,failure_reason
190650,2026-02-06,49251480000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,224,51742800000.0,,8100.0,2026-02-06,7710.0,ADJUSTED_CLOSE,49251480000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
190650,2026-02-13,55703360000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,231,51742800000.0,,8100.0,2026-02-13,8720.0,ADJUSTED_CLOSE,55703360000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
192080,2024-08-23,1076944890600.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,42,998484833700.0,,46450.0,2024-08-23,50100.0,ADJUSTED_CLOSE,1076944890600.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2024-09-27,,,
192400,2024-10-04,833933238250.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-09-27,7,825042692000.0,,23200.0,2024-10-04,23450.0,ADJUSTED_CLOSE,833933238250.0,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2024-12-27,,,
192440,2026-04-03,165976892100.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,280,166287710250.0,,26750.0,2026-04-03,26700.0,ADJUSTED_CLOSE,165976892100.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
192440,2026-04-10,164111983200.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,287,166287710250.0,,26750.0,2026-04-10,26400.0,ADJUSTED_CLOSE,164111983200.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
194370,2025-05-23,249789769900.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,56,239803650950.0,,8765.0,2025-05-23,9130.0,ADJUSTED_CLOSE,249789769900.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
194480,2025-05-30,488349732500.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,63,513038190000.0,,42600.0,2025-05-30,40550.0,ADJUSTED_CLOSE,488349732500.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
194700,2025-05-02,211179588480.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,35,165230210880.0,,8810.0,2025-05-02,11260.0,ADJUSTED_CLOSE,211179588480.0,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2025-06-27,,,
195870,2025-12-05,897600000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,161,479400000000.0,,28200.0,2025-12-05,52800.0,ADJUSTED_CLOSE,897600000000.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
195940,2026-02-27,1529814114000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,245,1198354389300.0,,42300.0,2026-02-27,54000.0,ADJUSTED_CLOSE,1529814114000.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
195940,2026-03-27,1504317212100.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,273,1198354389300.0,,42300.0,2026-03-27,53100.0,ADJUSTED_CLOSE,1504317212100.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
195990,2024-11-08,164835627840.47302,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-09-27,42,135512307196.0,,8152.0,2024-11-08,9916.0,ADJUSTED_CLOSE,164835627840.47302,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2024-12-27,,,
196700,2025-12-26,31960220400.000004,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,182,21086563392.0,,1468.0,2025-12-26,2225.0,ADJUSTED_CLOSE,31960220400.000004,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
196700,2026-02-06,38567726640.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,224,21086563392.0,,1468.0,2026-02-06,2685.0,ADJUSTED_CLOSE,38567726640.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-03-27,58898730975.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,273,52330499550.0,,2430.0,2026-03-27,2735.0,ADJUSTED_CLOSE,58898730975.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-04-10,60621545774.99999,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,287,52330499550.0,,2430.0,2026-04-10,2815.0,ADJUSTED_CLOSE,60621545774.99999,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-04-17,62452036499.99999,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,294,52330499550.0,,2430.0,2026-04-17,2900.0,ADJUSTED_CLOSE,62452036499.99999,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-04-24,66005342025.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,301,52330499550.0,,2430.0,2026-04-24,3065.0,ADJUSTED_CLOSE,66005342025.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-05-08,65466962400.00001,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,315,52330499550.0,,2430.0,2026-05-08,3040.0,ADJUSTED_CLOSE,65466962400.00001,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-05-15,65897666100.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,322,52330499550.0,,2430.0,2026-05-15,3060.0,ADJUSTED_CLOSE,65897666100.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-05-22,69020267925.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,329,52330499550.0,,2430.0,2026-05-22,3205.0,ADJUSTED_CLOSE,69020267925.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
198080,2026-05-29,67620480899.99999,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,336,52330499550.0,,2430.0,2026-05-29,3140.0,ADJUSTED_CLOSE,67620480899.99999,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
200670,2024-09-20,420560878500.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,70,374518165500.0,,33350.0,2024-09-20,37450.0,ADJUSTED_CLOSE,420560878500.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2024-09-27,,,
