variant,checkpoint,checkpoint_index,recovery_class,metric,count,mean,median,p25,p75
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,179,0.158855,-0.731262,-6.128013,5.225398
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,post_arm_additional_close_deterioration_pp,179,6.761717,5.359057,1.893295,9.714039
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,post_arm_running_min_close_return_pct,179,-33.189699,-31.587561,-36.806507,-28.416763
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,post_arm_additional_low_deterioration_pp,179,7.69632,6.228373,2.864667,10.938712
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,weak_observation_count,179,7.821229,8.0,8.0,8.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,strong_observation_count,179,0.178771,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,unavailable_observation_count,179,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,weak_share_usable,179,0.977654,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,consecutive_weak_streak,179,7.586592,8.0,8.0,8.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,arm_to_checkpoint_close_delta_pp,117,1.001655,0.438596,-1.180556,2.982108
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,post_arm_additional_close_deterioration_pp,117,1.438202,0.682594,0.0,2.303114
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,post_arm_running_min_close_return_pct,117,-32.096106,-31.891892,-33.650544,-30.201863
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,post_arm_additional_low_deterioration_pp,117,2.219501,1.717305,0.557325,2.948718
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,weak_observation_count,117,1.0,1.0,1.0,1.0
