variant,checkpoint,checkpoint_index,recovery_class,fast_state,fast_bucket,count,rate_pct,eligible_denominator
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,WATCH,WEAK,86,73.504274,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,EXTENDED,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,SETUP,WEAK,46,25.698324,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,TREND,STRONG,1,0.558659,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,TRIGGER,STRONG,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,WATCH,WEAK,132,73.743017,179
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,EXTENDED,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,SETUP,WEAK,28,23.931624,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,TREND,STRONG,1,0.854701,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,TRIGGER,STRONG,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,UNAVAILABLE,UNAVAILABLE,0,0.0,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,RECOVERY,WATCH,WEAK,88,75.213675,117
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,EXTENDED,STRONG,0,0.0,175
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,SETUP,WEAK,46,26.285714,175
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,TREND,STRONG,0,0.0,175
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,TRIGGER,STRONG,0,0.0,175
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,UNAVAILABLE,UNAVAILABLE,0,0.0,175
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_4,4,NEVER_WINNER,WATCH,WEAK,129,73.714286,175
