ticker,probe_iteration,requested_start,requested_end,row_count,violating_date_count,violating_dates,violating_values,response_hash,same_as_previous_iteration,error_classification
001360,3,2010-01-04,2026-08-21,2996,24,"['2014-07-16', '2014-08-14', '2014-08-18', '2014-09-24', '2014-10-14']","[{'date': '2014-07-16', 'open': 2192.0, 'high': 2207.0, 'low': 2031.0, 'close': 2208.0, 'violation': 'close > high'}, {'date': '2014-08-14', 'open': 2180.0, 'high': 2519.0, 'low': 2168.0, 'close': 2520.0, 'violation': 'close > high'}, {'date': '2014-08-18', 'open': 2595.0, 'high': 2889.0, 'low': 2591.0, 'close': 2890.0, 'violation': 'close > high'}]",6c6e75c81489a55736c25946e985cc7ff1021cbce8179cd5a3c8fba7dc5b9b27,True,PROVIDER_INVALID_ADJUSTED_OHLC
001440,1,2010-01-04,2026-08-21,2996,49,"['2014-06-26', '2014-07-17', '2014-08-13', '2014-10-14', '2014-12-04']","[{'date': '2014-06-26', 'open': 42331.0, 'high': 42858.0, 'low': 42122.0, 'close': 42904.0, 'violation': 'close > high'}, {'date': '2014-07-17', 'open': 40605.0, 'high': 41559.0, 'low': 40605.0, 'close': 41605.0, 'violation': 'close > high'}, {'date': '2014-08-13', 'open': 49253.0, 'high': 50652.0, 'low': 48599.0, 'close': 50680.0, 'violation': 'close > high'}]",ed2314461d78feaa14f415f55ceeaa5024aad773fb9599ff96c194e72695a12e,True,PROVIDER_INVALID_ADJUSTED_OHLC
001440,2,2010-01-04,2026-08-21,2996,49,"['2014-06-26', '2014-07-17', '2014-08-13', '2014-10-14', '2014-12-04']","[{'date': '2014-06-26', 'open': 42331.0, 'high': 42858.0, 'low': 42122.0, 'close': 42904.0, 'violation': 'close > high'}, {'date': '2014-07-17', 'open': 40605.0, 'high': 41559.0, 'low': 40605.0, 'close': 41605.0, 'violation': 'close > high'}, {'date': '2014-08-13', 'open': 49253.0, 'high': 50652.0, 'low': 48599.0, 'close': 50680.0, 'violation': 'close > high'}]",ed2314461d78feaa14f415f55ceeaa5024aad773fb9599ff96c194e72695a12e,True,PROVIDER_INVALID_ADJUSTED_OHLC
001440,3,2010-01-04,2026-08-21,2996,49,"['2014-06-26', '2014-07-17', '2014-08-13', '2014-10-14', '2014-12-04']","[{'date': '2014-06-26', 'open': 42331.0, 'high': 42858.0, 'low': 42122.0, 'close': 42904.0, 'violation': 'close > high'}, {'date': '2014-07-17', 'open': 40605.0, 'high': 41559.0, 'low': 40605.0, 'close': 41605.0, 'violation': 'close > high'}, {'date': '2014-08-13', 'open': 49253.0, 'high': 50652.0, 'low': 48599.0, 'close': 50680.0, 'violation': 'close > high'}]",ed2314461d78feaa14f415f55ceeaa5024aad773fb9599ff96c194e72695a12e,True,PROVIDER_INVALID_ADJUSTED_OHLC
001790,1,2010-01-04,2026-08-21,2996,23,"['2014-07-11', '2014-09-24', '2014-10-02', '2014-10-15', '2014-10-27']","[{'date': '2014-07-11', 'open': 3145.0, 'high': 3242.0, 'low': 3102.0, 'close': 3244.0, 'violation': 'close > high'}, {'date': '2014-09-24', 'open': 2924.0, 'high': 2970.0, 'low': 2890.0, 'close': 2972.0, 'violation': 'close > high'}, {'date': '2014-10-02', 'open': 2801.0, 'high': 2924.0, 'low': 2754.0, 'close': 2925.0, 'violation': 'close > high'}]",2df2f983ce2328ae51c4ac6b2e634f843a76f3e37db0051b1374163c69980e44,True,PROVIDER_INVALID_ADJUSTED_OHLC
001790,2,2010-01-04,2026-08-21,2996,23,"['2014-07-11', '2014-09-24', '2014-10-02', '2014-10-15', '2014-10-27']","[{'date': '2014-07-11', 'open': 3145.0, 'high': 3242.0, 'low': 3102.0, 'close': 3244.0, 'violation': 'close > high'}, {'date': '2014-09-24', 'open': 2924.0, 'high': 2970.0, 'low': 2890.0, 'close': 2972.0, 'violation': 'close > high'}, {'date': '2014-10-02', 'open': 2801.0, 'high': 2924.0, 'low': 2754.0, 'close': 2925.0, 'violation': 'close > high'}]",2df2f983ce2328ae51c4ac6b2e634f843a76f3e37db0051b1374163c69980e44,True,PROVIDER_INVALID_ADJUSTED_OHLC
001790,3,2010-01-04,2026-08-21,2996,23,"['2014-07-11', '2014-09-24', '2014-10-02', '2014-10-15', '2014-10-27']","[{'date': '2014-07-11', 'open': 3145.0, 'high': 3242.0, 'low': 3102.0, 'close': 3244.0, 'violation': 'close > high'}, {'date': '2014-09-24', 'open': 2924.0, 'high': 2970.0, 'low': 2890.0, 'close': 2972.0, 'violation': 'close > high'}, {'date': '2014-10-02', 'open': 2801.0, 'high': 2924.0, 'low': 2754.0, 'close': 2925.0, 'violation': 'close > high'}]",2df2f983ce2328ae51c4ac6b2e634f843a76f3e37db0051b1374163c69980e44,True,PROVIDER_INVALID_ADJUSTED_OHLC
002240,1,2010-01-04,2026-08-21,2996,98,"['2014-06-11', '2014-06-12', '2014-06-13', '2014-06-20', '2014-06-27']","[{'date': '2014-06-11', 'open': 20801.0, 'high': 20885.0, 'low': 20606.0, 'close': 20887.0, 'violation': 'close > high'}, {'date': '2014-06-12', 'open': 20718.0, 'high': 21108.0, 'low': 20718.0, 'close': 21110.0, 'violation': 'close > high'}, {'date': '2014-06-13', 'open': 20969.0, 'high': 22280.0, 'low': 20719.0, 'close': 22281.0, 'violation': 'close > high'}]",6ea938d7007c03b42460771d7793d47cd943e4828136b2e6b276e3e89e649c84,True,PROVIDER_INVALID_ADJUSTED_OHLC
002240,2,2010-01-04,2026-08-21,2996,98,"['2014-06-11', '2014-06-12', '2014-06-13', '2014-06-20', '2014-06-27']","[{'date': '2014-06-11', 'open': 20801.0, 'high': 20885.0, 'low': 20606.0, 'close': 20887.0, 'violation': 'close > high'}, {'date': '2014-06-12', 'open': 20718.0, 'high': 21108.0, 'low': 20718.0, 'close': 21110.0, 'violation': 'close > high'}, {'date': '2014-06-13', 'open': 20969.0, 'high': 22280.0, 'low': 20719.0, 'close': 22281.0, 'violation': 'close > high'}]",6ea938d7007c03b42460771d7793d47cd943e4828136b2e6b276e3e89e649c84,True,PROVIDER_INVALID_ADJUSTED_OHLC
002240,3,2010-01-04,2026-08-21,2996,98,"['2014-06-11', '2014-06-12', '2014-06-13', '2014-06-20', '2014-06-27']","[{'date': '2014-06-11', 'open': 20801.0, 'high': 20885.0, 'low': 20606.0, 'close': 20887.0, 'violation': 'close > high'}, {'date': '2014-06-12', 'open': 20718.0, 'high': 21108.0, 'low': 20718.0, 'close': 21110.0, 'violation': 'close > high'}, {'date': '2014-06-13', 'open': 20969.0, 'high': 22280.0, 'low': 20719.0, 'close': 22281.0, 'violation': 'close > high'}]",6ea938d7007c03b42460771d7793d47cd943e4828136b2e6b276e3e89e649c84,True,PROVIDER_INVALID_ADJUSTED_OHLC
