ticker,isu_cd,market,currently_common,historical_only,requested_start,requested_end,attempt_count,retry_count,acquisition_status,error_type,error_message_sanitized,root_cause_category,classification_reason,probe_required
007120,KR7007120009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-20 00:00:00'), Timestamp('2014-07-09 00:00:00'), Timestamp('2014-08-01 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
007190,KR7007190002,KOSPI,False,True,2010-01-04,2017-03-14,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-02-26 00:00:00'), Timestamp('2010-06-15 00:00:00'), Timestamp('2010-08-16 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
007530,KR7007530009,KOSDAQ,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-12-09 00:00:00'), Timestamp('2014-12-12 00:00:00'), Timestamp('2015-02-27 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
007630,KR7007630007,KOSPI,False,True,2010-01-04,2022-02-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-01-05 00:00:00'), Timestamp('2010-01-18 00:00:00'), Timestamp('2010-01-19 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
007690,KR7007690001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-19 00:00:00'), Timestamp('2014-07-24 00:00:00'), Timestamp('2014-09-19 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
008080,KR7008080004,KOSPI,False,True,2010-01-04,2013-09-24,2,1,ERROR,MarketDataError,수정주가 OHLC에 0 이하의 가격이 있습니다.,DELISTED_SYMBOL_UNSUPPORTED,Delisted symbol table unparseable via unauthenticated web endpoint,True
008540,KR7008540007,KOSPI,False,True,2010-01-04,2012-06-07,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-07-02 00:00:00'), Timestamp('2010-07-09 00:00:00'), Timestamp('2010-07-28 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
008800,KR7008800005,KOSDAQ,False,True,2010-01-04,2021-06-04,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-01-18 00:00:00'), Timestamp('2010-01-22 00:00:00'), Timestamp('2010-02-01 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
008900,KR7008900003,KOSPI,False,True,2010-01-04,2016-05-16,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-01-08 00:00:00'), Timestamp('2010-01-11 00:00:00'), Timestamp('2010-02-26 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
008930,KR7008930000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-16 00:00:00'), Timestamp('2014-06-19 00:00:00'), Timestamp('2014-07-11 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
