ticker,market,canonical_sector_code,canonical_sector_name,naver_sector_names,naver_sector_count,mapped_naver_sector_codes,classification,possible_reference_date_drift
105840,KOSPI,1014,의료·정밀기기,기계,1,1012,SECTOR_CONFLICT,True
107590,KOSPI,1021,금융,화학,1,1008,SECTOR_CONFLICT,True
107600,KOSDAQ,2065,화학,전기제품,1,2072,SECTOR_CONFLICT,True
108670,KOSPI,1008,화학,건축자재,1,1010,SECTOR_CONFLICT,True
108860,KOSDAQ,2118,IT 서비스,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
109070,KOSPI,1013,전기전자,해운사,1,1019,SECTOR_CONFLICT,True
109610,KOSDAQ,2068,금속,건축자재,1,2067,SECTOR_CONFLICT,True
109740,KOSDAQ,2070,기계·장비,전자장비와기기,1,2072,SECTOR_CONFLICT,True
109820,KOSDAQ,2012,일반서비스,생물공학,1,2066,SECTOR_CONFLICT,True
109860,KOSDAQ,2068,금속,기계,1,2070,SECTOR_CONFLICT,True
109960,KOSDAQ,2027,유통,제약,1,2066,SECTOR_CONFLICT,True
110990,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
111710,KOSDAQ,2037,오락·문화,"호텔,레스토랑,레저",1,2012,SECTOR_CONFLICT,True
111770,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
112290,KOSDAQ,2065,화학,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
114630,KOSDAQ,2065,화학,"섬유,의류,신발,호화품",1,2058,SECTOR_CONFLICT,True
114810,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
115160,KOSDAQ,2027,유통,전자제품,1,2072,SECTOR_CONFLICT,True
115180,KOSDAQ,2012,일반서비스,제약,1,2066,SECTOR_CONFLICT,True
115310,KOSDAQ,2114,통신,IT서비스,1,2118,SECTOR_CONFLICT,True
115450,KOSDAQ,2027,유통,제약,1,2066,SECTOR_CONFLICT,True
118000,KOSPI,1016,유통,제약,1,1009,SECTOR_CONFLICT,True
119500,KOSDAQ,2068,금속,기계,1,2070,SECTOR_CONFLICT,True
119650,KOSPI,1012,기계·장비,상업서비스와공급품,1,1046,SECTOR_CONFLICT,True
119830,KOSDAQ,2012,일반서비스,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
121850,KOSDAQ,2065,화학,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
122640,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
122900,KOSPI,1016,유통,상업서비스와공급품,1,1046,SECTOR_CONFLICT,True
123690,KOSPI,1016,유통,화장품,1,1008,SECTOR_CONFLICT,True
123750,KOSDAQ,2075,운송장비·부품,레저용장비와제품,1,2027,SECTOR_CONFLICT,True
125210,KOSDAQ,2072,전기전자,화학,1,2065,SECTOR_CONFLICT,True
126560,KOSPI,1020,통신,화장품,1,1008,SECTOR_CONFLICT,True
126700,KOSDAQ,2074,의료·정밀기기,핸드셋,1,2072,SECTOR_CONFLICT,True
126880,KOSDAQ,2070,기계·장비,석유와가스,1,2027,SECTOR_CONFLICT,True
