ticker,name,fast_trigger_event_date,fast_trigger_event_sequence,fast_trigger_event_status,fast_score_at_event,fast_monthly_state_at_event,fast_daily_risk_at_event,pattern_a_status_at_fast_event,pattern_a_active_at_fast_event,pattern_a_was_active_before_fast_event,pattern_a_prior_active_date,pattern_a_prior_candidate_event_date,pattern_a_next_candidate_event_date,pair_status,lead_days,lead_weeks,analysis_end,censor_status
011070,LG이노텍,2021-09-03,6,OBSERVED,77.74,PERMITTED_REGIME,NORMAL,READY,False,YES,2020-09-25,2019-12-06,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2021-09-24,NOT_CENSORED
011200,HMM,2021-02-19,1,OBSERVED,69.81,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2022-08-05,FAST_EARLIER_PATTERN_A_LATER,532.0,76.0,2023-12-22,NOT_CENSORED
011200,HMM,2021-04-23,2,OBSERVED,82.57,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2022-08-05,FAST_EARLIER_PATTERN_A_LATER,469.0,67.0,2023-12-22,NOT_CENSORED
011210,현대위아,2017-08-11,1,OBSERVED,63.32,EARLY_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2019-06-28,DATA_UNAVAILABLE
012170,아센디오,2023-10-20,1,OBSERVED,63.0,EARLY_REGIME,ELEVATED,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-27,DATA_UNAVAILABLE
012170,아센디오,2023-11-24,2,OBSERVED,55.5,EARLY_REGIME,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-27,DATA_UNAVAILABLE
012170,아센디오,2025-04-04,3,OBSERVED,54.05,LATE_OR_EXTENDED_REGIME,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-27,DATA_UNAVAILABLE
012450,한화에어로스페이스,2022-03-04,1,OBSERVED,68.54,LATE_OR_EXTENDED_REGIME,NORMAL,READY,False,YES,2021-08-27,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2024-06-28,NOT_CENSORED
012450,한화에어로스페이스,2022-03-25,2,OBSERVED,69.04,LATE_OR_EXTENDED_REGIME,NORMAL,READY,False,YES,2021-08-27,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2024-06-28,NOT_CENSORED
012450,한화에어로스페이스,2022-04-15,3,OBSERVED,78.49,PERMITTED_REGIME,NORMAL,READY,False,YES,2021-08-27,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2024-06-28,NOT_CENSORED
012450,한화에어로스페이스,2022-04-29,4,OBSERVED,79.8,PERMITTED_REGIME,NORMAL,READY,False,YES,2021-08-27,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2024-06-28,NOT_CENSORED
012450,한화에어로스페이스,2022-06-10,5,OBSERVED,69.85,LATE_OR_EXTENDED_REGIME,NORMAL,READY,False,YES,2021-08-27,,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2024-06-28,NOT_CENSORED
