strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price,hwm_price
V3,069500,2017-01-13,2017-01-16,27160.0,2018-02-09,2018-02-12,31005.0,SOFT_EXIT,REALIZED,14.16,26.25,-0.92,263,12.09,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-02-12,,
V3,069500,2017-01-20,2017-01-23,27055.0,2018-02-09,2018-02-12,31005.0,SOFT_EXIT,REALIZED,14.6,26.74,-0.54,258,12.14,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-02-12,,
V3,069500,2017-09-01,2017-09-04,30340.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,33.22,49.54,-34.26,975,16.32,4,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2017-09-08,2017-09-11,30910.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,30.77,46.78,-35.47,970,16.01,5,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2017-09-15,2017-09-18,31415.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,28.66,44.42,-36.51,965,15.76,6,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2017-09-22,2017-09-25,31710.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,27.47,43.08,-37.1,960,15.61,7,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
V3,069500,2019-11-15,2019-11-18,28745.0,2021-10-06,2021-10-07,38600.0,SOFT_EXIT,REALIZED,34.28,57.84,-30.61,467,23.56,8,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-10-07,,
V3,069500,2019-11-22,2019-11-25,28135.0,2021-10-06,2021-10-07,38600.0,SOFT_EXIT,REALIZED,37.2,61.26,-29.11,462,24.06,9,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-10-07,,
V3,069500,2020-01-10,2020-01-13,30075.0,2021-10-06,2021-10-07,38600.0,SOFT_EXIT,REALIZED,28.35,50.86,-33.68,430,22.51,10,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-10-07,,
V3,069500,2020-01-17,2020-01-20,30865.0,2021-08-20,2021-08-23,40420.0,SOFT_EXIT,REALIZED,30.96,46.99,-35.38,396,16.03,11,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-08-23,,
