requested_date,sector_code,market,attempt_count,retry_count,success,empty_response,ticker_count,error_type,elapsed_seconds
2025-08-01,1025,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.084
2025-08-01,1026,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.101
2025-08-01,1027,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.094
2025-08-01,1045,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.083
2025-08-01,1046,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.1
2025-08-01,1047,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.213
2025-08-01,2012,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.242
2025-08-01,2024,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.083
2025-08-01,2026,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.07
2025-08-01,2027,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.087
2025-08-01,2029,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.091
2025-08-01,2031,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.1
2025-08-01,2037,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.105
2025-08-01,2056,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.09
2025-08-01,2058,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.104
2025-08-01,2062,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.146
2025-08-01,2063,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.083
2025-08-01,2065,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.08
2025-08-01,2066,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.074
2025-08-01,2067,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.067
2025-08-01,2068,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.085
2025-08-01,2070,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.094
2025-08-01,2072,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.086
2025-08-01,2074,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.101
2025-08-01,2075,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.084
2025-08-01,2077,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.116
2025-08-01,2114,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.081
2025-08-01,2118,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.15
