effective_date,ticker,market,sector_codes,sector_names
2025-08-14,032750,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,032820,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,032830,['KOSPI'],"['1021', '1025']","['금융', '보험']"
2025-08-14,032960,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033050,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,033100,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033160,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033170,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033180,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,033200,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033240,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,033250,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,033270,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,033310,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033340,['KOSDAQ'],"['2024', '2058']","['섬유·의류', '제조']"
2025-08-14,033500,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,033530,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,033540,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,033560,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033640,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033780,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,033790,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,033920,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,034020,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,034220,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,034940,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,035150,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,035200,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,035460,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,035810,['KOSDAQ'],"['2024', '2056']","['음식료·담배', '제조']"
2025-08-14,036010,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,036090,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,036170,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,036200,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,036220,['KOSDAQ'],"['2024', '2074']","['의료·정밀기기', '제조']"
2025-08-14,036480,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,036540,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,036560,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,036580,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,036640,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,036670,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,036690,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,036810,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,036890,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,036930,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,037030,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,037070,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,037230,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,037330,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,037370,['KOSDAQ'],"['2024', '2065']","['제조', '화학']"
2025-08-14,037460,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,037760,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,037950,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,038010,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,038060,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,038110,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,038460,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,038500,['KOSDAQ'],"['2024', '2067']","['비금속', '제조']"
2025-08-14,038880,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,038950,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,039010,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,039020,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,039030,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,039200,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,039240,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,039440,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,039490,['KOSPI'],"['1021', '1024']","['금융', '증권']"
2025-08-14,039560,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,039610,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,039840,['KOSDAQ'],"['2024', '2074']","['의료·정밀기기', '제조']"
2025-08-14,039860,['KOSDAQ'],"['2024', '2074']","['의료·정밀기기', '제조']"
2025-08-14,040610,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,040910,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,041440,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,041520,['KOSDAQ'],"['2024', '2074']","['의료·정밀기기', '제조']"
2025-08-14,041650,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,041830,['KOSDAQ'],"['2024', '2074']","['의료·정밀기기', '제조']"
