ticker,name,market,asset_type,is_common_stock,metadata_source,effective_date,classification_authority,asset_type_source,source_security_type
080010,이상네트웍스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
086890,이수앱지스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
007660,이수페타시스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
005950,이수화학,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
015020,이스타코,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
047560,이스트소프트,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
900110,이스트아시아홀딩스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
270020,이십일스토어,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
067010,이씨에스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
093230,이아이디,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
341310,이앤에치,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
241510,이에스산업,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
052190,이에스에이,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
226360,이엑스티,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
101360,이엔드디,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
102710,이엔에프테크놀로지,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
074610,이엔플러스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
063760,이엘피,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
123570,이엠넷,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
083470,이엠앤아이,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
095190,이엠코리아,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
091120,이엠텍,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
232530,이엠티,KONEX,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
102460,이연제약,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
039030,이오테크닉스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
294090,이오플로우,KOSDAQ,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
088290,이원컴포텍,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
084680,이월드,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
181340,이즈미디어,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
353810,이지바이오,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
350520,이지스레지던스리츠,KOSPI,REIT,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
334890,이지스밸류리츠,KOSPI,REIT,False,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
090850,이지웰,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
099750,이지케어텍,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
035810,이지홀딩스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
160600,이큐셀,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
092130,이크레더블,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
096040,이트론,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
134060,이퓨쳐,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
001840,이화공영,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
000760,이화산업,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
024810,이화전기,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
014990,인디에프,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-12-18,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
