ticker,trade_sequence,legacy_trade_sequence,current_trade_sequence,legacy_present,current_present,legacy_entry_signal_date,current_entry_signal_date,market_cap_reference_date,market_cap_source,source_available_in_legacy_generation,source_available_in_current_generation,delta_classification
011210,1,,1,False,True,,2022-09-02,2022-09-02,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220902.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
011560,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
011780,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
012330,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
012750,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
013890,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
014620,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
014830,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
015230,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
015760,1,,1,False,True,,2024-02-02,2024-02-02,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240202.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
015860,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
016090,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
017670,1,,1,False,True,,2023-10-06,2023-10-06,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20231006.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
017940,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
017960,1,1,1,True,True,2025-01-31,2025-01-31,2025-01-31,artifacts/patterns/pattern_a/production/investability/source/krx_market_cap_20250131.csv,True,True,UNCHANGED_BEHAVIORAL_ROW
018260,1,1,1,True,True,2025-06-27,2023-09-01,2023-09-01,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230901.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
018310,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
019210,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
021240,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
023160,1,1,1,True,True,2025-01-31,2025-01-31,2025-01-31,artifacts/patterns/pattern_a/production/investability/source/krx_market_cap_20250131.csv,True,True,UNCHANGED_BEHAVIORAL_ROW
023530,1,1,1,True,True,2022-06-24,2022-06-03,2022-06-03,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220603.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
023600,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
023760,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
023910,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
024110,1,1,1,True,True,2023-09-22,2023-09-01,2023-09-01,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230901.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
025860,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
027410,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
028050,1,,1,False,True,,2023-02-17,2023-02-17,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230217.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
028260,1,1,1,True,True,2023-12-22,2022-07-01,2022-07-01,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220701.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
029460,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
029780,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
030000,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
030190,1,1,1,True,True,2024-12-27,2024-12-27,2024-12-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
030200,1,1,1,True,True,2023-12-22,2023-10-06,2023-10-06,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20231006.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
032350,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
032830,1,1,1,True,True,2022-12-23,2022-05-27,2022-05-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220527.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
033780,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
034230,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
034310,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
034730,1,1,1,True,True,2025-06-27,2024-02-23,2024-02-23,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240223.csv,False,True,EXPECTED_PIT_AVAILABILITY_EXPANSION
035420,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
035890,1,1,1,True,True,2024-09-27,2024-09-27,2024-09-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
036190,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
036620,1,1,1,True,True,2025-03-28,2025-03-28,2025-03-28,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
036890,1,1,1,True,True,2025-06-27,2025-06-27,2025-06-27,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,True,True,LEGACY_PROVENANCE_PATH_VERSION
037460,1,1,1,True,True,2025-01-31,2025-01-31,2025-01-31,artifacts/patterns/pattern_a/production/investability/source/krx_market_cap_20250131.csv,True,True,UNCHANGED_BEHAVIORAL_ROW
