trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_source_isu_cd,control_lifecycle_event_type,control_unresolved_reason,control_lifecycle_evidence_id,control_terminal_reason,control_lifecycle_state,control_certification_class,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_lifecycle_state,candidate_certification_class,pair_certification_class,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source,candidate_source_isu_cd,candidate_lifecycle_event_type,candidate_unresolved_reason,candidate_lifecycle_evidence_id,trade_status,terminal_reason
000880_03,000880|KR7000880005|KOSPI|2010-01-04|2026-08-21|000880_03,000880,KR7000880005|KOSPI|2010-01-04|2026-08-21,2025-02-17,2025-02-14,50960.00000000,2025-05-30,nan,77.86000000,71,True,2025-05-30,nan,77.86000000,71,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,KR7000880005,,,,,,,,,,,,,,,,,,,KR7000880005,,,,CONTROL=OPEN_AT_CUTOFF;CANDIDATE=OPEN_AT_CUTOFF,CONTROL=nan;CANDIDATE=nan
001040_01,001040|KR7001040005|KOSPI|2010-01-04|2026-08-21|001040_01,001040,KR7001040005|KOSPI|2010-01-04|2026-08-21,2023-01-09,2023-01-06,81800.00000000,2023-06-30,nan,-16.87000000,118,False,2023-06-30,nan,-16.87000000,118,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001040005,,,,,,,,,,,,,,,,,,,KR7001040005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001040_02,001040|KR7001040005|KOSPI|2010-01-04|2026-08-21|001040_02,001040,KR7001040005|KOSPI|2010-01-04|2026-08-21,2023-12-11,2023-12-08,99200.00000000,2024-08-01,nan,31.96000000,158,False,2024-08-01,nan,31.96000000,158,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001040005,,,,,,,,,,,,,,,,,,,KR7001040005,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001060_01,001060|KR7001060003|KOSPI|2010-01-04|2026-08-21|001060_01,001060,KR7001060003|KOSPI|2010-01-04|2026-08-21,2022-03-14,2022-03-11,26909.00000000,2022-06-16,nan,-15.93000000,64,False,2022-06-16,nan,-15.93000000,64,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001060003,,,,,,,,,,,,,,,,,,,KR7001060003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001060_02,001060|KR7001060003|KOSPI|2010-01-04|2026-08-21|001060_02,001060,KR7001060003|KOSPI|2010-01-04|2026-08-21,2023-05-15,2023-05-12,23441.00000000,2023-11-01,nan,10.88000000,115,False,2023-11-01,nan,10.88000000,115,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001060003,,,,,,,,,,,,,,,,,,,KR7001060003,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001070_01,001070|KR7001070002|KOSPI|2010-01-04|2026-08-21|001070_01,001070,KR7001070002|KOSPI|2010-01-04|2026-08-21,2023-03-13,2023-03-10,53400.00000000,2023-07-03,nan,-50.00000000,65,False,2023-07-03,nan,-50.00000000,65,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001070002,,,,,,,,,,,,,,,,,,,KR7001070002,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001080_01,001080|KR7001080001|KOSPI|2010-01-04|2026-08-21|001080_01,001080,KR7001080001|KOSPI|2010-01-04|2026-08-21,2022-10-24,2022-10-21,3192.00000000,2023-04-03,nan,51.88000000,112,False,2023-04-03,nan,51.88000000,112,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001080001,,,,,,,,,,,,,,,,,,,KR7001080001,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001130_01,001130|KR7001130004|KOSPI|2010-01-04|2026-08-21|001130_01,001130,KR7001130004|KOSPI|2010-01-04|2026-08-21,2022-03-07,2022-03-04,17950.00000000,2022-06-16,nan,-15.88000000,70,False,2022-06-16,nan,-15.88000000,70,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001130004,,,,,,,,,,,,,,,,,,,KR7001130004,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001130_02,001130|KR7001130004|KOSPI|2010-01-04|2026-08-21|001130_02,001130,KR7001130004|KOSPI|2010-01-04|2026-08-21,2023-02-13,2023-02-10,15180.00000000,2023-07-10,nan,-15.42000000,101,False,2023-07-10,nan,-15.42000000,101,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001130004,,,,,,,,,,,,,,,,,,,KR7001130004,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
001250_01,001250|KR7001250000|KOSPI|2010-01-04|2026-08-21|001250_01,001250,KR7001250000|KOSPI|2010-01-04|2026-08-21,2023-05-22,2023-05-19,3350.00000000,2023-07-07,nan,-19.10000000,33,False,2023-07-07,nan,-19.10000000,33,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,KR7001250000,,,,,,,,,,,,,,,,,,,KR7001250000,,,,CONTROL=REALIZED;CANDIDATE=REALIZED,CONTROL=nan;CANDIDATE=nan
