run,path,category,bytes,sha256,git_tracked,in_origin_main,modified_vs_head,over_size_limit
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/run_manifest.json,manifest,2530,9ab02c8d4914acc67e992fc7b0d7fa9869711d5cebe11f3850909fdb3d894c4a,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/sample_benchmark_p3_1_common_pit_v01.json,preflight_validation,9245,b0a14d920ff17986b19a5fc03c7b58e4f8ba85656c664259da23cfdf59aa20f0,False,False,False,False
SIMPLE_P3-1,artifacts/backtests/p3_1_neg40_weak_protect_v01/run_20260925_worker10_replay_v01/summary.json,summary,20688,6d2757f521130f2455b1489361bab3c40f224b8025458be2d45d040dd990b156,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/candidate_trades.csv,candidate_ledger,945821,33bcda4406473e12e1fe0da5f5d5c69aa23fd1e904fde4f05d3af04f2f065e4a,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/control_trades.csv,control_ledger,822116,b905b601f36195e8a1666454f90f442e65c653857cda5e4fdc79a362b2776e16,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/p3_2_matched_trades.csv,paired_identity_audit,707427,df407cc7426b38e9fcf74d3708fc5a94e9a5fc2b1d196677bac0181e56ba4905,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/p3_2_soft_events.csv,lifecycle_soft_event,127037,da58c4deae2881d6894cee94d7e486298edd573138ca55557a23eaa0c77a8376,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/p3_2_summary.json,summary,35096,d500be2806e0a6555389797f9d5035076dd4176774b49db25f70110949e325bf,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/paired_trades.csv,paired_identity_audit,1663358,39962b0db275495dbf13a3e7b707fcc1ad701dc438ac2b4cfa1b3134685e5c59,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/run_manifest.json,manifest,10891,dc39a7e0500ad9fbe121e586ee846a2b87e913250cb8640219727bd4d8e5b2ae,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/sample_benchmark_p3_2_common_pit_v01.json,preflight_validation,11894,a22dc6b1a6e9b8e856e4893b1cca838f4c72853337693a762518d21a9ae28a07,False,False,False,False
SIMPLE_P3-2,artifacts/backtests/p3_2_neg40_weak_protect_v01/run_20260925_p3_2_worker10_corrective_v01/summary.json,summary,35096,d500be2806e0a6555389797f9d5035076dd4176774b49db25f70110949e325bf,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/candidate_daily_equity.csv,daily_equity,217202,a456e23b94fd01dbc33002e1c998ae98d9bf908341acb6de20bdd57bcacaa5a8,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/candidate_portfolio_events.csv,portfolio_trades,214151,d85f0a89dbaa37099508707bfa31e9e76556201e509b8fe6e817721d503d2ac9,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/candidate_strategy_trades.csv,candidate_ledger,208242,5ac1b3139334f5f76bbf87ffd95d60850acc8295a5d34075975f28db287860ea,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/comparison_report.md,final_report,3085,ab2955927ec063493507f28a60f3a208b5f80b78ae78251deecf50559163aa39,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_daily_equity.csv,daily_equity,193485,51cc82aed2107e295a5e88e2b6c5615ce8c922c4bf4b7531fe2a4dba7f366ea1,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_portfolio_events.csv,portfolio_trades,200569,d5e8e9a0ea81e7bea7af45f4d1679fe92e1b2a0c5457fdde2bda769960fbdf54,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_strategy_trades.csv,control_ledger,183555,1b88f763394e93ad0db5ce16f95bccff4c434eb7c01b9a4d57bd5229a9de4864,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/execution_contract.json,manifest,3240,f5f37ed6a102da8412589e67cbd8e6b302abfa2b9d5c41d13b4a471a2313b481,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/filtered_universe_audit.csv,exclusion_identity_audit,370056,b1410dbae79c435d72b3fc95c53bcc2db8ecf389b8ef7825b57b9eb83e474574,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/hidden_position_cap_audit.json,preflight_validation,3943,70803abe6ad5c8946e01ef7b719ea29d01339724f899723f72ef9c3ef2a7e84a,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/mcap365_to_trade355_reason_audit.csv,exclusion_identity_audit,106280,f25d469d3100aab84d7bc221ac577de6e80a4880c3e24961dcf504aebea631a3,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/p2_1_soft_events.csv,lifecycle_soft_event,57700,84b4f1fad262b099231e6eddcd6e958e8dc136b32d715c882cefe4886932a0d6,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/pit_mcap_audit.csv,pit_mcap_audit,2100365,3eac4fd9934ca48b53ccf3048741cf47bb7201c6943d17423745d00c7aa1d5b4,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/sample_benchmark.json,preflight_validation,2283,bfb59e19fd5eda6ea83a1afd30176c1b6a42d49d9e54ebc6950515e0c8110fda,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/skipped_entries.csv,portfolio_trades,102282,defb26e0a2247deace5f547b0576bc5546a50d45a995fbfa79bb16a353363522,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/summary.csv,summary,4983,8e30b56b79fb0330ba7409ddca4b6b8ca24ee4cf162a276c0b204f1b321b72cf,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/summary.json,summary,20553,a996e716944b5b51939d579548398d5269a76bf96dd6a5158173c61e159dd1ac,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/valuation_gap_closure_audit.csv,valuation_audit,125336,f9a0d0e620bf435f137a57064c13c0d47961e1d2c5067eae6388dab79467909e,False,False,False,False
REALISTIC_P2-1,artifacts/backtests/p2_1_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/valuation_gap_source_diagnosis.csv,valuation_audit,50060,2efce1d5b8b7ab0f8125e442f98d2707c0bfa2c14327e909705efc4b380d3f23,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/candidate_daily_equity.csv,daily_equity,277647,3444c128893a44785252a8466c192f4eb3c4ea2311c882b423afb2dba05e6687,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/candidate_portfolio_events.csv,portfolio_trades,305725,2fcae8a816dd5e4827b0ac5c056168c6ef6e4868314cd22f5f3b58bf7fa68f47,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/candidate_strategy_trades.csv,candidate_ledger,289930,2628f37914fcd8e6686e60ff3aa7c96d201063b05c9f90fec1b37245c29c86dc,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/comparison_report.md,final_report,3527,53236903c9afcc8dc5092b5d7c15ab31dd876ebfe610f95613cbd4133e8f0028,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_daily_equity.csv,daily_equity,247158,99c5f2a3989bc379c5e5e7990e0af8b97891ccdc9bfd1e11bd83843715126860,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_portfolio_events.csv,portfolio_trades,287210,2eb7a813d2546f2c04d3053c94c6100c7c2e266e226af814169ba2a1dc9cea66,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/control_strategy_trades.csv,control_ledger,255106,3bb3f0a9efad255a49c1cb3f0e3f8138da04deb6642b472cb2517c7412591d81,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/execution_contract.json,manifest,4102,5fce66b4fc88ed40a61c94e962359e5d590f1e31ea70df980544757f329bbf4f,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/hidden_position_cap_audit.json,preflight_validation,224,9222805e422899fcdd6b2f6f818101f2d45931dc8267f95d6b71bb9738e62466,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/matching_audit.json,preflight_validation,429,a7e9f42c385b1133ee45f553d475fd0ac88191007c2642d0e046861a43b6a27c,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/p2_2_soft_events.csv,lifecycle_soft_event,66087,cf5d1b3cbf7246a20b672d72bc2df65551362803e7449739b8756bf57092d71f,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/pit_mcap_audit.csv,pit_mcap_audit,3026098,a032c3d07b13c30f69f282d89c7ae1680d3ce4b981bbb0286ddd87e751d71652,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/preflight_pit_partition_coverage.json,pit_mcap_audit,421,b31d2413c2da0cd7c8117962e07126fb6300ff135a4b1b91cfe564f480fcff61,False,False,False,False
REALISTIC_P2-2,artifacts/backtests/p2_2_neg40_weak_protect_v01/run_20260926_realistic_mcap1t_worker10_v01/sample_benchmark.json,preflight_validation,2615,839da85b7b099d0c523544d745a1818064c22fdd464b6b34c5a76cfa40c30ce5,False,False,False,False
