ticker,population_class,currently_common,historical_only,alpha_ticker,control_category,selection_reason,authority_source_path,authority_identity_hash_or_reference,listing_start,listing_end
045820,CURRENT_COMMON,True,False,False,EXISTING_EMPTY_CONTROL,EXISTING_EMPTY_045820,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,empty_ticker_investigation.csv,2010-01-04,2010-01-14
000810,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_000810,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
001040,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_001040,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
001740,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_001740,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
002790,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_002790,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
003540,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_003540,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
000500,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_000500,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
000970,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_000970,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
001250,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_001250,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
001380,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_001380,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
001420,CURRENT_COMMON,True,False,False,EXISTING_OHLC_ANOMALY_CONTROL,ANOMALY_CONTROL_001420,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/pit_common_denominator_v01.json,error_taxonomy.csv,2010-01-04,2026-08-21
030990,HISTORICAL_ONLY,False,True,False,KNOWN_UNSUPPORTED_CONTROL,KNOWN_UNSUPPORTED_030990,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01/historical_common_population_v01.json,known_unsupported_030990,,
