ticker,control_category,population_class,expected_count,candidate_count,missing_expected_count,raw_unexpected_count,reconciled_unexpected_count,unreconciled_unexpected_count,first_expected_date,last_expected_date,first_candidate_date,last_candidate_date,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,error_detail
000610,EXISTING_EMPTY_CONTROL,CURRENT_COMMON,12,12,0,0,0,0,2010-01-04,2010-01-19,2010-01-04,2010-01-19,0,0,0,COVERAGE_VALID,
015940,EXISTING_EMPTY_CONTROL,CURRENT_COMMON,9,9,0,0,0,0,2010-01-04,2010-01-14,2010-01-04,2010-01-14,0,0,0,COVERAGE_VALID,
037510,EXISTING_EMPTY_CONTROL,CURRENT_COMMON,16,16,0,0,0,0,2010-01-04,2010-01-25,2010-01-04,2010-01-25,0,0,0,COVERAGE_VALID,
045820,EXISTING_EMPTY_CONTROL,CURRENT_COMMON,9,9,0,0,0,0,2010-01-04,2010-01-14,2010-01-04,2010-01-14,0,0,0,COVERAGE_VALID,
000810,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
001040,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
001740,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
002790,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
003540,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
000500,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
000970,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
001250,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
001380,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
001420,EXISTING_OHLC_ANOMALY_CONTROL,CURRENT_COMMON,4095,4095,0,0,0,0,2010-01-04,2026-08-21,2010-01-04,2026-08-21,0,0,0,COVERAGE_VALID,
030990,KNOWN_UNSUPPORTED_CONTROL,HISTORICAL_ONLY,0,0,0,0,0,0,,,,,0,0,0,ERROR,Missing chartdata element in XML response
