date,strategy_id,valuation_basis_date,cash,pending_sale_proceeds,invested_market_value,equity,drawdown,exposure,cash_ratio,open_positions,valuation_is_execution_support_only
2022-07-07,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-07,115946121.65447937,16235668.08424575,56075340.0,188257129.73872513,-0.059862170537072545,0.2978656908124798,0.7021343091875202,12,False
2022-07-08,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-08,132181789.73872513,4181633.7354449998,52297132.0,188660555.47417012,-0.057847501579795235,0.27720225814325083,0.7227977418567492,11,False
2022-07-11,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-11,136363423.47417012,0.0,51493184.0,187856607.47417012,-0.061862339842601144,0.2741089849984659,0.7258910150015341,11,False
2022-07-12,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-12,136363423.47417012,0.0,51727210.0,188090633.47417012,-0.060693636718404775,0.275012152623238,0.7249878473767619,11,False
2022-07-13,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-13,136363423.47417012,4069245.53979135,47361367.0,187794036.01396146,-0.062174815640296255,0.25219846170449706,0.747801538295503,10,False
2022-07-14,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-14,140432669.01396146,0.0,46982174.0,187414843.01396146,-0.06406846866933313,0.25068544862532616,0.7493145513746738,10,False
2022-07-15,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-15,140432669.01396146,0.0,46791731.0,187224400.01396146,-0.0650195225226714,0.24992325250614078,0.7500767474938592,10,False
2022-07-18,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-18,140432669.01396146,0.0,47539637.0,187972306.01396146,-0.06128455256717413,0.25290766500714756,0.7470923349928524,10,False
2022-07-19,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-19,140432669.01396146,4425390.464714999,43425428.0,188283487.47867647,-0.059730542542627996,0.23063853650425944,0.7693614634957405,9,False
2022-07-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-20,144858059.47867647,0.0,43777672.0,188635731.47867647,-0.05797147020331772,0.23207518351287895,0.7679248164871211,9,False
2022-07-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-21,144858059.47867647,0.0,43748298.0,188606357.47867647,-0.05811816110761947,0.23195558508650013,0.7680444149134998,9,False
2022-07-22,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-22,144858059.47867647,0.0,43652328.0,188510387.47867647,-0.05859742597062245,0.23156457627534066,0.7684354237246593,9,False
2022-07-25,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-25,139864522.76050648,0.0,48964726.0,188829248.76050648,-0.05700506368497904,0.25930689404003465,0.7406931059599653,10,False
2022-07-26,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-26,139864522.76050648,0.0,49393348.0,189257870.76050648,-0.05486456702862752,0.26098437968006133,0.7390156203199387,10,False
2022-07-27,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-27,139864522.76050648,0.0,49485758.0,189350280.76050648,-0.0544030804600113,0.261345046868932,0.738654953131068,10,False
2022-07-28,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-28,139864522.76050648,0.0,49485308.0,189349830.76050648,-0.054405327716324225,0.2613432914159296,0.7386567085840704,10,False
2022-07-29,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-07-29,139864522.76050648,0.0,49747220.0,189611742.76050648,-0.053097364615367404,0.26236360299074085,0.7376363970092592,10,False
2022-08-01,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-01,126115539.5343283,0.0,63185549.0,189301088.53432828,-0.0546487416618463,0.3337833368482812,0.6662166631517189,13,False
2022-08-02,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-02,126115539.5343283,0.0,63315221.0,189430760.53432828,-0.05400117228271406,0.3342393855222164,0.6657606144777837,13,False
2022-08-03,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-03,126115539.5343283,0.0,63348112.0,189463651.53432828,-0.05383691782185107,0.33435496195175024,0.6656450380482498,13,False
2022-08-04,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-04,126115539.5343283,0.0,62849777.0,188965316.53432828,-0.0563255544322977,0.33259953811990906,0.6674004618800911,13,False
2022-08-05,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-05,126115539.5343283,0.0,63156255.0,189271794.53432828,-0.054795033053914755,0.3336802250720211,0.666319774927979,13,False
2022-08-08,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,2022-08-08,116231884.9084833,0.0,73542526.0,189774410.9084833,-0.052285015676583946,0.38752604024925735,0.6124739597507427,15,False
