pair_id,control_trade_id,control_ticker,control_isu_cd,control_market,control_entry_signal_date,control_entry_execution_date,candidate_trade_id,candidate_ticker,candidate_isu_cd,candidate_market,candidate_entry_signal_date,candidate_entry_execution_date,identity_and_entry_match
006260|KR7006260004|KOSPI|2010-01-04|2026-09-01|006260_02,006260_02,6260,KR7006260004,KOSPI,2022-08-12,2022-08-16,006260_02,6260,KR7006260004,KOSPI,2022-08-12,2022-08-16,True
006260|KR7006260004|KOSPI|2010-01-04|2026-09-01|006260_03,006260_03,6260,KR7006260004,KOSPI,2025-05-16,2025-05-19,006260_03,6260,KR7006260004,KOSPI,2025-05-16,2025-05-19,True
006280|KR7006280002|KOSPI|2010-01-04|2026-09-01|006280_01,006280_01,6280,KR7006280002,KOSPI,2024-10-18,2024-10-21,006280_01,6280,KR7006280002,KOSPI,2024-10-18,2024-10-21,True
006280|KR7006280002|KOSPI|2010-01-04|2026-09-01|006280_02,006280_02,6280,KR7006280002,KOSPI,2025-12-12,2025-12-15,006280_02,6280,KR7006280002,KOSPI,2025-12-12,2025-12-15,True
006360|KR7006360002|KOSPI|2010-01-04|2026-09-01|006360_01,006360_01,6360,KR7006360002,KOSPI,2026-02-13,2026-02-19,006360_01,6360,KR7006360002,KOSPI,2026-02-13,2026-02-19,True
006360|KR7006360002|KOSPI|2010-01-04|2026-09-01|006360_02,006360_02,6360,KR7006360002,KOSPI,2026-03-13,2026-03-16,006360_02,6360,KR7006360002,KOSPI,2026-03-13,2026-03-16,True
006400|KR7006400006|KOSPI|2010-01-04|2026-09-01|006400_01,006400_01,6400,KR7006400006,KOSPI,2022-10-28,2022-10-31,006400_01,6400,KR7006400006,KOSPI,2022-10-28,2022-10-31,True
006650|KR7006650006|KOSPI|2010-01-04|2026-09-01|006650_01,006650_01,6650,KR7006650006,KOSPI,2026-01-16,2026-01-19,006650_01,6650,KR7006650006,KOSPI,2026-01-16,2026-01-19,True
006800|KR7006800007|KOSPI|2010-01-04|2026-09-01|006800_01,006800_01,6800,KR7006800007,KOSPI,2024-02-16,2024-02-19,006800_01,6800,KR7006800007,KOSPI,2024-02-16,2024-02-19,True
006800|KR7006800007|KOSPI|2010-01-04|2026-09-01|006800_02,006800_02,6800,KR7006800007,KOSPI,2024-09-13,2024-09-19,006800_02,6800,KR7006800007,KOSPI,2024-09-13,2024-09-19,True
007070|KR7007070006|KOSPI|2011-12-23|2026-09-01|007070_01,007070_01,7070,KR7007070006,KOSPI,2025-11-14,2025-11-17,007070_01,7070,KR7007070006,KOSPI,2025-11-14,2025-11-17,True
007070|KR7007070006|KOSPI|2011-12-23|2026-09-01|007070_02,007070_02,7070,KR7007070006,KOSPI,2026-08-07,2026-08-10,007070_02,7070,KR7007070006,KOSPI,2026-08-07,2026-08-10,True
007310|KR7007310006|KOSPI|2010-01-04|2026-09-01|007310_01,007310_01,7310,KR7007310006,KOSPI,2024-05-31,2024-06-03,007310_01,7310,KR7007310006,KOSPI,2024-05-31,2024-06-03,True
007340|KR7007340003|KOSPI|2010-01-04|2026-09-01|007340_01,007340_01,7340,KR7007340003,KOSPI,2024-09-20,2024-09-23,007340_01,7340,KR7007340003,KOSPI,2024-09-20,2024-09-23,True
007340|KR7007340003|KOSPI|2010-01-04|2026-09-01|007340_02,007340_02,7340,KR7007340003,KOSPI,2025-01-24,2025-01-31,007340_02,7340,KR7007340003,KOSPI,2025-01-24,2025-01-31,True
007660|KR7007660004|KOSPI|2010-01-04|2026-09-01|007660_01,007660_01,7660,KR7007660004,KOSPI,2025-06-13,2025-06-16,007660_01,7660,KR7007660004,KOSPI,2025-06-13,2025-06-16,True
008770|KR7008770000|KOSPI|2010-01-04|2026-09-01|008770_01,008770_01,8770,KR7008770000,KOSPI,2023-01-06,2023-01-09,008770_01,8770,KR7008770000,KOSPI,2023-01-06,2023-01-09,True
008770|KR7008770000|KOSPI|2010-01-04|2026-09-01|008770_02,008770_02,8770,KR7008770000,KOSPI,2023-09-01,2023-09-04,008770_02,8770,KR7008770000,KOSPI,2023-09-01,2023-09-04,True
008770|KR7008770000|KOSPI|2010-01-04|2026-09-01|008770_03,008770_03,8770,KR7008770000,KOSPI,2026-04-24,2026-04-27,008770_03,8770,KR7008770000,KOSPI,2026-04-24,2026-04-27,True
008930|KR7008930000|KOSPI|2010-01-04|2026-09-01|008930_01,008930_01,8930,KR7008930000,KOSPI,2025-06-20,2025-06-23,008930_01,8930,KR7008930000,KOSPI,2025-06-20,2025-06-23,True
008930|KR7008930000|KOSPI|2010-01-04|2026-09-01|008930_02,008930_02,8930,KR7008930000,KOSPI,2026-02-06,2026-02-09,008930_02,8930,KR7008930000,KOSPI,2026-02-06,2026-02-09,True
009150|KR7009150004|KOSPI|2010-01-04|2026-09-01|009150_01,009150_01,9150,KR7009150004,KOSPI,2025-08-08,2025-08-11,009150_01,9150,KR7009150004,KOSPI,2025-08-08,2025-08-11,True
009420|KR7009420001|KOSPI|2010-01-04|2026-09-01|009420_01,009420_01,9420,KR7009420001,KOSPI,2023-05-12,2023-05-15,009420_01,9420,KR7009420001,KOSPI,2023-05-12,2023-05-15,True
009450|KR7009450008|KOSPI|2010-01-04|2026-09-01|009450_01,009450_01,9450,KR7009450008,KOSPI,2024-08-16,2024-08-19,009450_01,9450,KR7009450008,KOSPI,2024-08-16,2024-08-19,True
009450|KR7009450008|KOSPI|2010-01-04|2026-09-01|009450_02,009450_02,9450,KR7009450008,KOSPI,2026-05-08,2026-05-11,009450_02,9450,KR7009450008,KOSPI,2026-05-08,2026-05-11,True
009830|KR7009830001|KOSPI|2010-01-04|2026-09-01|009830_01,009830_01,9830,KR7009830001,KOSPI,2022-06-10,2022-06-13,009830_01,9830,KR7009830001,KOSPI,2022-06-10,2022-06-13,True
009830|KR7009830001|KOSPI|2010-01-04|2026-09-01|009830_02,009830_02,9830,KR7009830001,KOSPI,2022-07-29,2022-08-01,009830_02,9830,KR7009830001,KOSPI,2022-07-29,2022-08-01,True
009830|KR7009830001|KOSPI|2010-01-04|2026-09-01|009830_03,009830_03,9830,KR7009830001,KOSPI,2026-02-06,2026-02-09,009830_03,9830,KR7009830001,KOSPI,2026-02-06,2026-02-09,True
009970|KR7009970005|KOSPI|2010-01-04|2026-09-01|009970_01,009970_01,9970,KR7009970005,KOSPI,2023-06-23,2023-06-26,009970_01,9970,KR7009970005,KOSPI,2023-06-23,2023-06-26,True
