ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
039030,143500,1767855425000,258637,37325542600,12319550,2025-01-31
278470,46200,1761416118000,362823,16885515750,38125890,2025-01-31
112610,41750,1760656075250,244623,10165204650,42171403,2025-01-31
298380,36350,1755048591700,1147256,41313582600,48281942,2025-01-31
237690,86800,1749270678400,85741,7435704300,20152888,2025-01-31
005070,52800,1716567916800,237847,12454209000,32510756,2025-01-31
089030,45450,1697723165250,1061169,48041270450,37353645,2025-01-31
140860,236000,1649068172000,30583,7232647000,6987577,2025-01-31
361610,23000,1639844616000,113885,2619898450,71297592,2025-01-31
489790,32250,1628250577500,1234863,39482726000,50488390,2025-01-31
000240,17100,1623392604000,114459,1942583880,94935240,2025-01-31
214370,30050,1614135750000,179987,5341219200,53715000,2025-01-31
006280,138000,1612742244000,40881,5622443900,11686538,2025-01-31
003690,8240,1605325295440,188843,1543380580,194821031,2025-01-31
069620,137700,1595471377500,22859,3126102000,11586575,2025-01-31
078600,102500,1586760782500,128321,12956647500,15480593,2025-01-31
310210,86100,1581640382700,270778,22811553100,18369807,2025-01-31
139130,9220,1559524580260,482453,4429199150,169145833,2025-01-31
103590,32550,1552159444500,2155350,70986154550,47685390,2025-01-31
007310,384000,1539006720000,2305,887756500,4007830,2025-01-31
023530,54000,1527592770000,28589,1543448300,28288755,2025-01-31
010060,79100,1512973622300,39322,3128320600,19127353,2025-01-31
073240,5250,1508116506750,3420312,17904065800,287260287,2025-01-31
008770,38300,1503203034300,165424,6309413750,39248121,2025-01-31
036930,31700,1498405775700,560285,17875236550,47268321,2025-01-31
005850,32050,1488675066000,134395,4357737500,46448520,2025-01-31
103140,53000,1485286734000,170922,9087006700,28024278,2025-01-31
006360,17260,1477136517400,583892,10137257020,85581490,2025-01-31
000990,32350,1436294321800,236271,7724228500,44398588,2025-01-31
161890,60600,1430467666200,134152,8123766400,23605077,2025-01-31
095340,67000,1420202886000,348163,23284067900,21197058,2025-01-31
042670,7350,1416020622450,1781650,13214931400,192655867,2025-01-31
047040,3375,1402726403250,1835801,6196258775,415622638,2025-01-31
137310,11240,1399125447720,281914,3206177970,124477353,2025-01-31
178320,24800,1394949259200,317485,7863482100,56247954,2025-01-31
229640,45350,1388838262650,688007,30448903300,30624879,2025-01-31
112040,40000,1357939320000,144625,5791733750,33948483,2025-01-31
293490,16230,1344922272510,192828,3129937610,82866437,2025-01-31
000080,19060,1336746625660,114854,2181663080,70133611,2025-01-31
395400,4900,1336665414000,334424,1621393645,272788860,2025-01-31
006040,33650,1333350426600,10945,365999400,39624084,2025-01-31
357780,168800,1313021940800,14919,2540126100,7778566,2025-01-31
004170,132700,1306455518700,20313,2704428300,9845181,2025-01-31
067630,10640,1296854718880,236941,2534485690,121884842,2025-01-31
007070,15300,1279193449500,172879,2634607210,83607415,2025-01-31
204270,21900,1266881405400,775656,17133961350,57848466,2025-01-31
001720,75900,1247796000000,4820,366423300,16440000,2025-01-31
096530,23650,1235144758100,249771,5968426750,52225994,2025-01-31
007340,20900,1234476578500,70294,1477733800,59065865,2025-01-31
