strategy_id,ticker,isu_cd,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_market_cap,entry_avg_trading_value_20d,entry_signal_close,entry_market_cap_pass,entry_trading_value_pass,entry_close_pass,entry_pattern_a_stage,fast_stage,fast_status,monthly_permission_state,daily_risk,fast_score,fast_score_state,first_progressed_date,first_progressed_effective_trading_date,lifecycle_class,loss_guard_triggered,loss_guard_signal_date,loss_guard_signal_close,loss_guard_return_at_signal,loss_guard_execution_date,loss_guard_execution_price,loss_guard_realized_return,exit_type,exit_signal_date,exit_execution_date,exit_price,terminal_return,mfe,mae,peak_giveback,holding_trading_days,holding_weeks,trade_status,cutoff_date,cutoff_valuation_price,mark_to_cutoff_return
JULIA,032190,KR7032190001,다우데이타,KOSDAQ,JULIA_032190_02,2,2025-07-04,2025-07-07,17520.0,673314000000.0,9232339780.75,17580.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,73.24,READY,2025-10-31,2025-10-31,SKIPPED_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2026-01-31,2026-02-02,26950.0,53.82,66.67,-14.67,12.85,142,28.4,REALIZED,,,
JULIA,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,JULIA_031980_01,1,2017-05-19,2017-05-22,14959.0,355803070000.0,7355913989.7,17500.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,74.99,READY,2017-05-31,2017-05-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2017-08-31,2017-09-01,20850.0,39.38,40.79,-3.12,1.41,69,13.8,REALIZED,,,
JULIA,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,JULIA_031980_02,2,2025-10-10,2025-10-13,50300.0,1132025737500.0,14363550688.75,52500.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,72.74,READY,2026-04-30,2026-04-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-31,2026-06-01,107000.0,112.72,177.14,-19.48,64.42,156,31.2,REALIZED,,,
JULIA,032620,KR7032620007,GC메디아이,KOSDAQ,JULIA_032620_01,1,2019-06-21,2019-06-24,6250.0,326232118750.0,6310573807.5,6250.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,2020-07-31,2020-07-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2020-08-31,2020-09-01,11750.0,88.0,138.4,-51.52,50.4,297,59.4,REALIZED,,,
JULIA,033160,KR7033160003,엠케이전자,KOSDAQ,JULIA_033160_01,1,2023-03-31,2023-04-03,15100.0,329296103900.0,10960547111.5,15100.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.29,READY,2023-04-30,2023-04-28,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-7.88,145.03,-64.64,152.91,835,167.0,OPEN_AT_CUTOFF,2026-09-04,13910.0,-7.88
JULIA,033100,KR7033100009,제룡전기,KOSDAQ,JULIA_033100_01,1,2026-01-30,2026-02-02,47750.0,784648679650.0,14228075363.75,48850.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,75.54,READY,2026-03-31,2026-03-31,SKIPPED_EARLY_TREND_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-7.12,96.44,-28.27,103.56,145,29.0,OPEN_AT_CUTOFF,2026-09-04,44350.0,-7.12
JULIA,033290,KR7033290008,로젠,KOSDAQ,JULIA_033290_01,1,2019-04-12,2019-04-15,6208.0,648886677780.0,5966776123.0,7170.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2021-11-30,2021-11-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2022-01-31,2022-02-03,6838.0,10.15,34.97,-53.3,24.82,694,138.8,REALIZED,,,
JULIA,033290,KR7033290008,로젠,KOSDAQ,JULIA_033290_02,2,2023-10-06,2023-10-10,6071.0,637201684800.0,4638488386.5,7200.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,78.49,READY,,,NEVER_PROGRESSED,False,,,,,,,NO_PROGRESSED_BEFORE_CUTOFF,,,,-74.9,81.24,-77.1,156.14,682,136.4,OPEN_AT_CUTOFF,2026-09-04,1524.0,-74.9
JULIA,033500,KR7033500000,동성화인텍,KOSDAQ,JULIA_033500_01,1,2022-08-19,2022-08-22,12950.0,385544068000.0,6362404570.0,13000.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2025-04-30,2025-04-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2025-06-30,2025-07-01,26400.0,103.86,122.01,-21.7,18.15,698,139.6,REALIZED,,,
JULIA,033560,KR7033560004,블루콤,KOSDAQ,JULIA_033560_01,1,2016-05-27,2016-05-30,15700.0,301440000000.0,5162796650.0,15700.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2020-09-30,2020-09-29,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2020-10-31,2020-11-02,5950.0,-62.1,7.96,-86.56,70.06,1088,217.6,REALIZED,,,
JULIA,033640,KR7033640004,네패스,KOSDAQ,JULIA_033640_01,1,2019-02-15,2019-02-18,13950.0,319318319900.0,9059432635.0,13900.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,ELEVATED,72.74,READY,2019-05-31,2019-05-31,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT4_SCORE_DRAWDOWN_GE_15,2019-06-30,2019-07-01,31800.0,127.96,140.5,-11.47,12.54,92,18.4,REALIZED,,,
JULIA,033640,KR7033640004,네패스,KOSDAQ,JULIA_033640_02,2,2025-10-31,2025-11-03,17430.0,400999522780.0,2894023276.5,17390.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.74,READY,2025-11-30,2025-11-28,SKIPPED_EARLY_TREND_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,23.64,136.09,-34.6,112.45,207,41.4,OPEN_AT_CUTOFF,2026-09-04,21550.0,23.64
JULIA,035600,KR7035600006,KG이니시스,KOSDAQ,JULIA_035600_01,1,2015-01-02,2015-01-05,19000.0,476404988500.0,18445397130.0,18500.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2015-05-31,2015-05-29,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-45.32,54.21,-58.05,99.53,2859,571.8,OPEN_AT_CUTOFF,2026-09-04,10390.0,-45.32
JULIA,035760,KR7035760008,CJ ENM,KOSDAQ,JULIA_035760_01,1,2012-12-28,2013-01-02,278100.0,1718407726000.0,7728939535.0,277000.0,True,True,True,EARLY_TREND,TRIGGER,READY,PERMITTED_REGIME,NORMAL,80.07,PARTIAL,2013-09-30,2013-09-30,PROGRESSED_WITHOUT_DIRECT_HANDOFF,False,,,,,,,NO_EXIT_BEFORE_CUTOFF,,,,-88.12,55.2,-89.9,143.32,3358,671.6,OPEN_AT_CUTOFF,2026-09-04,33050.0,-88.12
JULIA,035080,KR7035080001,그래디언트,KOSDAQ,JULIA_035080_01,1,2015-08-07,2015-08-10,55750.0,657475000000.0,6588800503.5,11050.0,True,True,True,TRANSITION,TRIGGER,READY,PERMITTED_REGIME,NORMAL,77.99,READY,2021-04-30,2021-04-30,NORMAL_EARLY_TREND_HANDOFF,False,,,,,,,EXIT3_PROGRESSED_TO_WEAK,2022-09-30,2022-10-04,14550.0,-73.9,21.97,-91.61,95.87,1743,348.6,REALIZED,,,
