ticker,entry_signal_date,comparison_class
004150,2013-02-01,SHARED_ENTRY
004150,2015-07-24,SHARED_REENTRY
004170,2013-11-29,SHARED_ENTRY
004170,2015-05-08,FASTCORE_ONLY_REENTRY
004170,2017-04-28,FASTCORE_ONLY_REENTRY
004170,2021-03-05,SHARED_REENTRY
004170,2025-06-20,FASTCORE_ONLY_REENTRY
004360,2013-05-31,SHARED_ENTRY
004360,2022-10-07,SHARED_REENTRY
004360,2026-02-20,SHARED_REENTRY
004360,2026-03-20,FASTCORE_ONLY_REENTRY
004370,2013-05-03,SHARED_ENTRY
004370,2014-01-17,FASTCORE_ONLY_REENTRY
004370,2015-06-12,FASTCORE_ONLY_REENTRY
004370,2019-03-15,SHARED_REENTRY
004370,2020-04-03,FASTCORE_ONLY_REENTRY
004370,2024-05-31,SHARED_REENTRY
004370,2025-04-04,FASTCORE_ONLY_REENTRY
004380,2017-04-07,SHARED_ENTRY
004380,2021-04-23,SHARED_REENTRY
004380,2023-03-17,FASTCORE_ONLY_REENTRY
004430,2013-05-03,SHARED_ENTRY
004430,2017-06-02,SHARED_REENTRY
004430,2021-02-05,SHARED_REENTRY
004430,2021-04-23,FASTCORE_ONLY_REENTRY
004490,2015-04-03,SHARED_ENTRY
004490,2017-06-30,FASTCORE_ONLY_REENTRY
004490,2018-09-14,FASTCORE_ONLY_REENTRY
004490,2024-02-16,SHARED_REENTRY
004560,2024-03-15,SHARED_ENTRY
004690,2013-09-06,SHARED_ENTRY
004690,2025-07-04,SHARED_REENTRY
004700,2020-06-05,SHARED_ENTRY
004700,2025-06-13,FASTCORE_ONLY_REENTRY
004710,2015-10-02,SHARED_ENTRY
004710,2020-08-07,SHARED_REENTRY
004710,2020-10-23,FASTCORE_ONLY_REENTRY
004800,2013-08-30,SHARED_ENTRY
004800,2015-03-27,FASTCORE_ONLY_REENTRY
004800,2016-12-09,SHARED_REENTRY
004800,2017-05-26,FASTCORE_ONLY_REENTRY
004800,2020-10-16,FASTCORE_ONLY_REENTRY
004800,2025-05-30,SHARED_REENTRY
004970,2014-08-22,SHARED_ENTRY
004980,2016-04-29,SHARED_ENTRY
004990,2013-02-22,SHARED_ENTRY
004990,2013-12-27,FASTCORE_ONLY_REENTRY
004990,2021-06-04,FASTCORE_ONLY_REENTRY
004990,2022-04-29,FASTCORE_ONLY_REENTRY
004990,2024-02-23,FASTCORE_ONLY_REENTRY
004990,2025-05-30,FASTCORE_ONLY_REENTRY
005010,2025-03-07,SHARED_ENTRY
005090,2012-12-28,SHARED_ENTRY
005090,2014-08-22,FASTCORE_ONLY_REENTRY
005090,2021-06-11,SHARED_REENTRY
005180,2017-04-21,SHARED_ENTRY
005180,2018-08-31,FASTCORE_ONLY_REENTRY
005180,2021-04-23,FASTCORE_ONLY_REENTRY
005180,2023-11-03,FASTCORE_ONLY_REENTRY
005180,2026-02-13,SHARED_REENTRY
005250,2014-02-28,SHARED_ENTRY
005290,2019-06-07,SHARED_ENTRY
005290,2023-03-03,SHARED_REENTRY
005290,2023-06-02,FASTCORE_ONLY_REENTRY
005290,2024-05-10,FASTCORE_ONLY_REENTRY
005290,2025-10-10,FASTCORE_ONLY_REENTRY
005300,2013-04-19,SHARED_ENTRY
005300,2014-05-23,FASTCORE_ONLY_REENTRY
005380,2013-08-02,SHARED_ENTRY
005380,2017-05-26,FASTCORE_ONLY_REENTRY
005380,2019-06-28,FASTCORE_ONLY_REENTRY
005380,2020-08-07,FASTCORE_ONLY_REENTRY
005380,2025-10-17,SHARED_REENTRY
005420,2021-01-08,SHARED_ENTRY
005440,2013-05-10,SHARED_ENTRY
005440,2014-08-22,FASTCORE_ONLY_REENTRY
005440,2015-05-15,FASTCORE_ONLY_REENTRY
005440,2021-06-04,FASTCORE_ONLY_REENTRY
005490,2014-08-22,SHARED_ENTRY
005490,2016-12-02,FASTCORE_ONLY_REENTRY
005490,2023-03-03,SHARED_REENTRY
005490,2026-02-27,SHARED_REENTRY
005490,2026-04-17,FASTCORE_ONLY_REENTRY
005500,2016-05-13,SHARED_ENTRY
005610,2022-03-04,SHARED_ENTRY
005610,2023-06-09,FASTCORE_ONLY_REENTRY
005610,2025-04-04,FASTCORE_ONLY_REENTRY
005680,2018-06-29,SHARED_ENTRY
005690,2015-07-24,SHARED_ENTRY
005690,2025-05-23,SHARED_REENTRY
005720,2013-06-28,SHARED_ENTRY
005720,2014-09-12,FASTCORE_ONLY_REENTRY
005720,2017-06-09,FASTCORE_ONLY_REENTRY
005720,2026-02-13,FASTCORE_ONLY_REENTRY
005740,2015-03-27,SHARED_ENTRY
005810,2016-04-01,SHARED_ENTRY
005810,2023-03-03,FASTCORE_ONLY_REENTRY
005830,2013-07-12,SHARED_ENTRY
005830,2021-06-25,FASTCORE_ONLY_REENTRY
005850,2014-03-28,SHARED_ENTRY
005850,2016-12-09,FASTCORE_ONLY_REENTRY
005850,2018-02-02,FASTCORE_ONLY_REENTRY
005850,2019-03-15,FASTCORE_ONLY_REENTRY
005850,2024-06-07,FASTCORE_ONLY_REENTRY
005850,2025-03-28,FASTCORE_ONLY_REENTRY
005850,2025-11-28,FASTCORE_ONLY_REENTRY
