ticker,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_pattern_a_stage_report,entry_pattern_a_stage_reconstructed,entry_pattern_a_score,score_status,score_bucket,trade_status,exit_type,exit_execution_date,return_pct,return_source,latest_target_as_of,score_error
004770,써니전자,KOSPI,004770_02,2,2021-11-05,2021-11-08,3840.0,TRANSITION,TRANSITION,54.28061273053235,READY,"[50, 55)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-11-26,-15.62,REALIZED_REPORT_HISTORY,2026-09-21,
004780,대륙제관,KOSDAQ,004780_01,1,2013-12-06,2013-12-09,5280.0,TRANSITION,TRANSITION,47.38043722542891,READY,"[45, 50)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-10-01,33.52,REALIZED_REPORT_HISTORY,2026-09-21,
004780,대륙제관,KOSDAQ,004780_02,2,2021-03-19,2021-03-22,5480.0,TRANSITION,TRANSITION,52.19057482243179,READY,"[50, 55)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2021-10-01,5.84,REALIZED_REPORT_HISTORY,2026-09-21,
004780,대륙제관,KOSDAQ,004780_03,3,2026-03-06,2026-03-09,3650.0,TRANSITION,TRANSITION,57.5721404346426,READY,"[55, 60)",OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,,17.67,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004800,효성,KOSPI,004800_01,1,2013-08-30,2013-09-02,32457.0,TRANSITION,TRANSITION,10.638643946918037,READY,"[10, 15)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-11-05,-17.14,REALIZED_REPORT_HISTORY,2026-09-21,
004800,효성,KOSPI,004800_02,2,2015-03-27,2015-03-30,38292.0,EARLY_TREND,EARLY_TREND,79.8190603175122,READY,"[75, 80)",REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,2016-09-01,56.55,REALIZED_REPORT_HISTORY,2026-09-21,
004800,효성,KOSPI,004800_03,3,2016-12-09,2016-12-12,69293.0,EARLY_TREND,EARLY_TREND,97.30843746860255,READY,"[95, 100]",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2017-02-08,-16.45,REALIZED_REPORT_HISTORY,2026-09-21,
004800,효성,KOSPI,004800_04,4,2017-05-26,2017-05-29,74762.0,EARLY_TREND,EARLY_TREND,91.88994776243365,READY,"[90, 95)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2017-10-16,-14.94,REALIZED_REPORT_HISTORY,2026-09-21,
004800,효성,KOSPI,004800_05,5,2020-10-16,2020-10-19,60163.0,TRANSITION,TRANSITION,100.0,READY,"[95, 100]",REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,2022-05-02,6.14,REALIZED_REPORT_HISTORY,2026-09-21,
004800,효성,KOSPI,004800_06,6,2025-05-30,2025-06-02,63700.0,EARLY_TREND,EARLY_TREND,77.9234431111256,READY,"[75, 80)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2025-11-03,110.2,REALIZED_REPORT_HISTORY,2026-09-21,
004830,덕성,KOSPI,004830_01,1,2013-01-11,2013-01-14,3820.0,TRANSITION,TRANSITION,78.02481601107593,READY,"[75, 80)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2013-04-01,-2.36,REALIZED_REPORT_HISTORY,2026-09-21,
004840,DRB동일,KOSPI,004840_01,1,2020-06-05,2020-06-08,7480.0,TRANSITION,TRANSITION,12.573560348735086,READY,"[10, 15)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-15,-15.64,REALIZED_REPORT_HISTORY,2026-09-21,
004840,DRB동일,KOSPI,004840_02,2,2021-06-04,2021-06-07,7930.0,TRANSITION,TRANSITION,70.28068017259724,READY,"[70, 75)",OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,,-50.06,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004890,동일산업,KOSPI,004890_01,1,2013-03-29,2013-04-01,57000.0,TRANSITION,TRANSITION,12.64374264410579,READY,"[10, 15)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-11-19,-15.61,REALIZED_REPORT_HISTORY,2026-09-21,
004890,동일산업,KOSPI,004890_02,2,2014-07-25,2014-07-28,57900.0,TRANSITION,TRANSITION,75.05351869154632,READY,"[75, 80)",OPEN_AT_CUTOFF,NO_EXIT_BEFORE_CUTOFF,,-38.69,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004960,한신공영,KOSPI,004960_01,1,2013-02-08,2013-02-12,8690.0,TRANSITION,TRANSITION,25.01411929523046,READY,"[25, 30)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2013-11-01,28.88,REALIZED_REPORT_HISTORY,2026-09-21,
004960,한신공영,KOSPI,004960_02,2,2015-02-13,2015-02-16,16500.0,EARLY_TREND,EARLY_TREND,87.64666565424193,READY,"[85, 90)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-10-01,16.97,REALIZED_REPORT_HISTORY,2026-09-21,
004960,한신공영,KOSPI,004960_03,3,2016-07-08,2016-07-11,22000.0,TRANSITION,TRANSITION,80.8801781362023,READY,"[80, 85)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2016-08-25,-14.32,REALIZED_REPORT_HISTORY,2026-09-21,
004960,한신공영,KOSPI,004960_04,4,2017-06-02,2017-06-05,19900.0,TRANSITION,TRANSITION,58.90269360618973,READY,"[55, 60)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2017-09-18,-15.33,REALIZED_REPORT_HISTORY,2026-09-21,
004960,한신공영,KOSPI,004960_05,5,2021-01-08,2021-01-11,18300.0,TRANSITION,TRANSITION,52.65308326413522,READY,"[50, 55)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2021-09-01,21.04,REALIZED_REPORT_HISTORY,2026-09-21,
004960,한신공영,KOSPI,004960_06,6,2025-08-08,2025-08-11,8650.0,TRANSITION,TRANSITION,68.57317217943027,READY,"[65, 70)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,32.72,REALIZED_REPORT_HISTORY,2026-09-21,
004970,신라교역,KOSPI,004970_01,1,2014-08-08,2014-08-11,29400.0,TRANSITION,TRANSITION,87.41818924097699,READY,"[85, 90)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-10-10,-17.01,REALIZED_REPORT_HISTORY,2026-09-21,
004970,신라교역,KOSPI,004970_02,2,2018-03-30,2018-04-02,17250.0,TRANSITION,TRANSITION,70.69040879375315,READY,"[70, 75)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2018-07-23,-17.1,REALIZED_REPORT_HISTORY,2026-09-21,
004970,신라교역,KOSPI,004970_03,3,2019-04-05,2019-04-08,15100.0,TRANSITION,TRANSITION,56.02235305857699,READY,"[55, 60)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2019-07-31,-17.88,REALIZED_REPORT_HISTORY,2026-09-21,
004970,신라교역,KOSPI,004970_04,4,2024-05-31,2024-06-03,10270.0,TRANSITION,TRANSITION,15.912781431375688,READY,"[15, 20)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2025-01-14,-16.07,REALIZED_REPORT_HISTORY,2026-09-21,
004970,신라교역,KOSPI,004970_05,5,2025-07-04,2025-07-07,10250.0,TRANSITION,TRANSITION,56.53818298865386,READY,"[55, 60)",OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,,-11.41,OPEN_LATEST_REPORT_HISTORY,2026-09-21,
004980,성신양회,KOSPI,004980_01,1,2016-04-29,2016-05-02,14000.0,TRANSITION,TRANSITION,54.408299882825695,READY,"[50, 55)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2016-05-20,-22.5,REALIZED_REPORT_HISTORY,2026-09-21,
004990,롯데지주,KOSPI,004990_01,1,2013-02-22,2013-02-25,70842.0,EARLY_TREND,EARLY_TREND,77.40781314972884,READY,"[75, 80)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-06-24,-16.5,REALIZED_REPORT_HISTORY,2026-09-21,
004990,롯데지주,KOSPI,004990_02,2,2013-12-27,2013-12-30,72153.0,TRANSITION,TRANSITION,77.36347027615624,READY,"[75, 80)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2017-11-15,-15.32,REALIZED_REPORT_HISTORY,2026-09-21,
004990,롯데지주,KOSPI,004990_03,3,2021-06-04,2021-06-07,42300.0,TRANSITION,TRANSITION,26.569205768070972,READY,"[25, 30)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-17,-15.01,REALIZED_REPORT_HISTORY,2026-09-21,
004990,롯데지주,KOSPI,004990_04,4,2022-04-29,2022-05-02,33950.0,TRANSITION,TRANSITION,70.32215811048007,READY,"[70, 75)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2023-03-15,-14.87,REALIZED_REPORT_HISTORY,2026-09-21,
004990,롯데지주,KOSPI,004990_05,5,2024-02-23,2024-02-26,30000.0,TRANSITION,TRANSITION,64.52139561550271,READY,"[60, 65)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2024-04-17,-15.5,REALIZED_REPORT_HISTORY,2026-09-21,
004990,롯데지주,KOSPI,004990_06,6,2025-05-30,2025-06-02,29500.0,TRANSITION,TRANSITION,47.52545403734524,READY,"[45, 50)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-09,-18.31,REALIZED_REPORT_HISTORY,2026-09-21,
005090,SGC에너지,KOSPI,005090_01,1,2012-12-28,2013-01-02,70100.0,TRANSITION,TRANSITION,62.51353753505693,READY,"[60, 65)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-06-26,-16.83,REALIZED_REPORT_HISTORY,2026-09-21,
005090,SGC에너지,KOSPI,005090_02,2,2014-08-01,2014-08-04,55900.0,TRANSITION,TRANSITION,56.84240444755241,READY,"[55, 60)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-07-01,112.88,REALIZED_REPORT_HISTORY,2026-09-21,
005090,SGC에너지,KOSPI,005090_03,3,2020-09-11,2020-09-14,42000.0,TRANSITION,TRANSITION,27.139628801322065,READY,"[25, 30)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-10-21,-16.55,REALIZED_REPORT_HISTORY,2026-09-21,
