ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status
455900,엔젤로보틱스,KOSDAQ,,insufficient_data,,3532.69,42.71,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
456010,아이씨티케이,KOSDAQ,,insufficient_data,,2730.79,41.83,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
456070,이엔셀,KOSDAQ,,insufficient_data,,679.42,2.67,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (679.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
456160,지투지바이오,KOSDAQ,,insufficient_data,,7333.58,50.98,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
457370,한켐,KOSDAQ,,insufficient_data,,713.94,89.27,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (713.9억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
457550,우진엔텍,KOSDAQ,,insufficient_data,,1417.41,7.17,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
457600,벡트,KOSDAQ,,insufficient_data,,601.76,12.46,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (601.8억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
458350,에스팀,KOSDAQ,,insufficient_data,,322.58,0.76,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (322.6억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
458870,씨어스,KOSDAQ,,insufficient_data,,9115.31,84.68,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
459100,위츠,KOSDAQ,,insufficient_data,,619.44,0.83,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (619.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
459510,나우로보틱스,KOSDAQ,,insufficient_data,,2284.2,32.38,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
459550,알트,KOSDAQ,,insufficient_data,,649.43,157.42,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (649.4억),2026-08-14,2026-08-14,True,2026-08-14,UNAVAILABLE
