ticker,name,market,official_stage,candidate_state,pattern_a_score,market_cap_eok,avg_trading_value_20d_eok,investability_status,investability_reason,requested_as_of,effective_as_of,cache_present,cache_last_date,row_status,is_investable
001210,금호전기,KOSPI,transition,candidate,70.79670145135384,803.2,140.79,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (803.2억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
092790,넥스틸,KOSPI,transition,candidate,70.70314441316526,3359.46,67.25,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,PARTIAL,True
009770,삼정펄프,KOSPI,transition,candidate,70.15161481475506,712.49,1.12,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (712.5억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
005810,풍산홀딩스,KOSPI,transition,candidate,69.84744496163532,5687.62,11.69,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
141000,비아트론,KOSDAQ,transition,candidate,69.59670961469271,1108.5,2.85,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.85억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
006280,녹십자,KOSPI,transition,candidate,69.4307590268796,15099.01,46.94,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
043360,디지아이,KOSDAQ,transition,candidate,69.27727478195023,208.8,0.18,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (208.8억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
086820,바이오솔루션,KOSDAQ,transition,candidate,69.18016557582644,1729.14,5.24,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
064960,SNT모티브,KOSPI,transition,candidate,69.08256342888708,7550.71,17.53,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
029530,신도리코,KOSPI,transition,candidate,68.77056466023284,4192.34,4.7,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
051500,CJ프레시웨이,KOSDAQ,transition,candidate,68.55327558400653,2950.09,2.45,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.45억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
003830,대한화섬,KOSPI,transition,candidate,68.37227803880948,1565.71,0.14,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.14억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
034590,인천도시가스,KOSPI,transition,candidate,68.3314455929436,1168.06,0.49,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (0.49억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
081660,미스토홀딩스,KOSPI,transition,candidate,68.2498449449156,22564.03,54.7,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
091590,남화토건,KOSDAQ,transition,candidate,68.16826751981839,749.01,78.51,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (749.0억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
145020,휴젤,KOSDAQ,transition,candidate,68.15267805704775,32038.84,135.43,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
025890,한국주강,KOSPI,transition,candidate,68.04001023765345,279.73,1.65,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (279.7억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
000700,유수홀딩스,KOSPI,transition,candidate,67.96104562347068,1627.61,3.17,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
030000,제일기획,KOSPI,transition,candidate,67.95394021472985,21834.82,61.78,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
008930,한미사이언스,KOSPI,transition,candidate,67.89829816715478,30297.46,84.15,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
065690,파커스,KOSDAQ,transition,candidate,67.8340938294043,229.0,1.24,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (229.0억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
007160,사조산업,KOSPI,transition,candidate,67.6925304830925,2475.0,4.05,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
005750,대림바스,KOSPI,transition,candidate,67.59938840961209,791.45,2.93,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (791.5억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
130580,나이스디앤비,KOSDAQ,transition,candidate,67.57451021367767,842.38,0.43,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (842.4억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
039420,케이엘넷,KOSDAQ,transition,candidate,66.91923890063421,657.43,1.18,FILTERED_MARKET_CAP,MARKET_CAP_BELOW_1000EOK (657.4억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
030210,다올투자증권,KOSPI,transition,candidate,66.40153284345851,2387.72,2.15,FILTERED_LIQUIDITY,TV20_BELOW_3EOK (2.15억),2026-08-14,2026-08-14,True,2026-08-14,OK,False
300720,한일시멘트,KOSPI,transition,candidate,66.14314746267006,10958.24,10.22,INVESTABLE,PASS_ALL_INVESTABILITY_FILTERS,2026-08-14,2026-08-14,True,2026-08-14,OK,True
