window,layer,comparison,extreme_contrast,feature,feature_kind,level,feature_role,n_group_rows,n_reference_rows,group_n,reference_n,group_median,reference_median,group_share_pct,reference_share_pct,auc,effect,effect_unit,profile_allowed,broad_pooled_effect,broad_pooled_grade,same_sign_as_broad
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,wma52_slope_1w,numeric,,ENTRY,38,8,35,6,0.004,0.0039,,,0.4762,-0.0238,AUC-0.5,False,-0.1695,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,atr_14_pct,numeric,,ENTRY,38,8,35,6,0.0345,0.0476,,,0.2238,-0.2762,AUC-0.5,False,-0.1362,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,range_position_24m,numeric,,ENTRY,38,8,35,6,0.55,0.4606,,,0.7048,0.2048,AUC-0.5,False,-0.0791,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,wma12_vs_wma26_pct,numeric,,ENTRY,38,8,35,6,0.0446,0.0796,,,0.5048,0.0048,AUC-0.5,False,-0.0995,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,close_vs_wma200_pct,numeric,,ENTRY,38,8,34,6,0.0999,0.103,,,0.4755,-0.0245,AUC-0.5,False,-0.078,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,post_breakout_min_low_vs_level_pct_26w,numeric,,ENTRY,38,8,20,5,-0.0532,-0.0636,,,0.5,0.0,AUC-0.5,False,0.0836,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,market,categorical,KOSDAQ,ENTRY,38,8,38,8,,,13.1579,62.5,,-49.3421,share_pp,False,-17.1084,CONSISTENT,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,entry_pattern_a_stage,categorical,EARLY_TREND,ENTRY,38,8,38,8,,,13.1579,0.0,,13.1579,share_pp,False,-3.713,WEAK,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,fast_score_state,categorical,PARTIAL,ENTRY,38,8,38,8,,,2.6316,0.0,,2.6316,share_pp,False,-2.7492,WEAK,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,is_normal_handoff,numeric,,POST_ENTRY_LIFECYCLE,38,8,38,8,1.0,0.0,,,0.7895,0.2895,AUC-0.5,False,,,
P2-1,ELIGIBLE,WIN_50_vs_LOSS_30,True,is_coverage_path,numeric,,POST_ENTRY_LIFECYCLE,38,8,38,8,0.0,1.0,,,0.1809,-0.3191,AUC-0.5,False,,,
