ticker,all_sector_rs_rank_3m,all_sector_rs_rank_6m,all_sector_rs_rank_12m,all_sector_rs_percentile_3m,all_sector_rs_percentile_6m,all_sector_rs_percentile_12m
004370,472.0,978.0,554.0,79.2967032967033,58.31911262798635,76.18432385874246
004380,1047.0,,,54.02197802197802,,
004410,,1709.0,1382.0,,27.13310580204778,40.52540913006029
004430,861.0,483.0,882.0,62.1978021978022,79.43686006825939,62.05857019810508
004440,1437.0,1005.0,326.0,36.87912087912088,57.16723549488054,86.00344530577088
004450,294.0,922.0,1570.0,87.12087912087912,60.708191126279864,32.428940568475454
004490,945.0,2187.0,2272.0,58.505494505494504,6.74061433447099,2.196382428940568
004540,1954.0,1596.0,1250.0,14.153846153846152,31.953924914675767,46.210163652024114
004560,1318.0,1490.0,951.0,42.10989010989011,36.47610921501707,59.08699397071489
004590,1013.0,471.0,722.0,55.51648351648352,79.94880546075085,68.94918173987942
004650,792.0,620.0,416.0,65.23076923076923,73.59215017064847,82.12747631352283
004690,973.0,229.0,655.0,57.27472527472528,90.27303754266212,71.83462532299741
004700,440.0,769.0,545.0,80.7032967032967,67.23549488054607,76.57192075796728
004710,2134.0,1332.0,2164.0,6.241758241758242,43.21672354948806,6.847545219638243
004720,1781.0,1384.0,1428.0,21.75824175824176,40.99829351535836,38.54435831180017
004770,731.0,2086.0,2266.0,67.91208791208791,11.04948805460751,2.454780361757106
004780,136.0,297.0,477.0,94.06593406593406,87.37201365187714,79.50043066322137
004800,2048.0,1078.0,480.0,10.021978021978022,54.05290102389079,79.3712316968131
004830,1594.0,1967.0,1976.0,29.978021978021975,16.12627986348123,14.944013781223084
004840,1078.0,1775.0,1292.0,52.65934065934066,24.317406143344712,44.40137812230836
004870,311.0,1935.0,1924.0,86.37362637362638,17.49146757679181,17.183462532299743
004890,397.0,1057.0,1430.0,82.5934065934066,54.94880546075085,38.458225667528
004910,1151.0,1936.0,1903.0,49.45054945054945,17.44880546075085,18.087855297157624
004920,1277.0,2223.0,2287.0,43.91208791208791,5.2047781569965865,1.550387596899225
004960,860.0,1755.0,1164.0,62.24175824175824,25.170648464163826,49.91386735572782
004970,,,,,,
004980,1245.0,1017.0,633.0,45.31868131868132,56.655290102389074,72.78208440999138
004990,1665.0,2028.0,1937.0,26.857142857142858,13.523890784982935,16.623600344530576
005010,1656.0,955.0,1158.0,27.252747252747252,59.30034129692833,50.17226528854436
005030,,,,,,
005070,1748.0,1580.0,843.0,23.20879120879121,32.636518771331055,63.738156761412576
005090,166.0,14.0,44.0,92.74725274725274,99.44539249146756,98.14814814814817
005110,,,,,,
005160,507.0,541.0,1234.0,77.75824175824175,76.96245733788396,46.89922480620155
005180,496.0,949.0,693.0,78.24175824175825,59.55631399317406,70.19810508182601
005250,2012.0,1762.0,1507.0,11.604395604395606,24.872013651877133,35.14211886304909
005290,1242.0,698.0,230.0,45.450549450549445,70.26450511945393,90.1378122308355
005300,1447.0,1798.0,1316.0,36.439560439560445,23.33617747440273,43.36778639104221
005320,,1865.0,2133.0,,20.477815699658706,8.182601205857019
005360,310.0,1522.0,1911.0,86.41758241758242,35.110921501706486,17.743324720068905
005380,1769.0,921.0,167.0,22.285714285714285,60.75085324232082,92.85099052540912
005420,1989.0,2008.0,1810.0,12.615384615384617,14.377133105802049,22.093023255813954
005430,314.0,379.0,335.0,86.24175824175823,83.87372013651877,85.61584840654608
005440,1815.0,1113.0,1079.0,20.263736263736263,52.55972696245734,53.574504737295435
005490,1556.0,1029.0,736.0,31.64835164835165,56.14334470989761,68.34625322997417
005500,1967.0,832.0,929.0,13.582417582417584,64.54778156996586,60.03445305770887
005610,1302.0,1585.0,1354.0,42.81318681318682,32.42320819112628,41.7312661498708
005670,651.0,390.0,190.0,71.42857142857143,83.40443686006826,91.86046511627907
005680,628.0,1878.0,2187.0,72.43956043956044,19.92320819112628,5.8570198105081825
005690,2014.0,2202.0,2261.0,11.516483516483516,6.100682593856655,2.670111972437554
005710,476.0,470.0,775.0,79.12087912087912,79.9914675767918,66.66666666666666
005720,1161.0,1261.0,963.0,49.01098901098901,46.2457337883959,58.57019810508183
005740,1686.0,1871.0,2033.0,25.934065934065934,20.22184300341297,12.48923341946598
005750,876.0,818.0,252.0,61.53846153846154,65.14505119453925,89.19035314384152
005800,907.0,1206.0,501.0,60.175824175824175,48.592150170648466,78.46683893195521
005810,1315.0,1563.0,1904.0,42.24175824175824,33.36177474402731,18.044788975021532
005820,728.0,479.0,541.0,68.04395604395604,79.60750853242321,76.74418604651163
005830,1071.0,1671.0,1196.0,52.96703296703297,28.754266211604097,48.53574504737296
005850,523.0,415.0,237.0,77.05494505494505,82.33788395904436,89.83634797588286
005860,1840.0,1142.0,922.0,19.164835164835164,51.32252559726962,60.3359173126615
005870,2174.0,2330.0,2317.0,4.483516483516484,0.6399317406143344,0.2583979328165375
005880,1675.0,946.0,550.0,26.41758241758242,59.684300341296925,76.35658914728683
005930,953.0,1026.0,653.0,58.15384615384615,56.27133105802048,71.9207579672696
005940,373.0,435.0,739.0,83.64835164835165,81.48464163822526,68.21705426356588
005950,52.0,136.0,92.0,97.75824175824177,94.240614334471,96.08096468561584
005960,236.0,1096.0,976.0,89.67032967032968,53.28498293515358,58.01033591731266
005990,612.0,567.0,296.0,73.14285714285714,75.85324232081912,87.29543496985357
006040,1102.0,1826.0,1973.0,51.604395604395606,22.14163822525597,15.07321274763135
006050,,,,,,
006060,1423.0,1943.0,2162.0,37.49450549450549,17.150170648464165,6.933677863910422
006090,711.0,1062.0,1040.0,68.79120879120879,54.73549488054608,55.25409130060292
006110,2065.0,64.0,135.0,9.274725274725276,97.3122866894198,94.229112833764
006120,1063.0,1548.0,1798.0,53.318681318681314,34.00170648464164,22.60981912144703
006140,1552.0,1333.0,879.0,31.824175824175825,43.1740614334471,62.18776916451335
006200,,2260.0,2231.0,,3.626279863481229,3.962101636520241
006220,1799.0,2212.0,2114.0,20.967032967032967,5.674061433447099,9.000861326442722
006260,2133.0,501.0,504.0,6.2857142857142865,78.66894197952219,78.33763996554694
006280,1685.0,1390.0,909.0,25.978021978021975,40.74232081911263,60.895779500430656
006340,894.0,34.0,325.0,60.747252747252745,98.59215017064848,86.04651162790698
006360,206.0,286.0,585.0,90.989010989011,87.84129692832765,74.84926787252368
006370,513.0,1353.0,1926.0,77.49450549450549,42.32081911262799,17.097329888027563
006380,,,,,,
006400,1461.0,1599.0,1453.0,35.824175824175825,31.825938566552903,37.46770025839793
006490,,,,,,
006570,393.0,1180.0,1831.0,82.76923076923077,49.70136518771331,21.188630490956072
006620,923.0,614.0,927.0,59.47252747252747,73.8481228668942,60.12058570198106
006650,2097.0,2092.0,1296.0,7.868131868131869,10.793515358361775,44.22911283376399
006660,528.0,1195.0,1571.0,76.83516483516483,49.06143344709898,32.38587424633936
006730,1365.0,1839.0,425.0,40.04395604395605,21.58703071672355,81.73987941429802
006740,,,,,,
006800,1888.0,1316.0,309.0,17.054945054945055,43.899317406143346,86.73557278208442
006840,1227.0,1704.0,2169.0,46.10989010989011,27.34641638225256,6.6322136089577945
006880,1687.0,2064.0,2107.0,25.89010989010989,11.988054607508532,9.30232558139535
006890,1965.0,1882.0,2027.0,13.67032967032967,19.752559726962456,12.747631352282514
006910,1483.0,433.0,50.0,34.85714285714286,81.56996587030717,97.8897502153316
006920,565.0,485.0,1610.0,75.2087912087912,79.35153583617748,30.706287683031867
006980,1920.0,1366.0,813.0,15.64835164835165,41.76621160409557,65.03014642549526
007070,616.0,539.0,512.0,72.96703296703296,77.04778156996586,77.99310938845822
007110,2248.0,2333.0,2307.0,1.2307692307692308,0.5119453924914675,0.6890611541774333
007120,1784.0,696.0,463.0,21.626373626373628,70.34982935153583,80.10335917312662
007160,965.0,1803.0,644.0,57.62637362637363,23.12286689419795,72.30835486649441
007210,1313.0,849.0,952.0,42.32967032967033,63.82252559726962,59.04392764857881
007280,596.0,1259.0,1527.0,73.84615384615385,46.33105802047782,34.2807924203273
007310,1130.0,1468.0,1081.0,50.37362637362638,37.41467576791809,53.48837209302325
007330,269.0,236.0,1290.0,88.21978021978022,89.97440273037543,44.487510766580534
007340,198.0,400.0,1862.0,91.34065934065931,82.9778156996587,19.853574504737296
007370,625.0,514.0,1260.0,72.57142857142857,78.11433447098976,45.77950043066322
007390,54.0,200.0,1319.0,97.67032967032966,91.51023890784982,43.238587424633934
007460,2257.0,5.0,10.0,0.8351648351648353,99.82935153583618,99.6124031007752
007530,1184.0,1736.0,1681.0,48.0,25.98122866894198,27.648578811369507
007540,1290.0,1789.0,1844.0,43.34065934065934,23.72013651877133,20.62876830318691
007570,1735.0,,1767.0,23.78021978021978,,23.944875107665805
007590,932.0,1258.0,1355.0,59.07692307692308,46.37372013651877,41.688199827734714
007610,2256.0,,,0.8791208791208791,,
007660,1825.0,2231.0,2121.0,19.824175824175825,4.863481228668942,8.699397071490095
007680,1120.0,1175.0,1105.0,50.81318681318682,49.91467576791809,52.4547803617571
007690,896.0,1172.0,1092.0,60.65934065934066,50.04266211604096,53.01464254952627
007700,1745.0,2095.0,2018.0,23.34065934065934,10.665529010238908,13.13522825150732
007720,1557.0,2214.0,2214.0,31.6043956043956,5.588737201365188,4.6942291128337645
007770,659.0,801.0,1414.0,71.07692307692308,65.8703071672355,39.14728682170542
007810,2038.0,1932.0,249.0,10.461538461538462,17.619453924914676,89.31955211024979
007820,863.0,1880.0,1565.0,62.10989010989011,19.83788395904437,32.6442721791559
007860,1259.0,1974.0,1942.0,44.7032967032967,15.82764505119454,16.40826873385013
007980,717.0,709.0,275.0,68.52747252747253,69.7952218430034,88.19982773471146
008040,,,,,,
008060,1451.0,443.0,442.0,36.26373626373626,81.14334470989762,81.0077519379845
008250,1733.0,1960.0,1654.0,23.86813186813187,16.42491467576792,28.811369509043928
008260,691.0,1047.0,1261.0,69.67032967032966,55.37542662116041,45.73643410852713
008290,1603.0,1576.0,1427.0,29.58241758241758,32.80716723549488,38.587424633936266
008350,2144.0,1423.0,1311.0,5.802197802197803,39.334470989761094,43.58311800172265
008370,377.0,284.0,579.0,83.47252747252747,87.92662116040955,75.10766580534023
008420,594.0,568.0,1048.0,73.93406593406593,75.81058020477815,54.90956072351422
008470,108.0,546.0,589.0,95.2967032967033,76.74914675767917,74.67700258397933
008490,173.0,853.0,531.0,92.43956043956044,63.651877133105806,77.17484926787253
008600,,,,,,
008700,1032.0,2176.0,2279.0,54.68131868131868,7.2098976109215025,1.8949181739879413
008730,2082.0,2177.0,2160.0,8.527472527472527,7.167235494880546,7.019810508182601
008770,1794.0,1504.0,1640.0,21.186813186813183,35.87883959044368,29.414298018949182
008830,2136.0,2230.0,2192.0,6.153846153846154,4.906143344709898,5.641688199827734
008870,724.0,908.0,862.0,68.21978021978022,61.30546075085325,62.91989664082688
008930,279.0,1696.0,1847.0,87.78021978021978,27.687713310580204,20.49956933677864
008970,1472.0,1942.0,2194.0,35.34065934065934,17.19283276450512,5.555555555555555
009070,1859.0,2105.0,1411.0,18.329670329670332,10.238907849829353,39.276485788113696
009140,1533.0,2038.0,2237.0,32.65934065934066,13.09726962457338,3.7037037037037033
009150,51.0,19.0,48.0,97.8021978021978,99.2320819112628,97.9758828596038
009160,1104.0,895.0,1054.0,51.51648351648351,61.86006825938567,54.65116279069767
009180,1199.0,928.0,924.0,47.34065934065934,60.45221843003413,60.24978466838932
009190,67.0,305.0,867.0,97.09890109890112,87.03071672354949,62.70456503014643
009200,1216.0,1063.0,841.0,46.59340659340659,54.69283276450512,63.82428940568475
009240,259.0,1539.0,1800.0,88.65934065934066,34.38566552901024,22.52368647717485
009270,1098.0,1546.0,1557.0,51.78021978021978,34.08703071672355,32.98880275624462
009290,1933.0,659.0,673.0,15.076923076923077,71.9283276450512,71.0594315245478
009300,750.0,406.0,985.0,67.07692307692308,82.72184300341297,57.622739018087856
009310,,,,,,
009320,330.0,882.0,1139.0,85.53846153846155,62.41467576791809,50.99052540913006
009410,477.0,1691.0,2069.0,79.07692307692308,27.90102389078498,10.938845822566751
009420,417.0,317.0,88.0,81.71428571428572,86.51877133105802,96.2532299741602
009440,,,,,,
009450,1212.0,1979.0,2290.0,46.76923076923077,15.61433447098976,1.421188630490956
009460,,202.0,396.0,,91.42491467576792,82.98880275624462
009470,2022.0,2335.0,2263.0,11.164835164835164,0.4266211604095563,2.5839793281653747
009520,1547.0,1625.0,794.0,32.043956043956044,30.716723549488055,65.84840654608097
009540,1417.0,1643.0,1633.0,37.75824175824176,29.948805460750854,29.71576227390181
