request_index,request_started_at,previous_request_started_at,interval_seconds,endpoint_class,sector_code,page,page_size,http_status,content_type,content_length,response_sha256,response_prefix_sha256,block_markers,elapsed_seconds,secrets_recorded,response_count,response_count_basis
49,2026-09-02T00:47:06.377908+00:00,2026-09-02T00:47:04.372868+00:00,2.005,sector_detail,277.0,1.0,100.0,200,text/html;charset=EUC-KR,164710,817021747aa62a94b949c1a6b92007d76de6be6e12ac8a37147e8b644d461c41,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.057,False,89,parsed_rows_from_deduplicated_raw_snapshot
50,2026-09-02T00:47:08.382937+00:00,2026-09-02T00:47:06.377908+00:00,2.005,sector_detail,287.0,1.0,100.0,200,text/html;charset=EUC-KR,143785,954531325cf3dbffe3a2aaf7d5c5c24431e8b6e0e5c6840519f104c6532248d8,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.084,False,73,parsed_rows_from_deduplicated_raw_snapshot
51,2026-09-02T00:47:10.387964+00:00,2026-09-02T00:47:08.382937+00:00,2.005,sector_detail,314.0,1.0,100.0,200,text/html;charset=EUC-KR,57072,a65c0471c84170505f7c773590d75b5346509c9328df6e04c8adf5fbe7edefa5,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.063,False,8,parsed_rows_from_deduplicated_raw_snapshot
52,2026-09-02T00:47:12.393004+00:00,2026-09-02T00:47:10.387964+00:00,2.005,sector_detail,329.0,1.0,100.0,200,text/html;charset=EUC-KR,57155,7c5169b3da6f3e29b9766e84074001d39b5030854460423518646271686c70fc,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.046,False,8,parsed_rows_from_deduplicated_raw_snapshot
53,2026-09-02T00:47:14.398033+00:00,2026-09-02T00:47:12.393004+00:00,2.005,sector_detail,25.0,1.0,100.0,200,text/html;charset=EUC-KR,2128988,a5f16fded40360f2c66bf90acc6a01ede7b3bf63bd37f0443a012779dc65ca50,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.39,False,1542,parsed_rows_from_deduplicated_raw_snapshot
54,2026-09-02T00:47:16.403096+00:00,2026-09-02T00:47:14.398033+00:00,2.005,sector_detail,25.0,2.0,100.0,200,text/html;charset=EUC-KR,2128992,d8f40970c190e65c9016cb631c511d83497271f6c602e2ea70aee6e3fb7a6ade,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.33,False,1542,parsed_rows_from_deduplicated_raw_snapshot
55,2026-09-02T00:47:18.408091+00:00,2026-09-02T00:47:16.403096+00:00,2.005,sector_detail,276.0,1.0,100.0,200,text/html;charset=EUC-KR,78584,14e35683a93b8e5fbd0d605283c648282686650199e2252644742ac23bda7297,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.05,False,24,parsed_rows_from_deduplicated_raw_snapshot
56,2026-09-02T00:47:20.413137+00:00,2026-09-02T00:47:18.408091+00:00,2.005,sector_detail,338.0,1.0,100.0,200,text/html;charset=EUC-KR,47748,f88ad550bd42386cd187abd10ce4e33bf15aa9a113a961cabd5d144299d34b27,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.035,False,1,parsed_rows_from_deduplicated_raw_snapshot
57,2026-09-02T00:47:22.418187+00:00,2026-09-02T00:47:20.413137+00:00,2.005,sector_detail,263.0,1.0,100.0,200,text/html;charset=EUC-KR,91896,83386c968d3b9778526dd7ba85a78da313a814239adf466188addabe0536fa0a,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.053,False,34,parsed_rows_from_deduplicated_raw_snapshot
58,2026-09-02T00:47:24.423193+00:00,2026-09-02T00:47:22.418187+00:00,2.005,sector_detail,289.0,1.0,100.0,200,text/html;charset=EUC-KR,114482,d258ed2c34c11a64776739cfd60df0720827dd6e80fcfd5076d0b2dcd5d51baf,4c3e2f1404c5e43f35b141bb03cabd91f1b4b47fc374072f33676a5bcf234c96,[],0.054,False,51,parsed_rows_from_deduplicated_raw_snapshot
