ticker,isu_cd,entry_signal_date,entry_execution_date,name,market,representative_window,observed_windows,n_windows_observed,same_cutoff_return_spread,trade_id,pair_id,trade_status,exit_type,terminal_return,enrichment_status
204320,KR7204320006,2020-10-30,2020-11-02,204320,KOSPI,P1,P1,1,0.0,204320_01,204320|KR7204320006|KOSPI|2014-10-06|2026-09-01|204320_01,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,79.19,READY
900310,HK0000341732,2020-10-30,2020-11-02,900310,KOSDAQ,P1,P1,1,0.0,900310_01,900310|HK0000341732|KOSDAQ|2017-08-10|2026-09-01|900310_01,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-14.71,READY
001460,KR7001460005,2020-11-06,2020-11-09,1460,KOSPI,P1,P1,1,0.0,001460_02,001460|KR7001460005|KOSPI|2010-01-04|2026-09-01|001460_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,73.45,READY
005030,KR7005030002,2020-11-06,2020-11-09,5030,KOSPI,P1,P1,1,0.0,005030_03,005030|KR7005030002|KOSPI|2010-01-04|2026-09-01|005030_03,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-18.26,READY
021080,KR7021080007,2020-11-06,2020-11-09,21080,KOSDAQ,P1,P1,1,0.0,021080_04,021080|KR7021080007|KOSDAQ|2010-01-04|2026-09-01|021080_04,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.38,READY
024850,KR7024850000,2020-11-06,2020-11-09,24850,KOSDAQ,P1,P1,1,0.0,024850_02,024850|KR7024850000|KOSDAQ|2010-01-04|2026-09-01|024850_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,75.19,READY
058610,KR7058610007,2020-11-06,2020-11-09,58610,KOSDAQ,P1,P1,1,0.0,058610_03,058610|KR7058610007|KOSDAQ|2010-01-04|2026-09-01|058610_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,45.1,READY
069260,KR7069260008,2020-11-06,2020-11-09,69260,KOSPI,P1,P1,1,0.0,069260_03,069260|KR7069260008|KOSPI|2010-01-04|2026-09-01|069260_03,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-16.16,READY
075970,KR7075970004,2020-11-06,2020-11-09,75970,KOSDAQ,P1,P1,1,0.0,075970_03,075970|KR7075970004|KOSDAQ|2010-01-04|2026-09-01|075970_03,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,9.63,READY
175330,KR7175330000,2020-11-06,2020-11-09,175330,KOSPI,P1,P1,1,0.0,175330_02,175330|KR7175330000|KOSPI|2013-07-18|2026-09-01|175330_02,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,225.18,READY
005930,KR7005930003,2020-11-13,2020-11-16,5930,KOSPI,P1,P1,1,0.0,005930_04,005930|KR7005930003|KOSPI|2010-01-04|2026-09-01|005930_04,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,12.97,READY
009440,KR7009440009,2020-11-13,2020-11-16,9440,KOSPI,P1,P1,1,0.0,009440_03,009440|KR7009440009|KOSPI|2010-01-04|2026-09-01|009440_03,REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,-15.47,READY
011170,KR7011170008,2020-11-13,2020-11-16,11170,KOSPI,P1,P1,1,0.0,011170_03,011170|KR7011170008|KOSPI|2010-01-04|2026-09-01|011170_03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-3.34,READY
