ticker,isu_cd,identity_effective_from,entry_signal_date,ledger_entry_pattern_a_stage,ledger_fast_score,enrichment_status,enrichment_error,reconstructed_pattern_a_stage,pattern_a_score,pattern_a_evaluation_status,reconstructed_fast_score,fast_weekly_core_score,fast_conditional_status,reconstructed_fast_machine_stage,range_position_24m,monthly_down_month_ratio_12m,distance_to_prior_26w_high_pct,close_vs_wma200_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,weeks_since_26w_close_breakout,post_breakout_min_low_vs_level_pct_26w,recent_5d_max_gap_abs_pct,atr_14_pct,market_cap_eok,avg_trading_value_20d_eok,avg_trading_value_60d_eok,investability_status,stage_match,fast_score_match
175140,KR7175140003,2015-09-23,2024-05-31,TRANSITION,75.29,READY,,TRANSITION,29.3248,READY,75.29,79.25,EVENT_OBSERVED,TRIGGER,0.424749,0.333333,-0.033413,0.107435,8.0,-0.000106,0.222922,1.0,-0.14411,0.015532,0.063051,1742.74,38.53,30.71,INVESTABLE,True,True
175330,KR7175330000,2013-07-18,2017-07-14,TRANSITION,81.55,READY,,TRANSITION,53.0349,READY,81.55,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.606695,0.25,0.007429,0.091328,9.0,0.003507,0.047669,0.0,,0.011852,0.021176,10538.79,24.31,20.41,INVESTABLE,True,True
175330,KR7175330000,2013-07-18,2020-11-06,TRANSITION,70.55,READY,,TRANSITION,34.0889,READY,70.55,70.25,EVENT_NOT_OBSERVED,TRIGGER,0.603279,0.583333,0.013011,-0.038515,9.0,-0.000316,-0.003985,0.0,,0.011132,0.023722,10735.57,28.37,19.58,INVESTABLE,True,True
175330,KR7175330000,2013-07-18,2021-01-08,TRANSITION,79.8,READY,,TRANSITION,61.193,READY,79.8,82.75,EVENT_OBSERVED,TRIGGER,0.780328,0.583333,-0.0864,0.006702,6.0,0.002118,0.108386,8.0,-0.007299,0.023551,0.027396,11247.72,43.84,36.48,INVESTABLE,True,True
175330,KR7175330000,2013-07-18,2023-01-06,EARLY_TREND,79.3,READY,,EARLY_TREND,89.8841,READY,79.3,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.664234,0.416667,0.018846,0.324955,8.0,0.000748,0.039641,0.0,,0.004706,0.021222,17039.02,74.43,40.09,INVESTABLE,True,True
177350,KR7177350006,2015-06-19,2021-01-22,TRANSITION,77.99,READY,,TRANSITION,41.4631,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.535966,0.416667,0.134797,0.050342,7.0,0.005584,0.061871,0.0,,0.029374,0.065603,555.14,23.43,12.34,FILTERED_MARKET_CAP,True,True
178320,KR7178320008,2017-03-27,2024-02-16,TRANSITION,77.99,READY,,TRANSITION,57.6665,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.66879,0.416667,0.053269,0.165452,6.0,0.005717,0.073084,0.0,,0.01208,0.042397,8173.79,124.83,87.41,INVESTABLE,True,True
178320,KR7178320008,2017-03-27,2025-10-17,TRANSITION,69.24,READY,,TRANSITION,86.1449,READY,69.24,77.75,EVENT_NOT_OBSERVED,TRIGGER,0.295175,0.583333,0.02045,0.21804,6.0,-0.001819,-0.012657,0.0,,0.040268,0.038792,14033.86,94.47,66.65,INVESTABLE,True,True
178920,KR7178920005,2014-12-08,2020-12-18,TRANSITION,77.99,READY,,TRANSITION,31.7727,READY,77.99,82.75,EVENT_NOT_OBSERVED,TRIGGER,0.556373,0.5,0.038889,0.093824,8.0,0.001999,0.009275,0.0,,0.008021,0.035905,10983.0,165.28,87.97,INVESTABLE,True,True
178920,KR7178920005,2014-12-08,2021-01-08,TRANSITION,78.49,READY,,TRANSITION,60.6746,READY,78.49,82.75,EVENT_OBSERVED,TRIGGER,0.769608,0.5,-0.061697,0.057109,8.0,0.001508,0.038634,3.0,-0.020833,0.024324,0.032094,10718.71,172.54,100.66,INVESTABLE,True,True
