ticker,name,market,signal_reference_date,execution_candidate_date,pattern_a_stage,market_cap,avg_trading_value_20d,investability_status,market_cap_source_file,market_cap_sha256
011560,세보엠이씨,KOSDAQ,2026-02-13,2026-02-19,TRANSITION,,705969447.25,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2025-09-19,2025-09-22,TRANSITION,,114510070.75,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,114692710.5,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2026-02-27,2026-03-03,TRANSITION,,137687346.25,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2026-04-03,2026-04-06,TRANSITION,,84555580.0,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2026-04-10,2026-04-13,TRANSITION,,81729461.0,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2026-04-17,2026-04-20,TRANSITION,,95232327.25,DATA_UNAVAILABLE,,
012620,원일특강,KOSDAQ,2026-04-24,2026-04-27,TRANSITION,,76450276.5,DATA_UNAVAILABLE,,
013030,하이록코리아,KOSDAQ,2026-04-10,2026-04-13,EARLY_TREND,,3211723652.5,DATA_UNAVAILABLE,,
013030,하이록코리아,KOSDAQ,2026-04-17,2026-04-20,EARLY_TREND,,3468074471.25,DATA_UNAVAILABLE,,
013030,하이록코리아,KOSDAQ,2026-04-24,2026-04-27,EARLY_TREND,,4508167285.0,DATA_UNAVAILABLE,,
013120,동원개발,KOSDAQ,2025-07-11,2025-07-14,TRANSITION,,589777482.95,DATA_UNAVAILABLE,,
013120,동원개발,KOSDAQ,2025-07-18,2025-07-21,TRANSITION,,952863332.6,DATA_UNAVAILABLE,,
013120,동원개발,KOSDAQ,2025-08-08,2025-08-11,TRANSITION,,1045988936.65,DATA_UNAVAILABLE,,
013120,동원개발,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,654005207.35,DATA_UNAVAILABLE,,
013120,동원개발,KOSDAQ,2026-02-27,2026-03-03,TRANSITION,,910325083.8,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-08-02,2024-08-05,EARLY_TREND,,22833894686.5,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-08-16,2024-08-19,EARLY_TREND,,21070713755.5,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-08-23,2024-08-26,EARLY_TREND,,18525087492.5,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-08-30,2024-09-02,EARLY_TREND,,15772722271.5,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-11-29,2024-12-02,EARLY_TREND,,24457271440.5,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-12-13,2024-12-16,EARLY_TREND,,30671186630.5,DATA_UNAVAILABLE,,
014620,성광벤드,KOSDAQ,2024-12-27,2024-12-30,EARLY_TREND,646545863050.0,20575847556.0,INVESTABLE,artifacts/investability/history/source/krx_market_cap_20241227.csv,39359486da9f40e9a7eb0ca3a20a1ebdf7ae4123cce309751f99571f78cdb126
