population,recovery_class,metric,stat,value,total_count,total_rate_pct,recovery_count,recovery_rate_pct,never_winner_count,never_winner_rate_pct,recovery_within_bin_rate_pct
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,median,-46.663824,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,p75,-30.547127,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,p90,-18.900116,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,p95,-10.944406,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,maximum,-0.878845,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_close_return_pct,mean,-46.527185,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,minimum,-99.934354,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,p05,-81.695296,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,p10,-75.271228,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,p25,-61.948004,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,median,-48.487329,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,p75,-32.846332,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,p90,-20.32238,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,p95,-12.83321,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,maximum,-1.067169,,,,,,,
ALL_973,NEVER_WINNER,prewinner_min_low_return_pct,mean,-47.838565,,,,,,,
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,> -10%,360.0,360.0,36.998972,349.0,35.868448,11.0,1.130524,96.944444
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-10% to > -15%,98.0,98.0,10.071942,93.0,9.558068,5.0,0.513875,94.897959
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-15% to > -20%,91.0,91.0,9.352518,80.0,8.221994,11.0,1.130524,87.912088
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-20% to > -25%,66.0,66.0,6.783145,56.0,5.755396,10.0,1.027749,84.848485
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-25% to > -30%,55.0,55.0,5.652621,35.0,3.597122,20.0,2.055498,63.636364
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-30% to > -35%,40.0,40.0,4.110997,23.0,2.363823,17.0,1.747174,57.5
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-35% to > -40%,41.0,41.0,4.213772,25.0,2.569373,16.0,1.644399,60.97561
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-40% to > -45%,42.0,42.0,4.316547,19.0,1.952724,23.0,2.363823,45.238095
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-45% to > -50%,34.0,34.0,3.494347,18.0,1.849949,16.0,1.644399,52.941176
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-50% to > -55%,34.0,34.0,3.494347,13.0,1.336074,21.0,2.158273,38.235294
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,-55% to > -60%,31.0,31.0,3.186023,7.0,0.719424,24.0,2.466598,22.580645
ALL_973,ALL_CLASSES,prewinner_min_close_return_pct_5pct_bin,<= -60%,75.0,75.0,7.708119,13.0,1.336074,62.0,6.372045,17.333333
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,> -10%,327.0,327.0,33.6074,318.0,32.682425,9.0,0.924974,97.247706
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-10% to > -15%,104.0,104.0,10.688592,99.0,10.174717,5.0,0.513875,95.192308
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-15% to > -20%,93.0,93.0,9.558068,84.0,8.633094,9.0,0.924974,90.322581
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-20% to > -25%,81.0,81.0,8.324769,69.0,7.09147,12.0,1.233299,85.185185
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-25% to > -30%,54.0,54.0,5.549846,38.0,3.905447,16.0,1.644399,70.37037
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-30% to > -35%,44.0,44.0,4.522097,26.0,2.672148,18.0,1.849949,59.090909
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-35% to > -40%,36.0,36.0,3.699897,20.0,2.055498,16.0,1.644399,55.555556
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-40% to > -45%,44.0,44.0,4.522097,22.0,2.261048,22.0,2.261048,50.0
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-45% to > -50%,37.0,37.0,3.802672,20.0,2.055498,17.0,1.747174,54.054054
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-50% to > -55%,29.0,29.0,2.980473,12.0,1.233299,17.0,1.747174,41.37931
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,-55% to > -60%,38.0,38.0,3.905447,9.0,0.924974,29.0,2.980473,23.684211
ALL_973,ALL_CLASSES,prewinner_min_low_return_pct_5pct_bin,<= -60%,80.0,80.0,8.221994,14.0,1.438849,66.0,6.783145,17.5
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,minimum,-76.27907,,,,,,,
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,p05,-54.177426,,,,,,,
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,p10,-47.060552,,,,,,,
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,p25,-32.401549,,,,,,,
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,median,-20.223325,,,,,,,
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,p75,-10.787108,,,,,,,
LOSS_GUARD_590,RECOVERY,prewinner_min_close_return_pct,p90,-2.101076,,,,,,,
