ticker,first_common_date,last_common_date,lifecycle_interval_count,current_expected_count,candidate_expected_count,baseline_expected_count,raw_observed_count,silent_missing_count,current_nontradable_count,candidate_confirmed_nontrading_count,potential_false_nontradable_count,added_back_date_count,inside_common_lifecycle,added_back_dates_sha256
001390,2010-01-04,2026-08-21,1,4091,4091,4095,4095,0,4,4,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
0013V0,2025-12-22,2026-08-21,1,162,162,162,162,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001420,2010-01-04,2026-08-21,1,4094,4094,4095,4095,0,1,1,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001430,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001440,2010-01-04,2026-08-21,1,3814,3814,4095,4095,0,281,281,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001450,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001460,2010-01-04,2026-08-21,1,4090,4090,4095,4095,0,5,5,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001470,2010-01-04,2026-08-21,1,3630,3630,4095,4095,0,465,465,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001500,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001510,2010-01-04,2026-08-21,1,4080,4080,4095,4095,0,15,15,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001520,2010-01-04,2026-08-21,1,3967,3968,4095,4095,0,128,127,1,1,True,aa0745ac7e0a71bf55381f7c01d041e05ad0fabc6f935a37f7fbf2d5a6d9100a
001530,2010-01-04,2026-08-21,1,4077,4077,4095,4095,0,18,18,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001540,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001550,2010-01-04,2026-08-21,1,4095,4095,4095,4095,0,0,0,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001560,2010-01-04,2026-08-21,1,4092,4092,4095,4095,0,3,3,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
001570,2010-01-04,2026-08-21,1,3747,3747,4095,4095,0,348,348,0,0,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
