ticker,date,naver_open,naver_high,naver_low,naver_close,naver_volume,raw_open,raw_high,raw_low,raw_close,raw_volume,raw_trading_value,raw_activity_class,confirmed_nontrading,source_action
002420,2013-03-27,5761.0,5761.0,5761.0,5763.0,0.0,0,0,0,30100,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-03-28,5761.0,5761.0,5761.0,5763.0,0.0,0,0,0,30100,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-06-24,8467.0,8467.0,8467.0,8468.0,0.0,0,0,0,42250,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-06-24,5723.0,5723.0,5723.0,5725.0,0.0,0,0,0,29900,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-06-26,5723.0,5723.0,5723.0,5725.0,0.0,0,0,0,29900,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-07-03,8527.0,8527.0,8527.0,8528.0,0.0,0,0,0,42550,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-07-18,5704.0,5704.0,5704.0,5706.0,0.0,0,0,0,29800,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-07-30,5704.0,5704.0,5704.0,5706.0,0.0,0,0,0,29800,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-07-31,5704.0,5704.0,5704.0,5706.0,0.0,0,0,0,29800,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
003120,2013-08-26,16020.0,16020.0,16020.0,16021.0,0.0,0,0,0,80000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2013-09-03,28777.0,28777.0,28777.0,28778.0,0.0,0,0,0,196000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2013-09-11,28924.0,28924.0,28924.0,28925.0,0.0,0,0,0,197000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-09-17,5551.0,5551.0,5551.0,5552.0,0.0,0,0,0,29000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002840,2013-09-30,28630.0,28630.0,28630.0,28631.0,0.0,0,0,0,195000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-10-23,8417.0,8417.0,8417.0,8418.0,0.0,0,0,0,42000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-10-24,8417.0,8417.0,8417.0,8418.0,0.0,0,0,0,42000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-10-29,5474.0,5474.0,5474.0,5475.0,0.0,0,0,0,28600,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
001940,2013-10-31,8377.0,8377.0,8377.0,8378.0,0.0,0,0,0,41800,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-11-06,5445.0,5445.0,5445.0,5447.0,0.0,0,0,0,28450,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-11-12,5254.0,5254.0,5254.0,5255.0,0.0,0,0,0,27450,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
002420,2013-11-15,5168.0,5168.0,5168.0,5169.0,0.0,0,0,0,27000,0,0,ACTIVITY_NONE,True,PRESERVE_RAW_EXCLUDE_FROM_USABLE_ADJUSTED
