ticker,isu_cd,market,effective_from,effective_to,latest_daily_update_as_of,status,reason
036890,KR7036890002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
036930,KR7036930006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037030,KR7037030004,KOSDAQ,2018-06-07,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037070,KR7037070000,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037230,KR7037230000,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037270,KR7037270006,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037330,KR7037330008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037350,KR7037350006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037370,KR7037370004,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037400,KR7037400009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037440,KR7037440005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037460,KR7037460003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037560,KR7037560000,KOSPI,2012-11-09,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037710,KR7037710001,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037760,KR7037760006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
037950,KR7037950003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038010,KR7038010005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038060,KR7038060000,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038070,KR7038070009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038110,KR7038110003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038160,KR7038160008,KOSDAQ,2016-08-01,2021-08-20,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
038290,KR7038290003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038340,KR7038340006,KOSDAQ,2010-01-04,2025-03-27,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
038390,KR7038390001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038460,KR7038460002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038500,KR7038500005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038530,KR7038530002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038540,KR7038540001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038620,KR7038620001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038680,KR7038680005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038870,KR7038870002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038880,KR7038880001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
038950,KR7038950002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039010,KR7039010004,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039020,KR7039020003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039030,KR7039030002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039130,KR7039130000,KOSPI,2011-11-01,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039200,KR7039200001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039230,KR7039230008,KOSDAQ,2010-01-04,2021-10-05,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
039240,KR7039240007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039290,KR7039290002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039310,KR7039310008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039340,KR7039340005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039420,KR7039420005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039440,KR7039440003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039490,KR7039490008,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039560,KR7039560008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039570,KR7039570007,KOSPI,2015-09-24,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039610,KR7039610001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039670,KR7039670005,KOSDAQ,2010-01-04,2022-04-19,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
039740,KR7039740006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039830,KR7039830005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039840,KR7039840004,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039860,KR7039860002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
039980,KR7039980008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
040160,KR7040160004,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
040300,KR7040300006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
040350,KR7040350001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
040420,KR7040420002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
040610,KR7040610008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
040910,KR7040910002,KOSDAQ,2011-08-05,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041020,KR7041020009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041140,KR7041140005,KOSDAQ,2010-01-04,2022-04-14,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
041190,KR7041190000,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041440,KR7041440009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041460,KR7041460007,KOSDAQ,2010-11-19,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041510,KR7041510009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041520,KR7041520008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041590,KR7041590001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041650,KR7041650003,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041830,KR7041830001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041910,KR7041910001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041920,KR7041920000,KOSDAQ,2014-10-07,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041930,KR7041930009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
041960,KR7041960006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042000,KR7042000000,KOSDAQ,2018-02-08,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042040,KR7042040006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042110,KR7042110007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042370,KR7042370007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042420,KR7042420000,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042500,KR7042500009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042510,KR7042510008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042520,KR7042520007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042600,KR7042600007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042660,KR7042660001,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042670,KR7042670000,KOSPI,2010-01-04,2026-01-23,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
042700,KR7042700005,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
042940,KR7042940007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043090,KR7043090000,KOSDAQ,2010-01-04,2026-08-07,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
043100,KR7043100007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043150,KR7043150002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043200,KR7043200005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043260,KR7043260009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043290,KR7043290006,KOSDAQ,2011-10-25,2021-07-19,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
043340,KR7043340009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043360,KR7043360007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043370,KR7043370006,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043590,KR7043590009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043610,KR7043610005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043650,KR7043650001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
043910,KR7043910009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044180,KR7044180008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044340,KR7044340008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044380,KR7044380004,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044450,KR7044450005,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044480,KR7044480002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044490,KR7044490001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044780,KR7044780005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044820,KR7044820009,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044960,KR7044960003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
044990,KR7044990000,KOSDAQ,2024-10-25,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045060,KR7045060001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045100,KR7045100005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045300,KR7045300001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045340,KR7045340007,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045390,KR7045390002,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045510,KR7045510005,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045520,KR7045520004,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045660,KR7045660008,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
045890,KR7045890001,KOSDAQ,2010-01-04,2021-12-17,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
045970,KR7045970001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046070,KR7046070009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
046110,KR7046110003,KOSDAQ,2010-01-04,2022-10-04,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
046120,KR7046120002,KOSDAQ,2010-06-15,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046140,KR7046140000,KOSDAQ,2010-01-04,2023-12-15,2026-09-21,EXCLUDED_NOT_CURRENT_COMMON_IDENTITY,IDENTITY_NOT_COMMON_AT_LATEST_DAILY_UPDATE
046210,KR7046210001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046310,KR7046310009,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046390,KR7046390001,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046440,KR7046440004,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046890,KR7046890000,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046940,KR7046940003,KOSDAQ,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
046970,KR7046970000,KOSDAQ,2012-11-27,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
047040,KR7047040001,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
047050,KR7047050000,KOSPI,2010-01-04,2026-09-01,2026-09-21,SURVIVOR_COMMON_IDENTITY,EXACT_TICKER_ISU_MARKET_ACTIVE_AT_LATEST_DAILY_UPDATE
