panel,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable,tier,loss_30_count,loss_50_count,deep_loss_generalizable
SIMPLE_POOLED_DEDUP,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,1313,374,52.2277,31.5688,20.6589,FAVORABLE,38.67,18.77,19.9,FAVORABLE,40.8225,27.2727,13.5498,FAVORABLE,14.9276,10.4278,4.4998,FAVORABLE,1.6756,15.508,-13.8324,FAVORABLE,0.1523,8.5561,-8.4038,FAVORABLE,0.1523,6.6845,-6.5322,FAVORABLE,20.5594,18.1582,-17.2842,-11.8052,0.6361,0.1361,7,0,EVALUABLE,80,34,True
SIMPLE_POOLED_DEDUP,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,289,374,94.6138,31.5688,63.045,FAVORABLE,72.23,18.77,53.46,FAVORABLE,64.3599,27.2727,37.0872,FAVORABLE,38.4083,10.4278,27.9805,FAVORABLE,3.8062,15.508,-11.7018,FAVORABLE,1.7301,8.5561,-6.826,FAVORABLE,0.346,6.6845,-6.3385,FAVORABLE,25.0236,36.8984,-17.301,-10.4907,0.747,0.247,7,0,EVALUABLE,69,37,True
SIMPLE_POOLED_DEDUP,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,1313,289,52.2277,94.6138,-42.3861,UNFAVORABLE,38.67,72.23,-33.56,UNFAVORABLE,40.8225,64.3599,-23.5374,UNFAVORABLE,14.9276,38.4083,-23.4807,UNFAVORABLE,1.6756,3.8062,-2.1306,FAVORABLE,0.1523,1.7301,-1.5778,FAVORABLE,0.1523,0.346,-0.1937,FAVORABLE,-4.4642,-18.7402,0.0168,-1.3145,0.3448,-0.1552,3,4,EVALUABLE,33,7,True
SIMPLE_POOLED_DEDUP,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,1313,3774,52.2277,-11.2097,63.4374,FAVORABLE,38.67,-15.97,54.64,FAVORABLE,40.8225,2.8617,37.9608,FAVORABLE,14.9276,1.0334,13.8942,FAVORABLE,1.6756,2.0403,-0.3647,FAVORABLE,0.1523,0.9009,-0.7486,FAVORABLE,0.1523,0.6624,-0.5101,FAVORABLE,76.355,53.4644,-68.8475,-0.5898,0.909,0.409,7,0,EVALUABLE,99,36,True
REALISTIC_P2-1_ELIGIBLE,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,69,42,34.7651,20.5752,14.1899,FAVORABLE,22.94,21.65,1.29,FAVORABLE,27.5362,21.4286,6.1076,FAVORABLE,10.1449,4.7619,5.383,FAVORABLE,0.0,14.2857,-14.2857,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,19.7723,-1.8633,-10.8696,-4.7619,0.57,0.07,5,0,EVALUABLE,6,0,False
REALISTIC_P2-1_ELIGIBLE,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,7,42,67.4971,20.5752,46.9219,FAVORABLE,49.44,21.65,27.79,FAVORABLE,42.8571,21.4286,21.4285,FAVORABLE,28.5714,4.7619,23.8095,FAVORABLE,0.0,14.2857,-14.2857,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,21.4286,33.3334,-16.6667,-4.7619,0.7143,0.2143,5,0,COUNTS_ONLY,6,0,False
REALISTIC_P2-1_ELIGIBLE,A_vs_B,FIRST_PROGRESSED_NORMAL,LATE_NORMALIZED,69,7,34.7651,67.4971,-32.732,UNFAVORABLE,22.94,49.44,-26.5,UNFAVORABLE,27.5362,42.8571,-15.3209,UNFAVORABLE,10.1449,28.5714,-18.4265,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,-1.6563,-35.1967,5.7971,0.0,0.3602,-0.1398,0,4,COUNTS_ONLY,0,0,False
REALISTIC_P2-1_ELIGIBLE,A_vs_C,FIRST_PROGRESSED_NORMAL,NEVER_NORMALIZED_COVERAGE,69,279,34.7651,-4.5734,39.3385,FAVORABLE,22.94,-15.44,38.38,FAVORABLE,27.5362,5.7348,21.8014,FAVORABLE,10.1449,0.7168,9.4281,FAVORABLE,0.0,2.8674,-2.8674,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,60.4021,25.8376,-55.1348,-0.7168,0.8274,0.3274,5,0,EVALUABLE,8,0,False
REALISTIC_P2-1_FILLED,A_vs_C1,FIRST_PROGRESSED_NORMAL,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,32,17,36.1631,17.4371,18.726,FAVORABLE,23.46,11.89,11.57,FAVORABLE,21.875,17.6471,4.2279,FAVORABLE,12.5,11.7647,0.7353,FAVORABLE,0.0,17.6471,-17.6471,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,31.8015,-7.1691,-14.5221,-5.8824,0.6324,0.1324,5,0,DESCRIPTIVE,3,0,False
REALISTIC_P2-1_FILLED,B_vs_C1,LATE_NORMALIZED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,6,17,81.085,17.4371,63.6479,FAVORABLE,54.47,11.89,42.58,FAVORABLE,50.0,17.6471,32.3529,FAVORABLE,33.3333,11.7647,21.5686,FAVORABLE,0.0,17.6471,-17.6471,FAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,41.1765,48.0392,-17.6471,-5.8824,0.8039,0.3039,5,0,COUNTS_ONLY,3,0,False
