panel,group,panel_n,trades,mean_return,median_return,q25_return,q75_return,positive_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,le_neg_15_count,le_neg_15_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,open_at_cutoff_rate_pct,closed_rate_pct,holding_days_mean,holding_days_median,mfe_mean,mfe_median,mae_mean,mae_median,peak_giveback_mean,peak_giveback_median,exit_type_mix,open_at_cutoff_count
REALISTIC_P3-2_ELIGIBLE,FIRST_PROGRESSED_NORMAL,405,109,67.9117,60.44,17.05,92.85,87.156,72,66.055,65,59.633,25,22.9358,4,3.6697,1,0.9174,1,0.9174,0,0.0,0,0.0,8.2569,91.7431,206.7339,158.0,117.9361,89.25,-9.5015,-9.34,50.0245,33.33,EXIT4_SCORE_DRAWDOWN_GE_15=81.7%; NO_EXIT_BEFORE_CUTOFF=8.3%; EXIT3_PROGRESSED_TO_TRANSITION=5.5%; EXIT3_PROGRESSED_TO_WEAK=3.7%; EXIT3_PROGRESSED_TO_EARLY_TREND=0.9%,9
REALISTIC_P3-2_ELIGIBLE,LATE_NORMALIZED,405,13,108.9554,107.04,71.19,115.11,100.0,13,100.0,11,84.6154,7,53.8462,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,560.1538,526.0,158.8685,136.8,-19.1277,-14.96,49.9131,35.31,EXIT4_SCORE_DRAWDOWN_GE_15=92.3%; EXIT3_PROGRESSED_TO_EARLY_TREND=7.7%,0
REALISTIC_P3-2_ELIGIBLE,NEVER_NORMALIZED_COVERAGE,405,283,-6.2624,-15.51,-16.71,-14.09,14.1343,24,8.4806,19,6.7138,6,2.1201,182,64.311,3,1.0601,1,0.3534,0,0.0,0,0.0,9.5406,90.4594,110.265,48.0,22.7827,9.51,-16.9256,-16.9,29.0451,23.44,LOSS_GUARD_CLOSE_LE_NEG_15=81.6%; EXIT4_SCORE_DRAWDOWN_GE_15=8.8%; NO_PROGRESSED_BEFORE_CUTOFF=5.3%; NO_EXIT_BEFORE_CUTOFF=4.2%,27
REALISTIC_P3-2_ELIGIBLE,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,405,37,44.3222,32.5,15.54,85.34,78.3784,21,56.7568,16,43.2432,6,16.2162,5,13.5135,2,5.4054,1,2.7027,0,0.0,0,0.0,32.4324,67.5676,300.4324,271.0,80.9768,75.42,-13.5722,-10.33,36.6546,28.55,EXIT4_SCORE_DRAWDOWN_GE_15=67.6%; NO_EXIT_BEFORE_CUTOFF=32.4%,12
REALISTIC_P3-2_ELIGIBLE,C2_NO_PROGRESSED_WHILE_HELD,405,246,-13.8706,-15.62,-16.8625,-14.8375,4.4715,3,1.2195,3,1.2195,0,0.0,177,71.9512,1,0.4065,0,0.0,0,0.0,0,0.0,6.0976,93.9024,81.6626,43.5,14.0299,7.58,-17.43,-17.045,27.9005,22.49,LOSS_GUARD_CLOSE_LE_NEG_15=93.9%; NO_PROGRESSED_BEFORE_CUTOFF=6.1%,15
REALISTIC_P3-2_FILLED,FIRST_PROGRESSED_NORMAL,228,59,68.4044,60.92,15.85,99.13,84.7458,36,61.0169,34,57.6271,15,25.4237,3,5.0847,1,1.6949,1,1.6949,0,0.0,0,0.0,5.0847,94.9153,227.6102,155.0,113.5215,88.36,-10.4183,-9.68,45.1171,32.2,EXIT4_SCORE_DRAWDOWN_GE_15=79.7%; EXIT3_PROGRESSED_TO_TRANSITION=8.5%; EXIT3_PROGRESSED_TO_WEAK=5.1%; NO_EXIT_BEFORE_CUTOFF=5.1%; EXIT3_PROGRESSED_TO_EARLY_TREND=1.7%,3
REALISTIC_P3-2_FILLED,LATE_NORMALIZED,228,7,127.0129,107.7,78.115,143.98,100.0,7,100.0,6,85.7143,4,57.1429,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,100.0,561.0,526.0,168.7671,134.3,-15.5557,-14.16,41.7543,42.06,EXIT4_SCORE_DRAWDOWN_GE_15=100.0%,0
REALISTIC_P3-2_FILLED,NEVER_NORMALIZED_COVERAGE,228,162,-8.5542,-15.635,-16.8475,-14.4925,12.3457,10,6.1728,8,4.9383,3,1.8519,108,66.6667,2,1.2346,1,0.6173,0,0.0,0,0.0,11.1111,88.8889,111.3148,47.5,20.7103,9.13,-17.1059,-16.955,29.2645,23.525,LOSS_GUARD_CLOSE_LE_NEG_15=82.1%; EXIT4_SCORE_DRAWDOWN_GE_15=6.8%; NO_PROGRESSED_BEFORE_CUTOFF=6.8%; NO_EXIT_BEFORE_CUTOFF=4.3%,18
REALISTIC_P3-2_FILLED,C1_PROGRESSED_WITHOUT_DIRECT_HANDOFF,228,18,32.3883,22.655,-4.985,54.3775,66.6667,8,44.4444,6,33.3333,3,16.6667,3,16.6667,1,5.5556,1,5.5556,0,0.0,0,0.0,38.8889,61.1111,328.7222,268.5,71.3222,57.2,-14.4911,-12.295,38.9339,36.725,EXIT4_SCORE_DRAWDOWN_GE_15=61.1%; NO_EXIT_BEFORE_CUTOFF=38.9%,7
REALISTIC_P3-2_FILLED,C2_NO_PROGRESSED_WHILE_HELD,228,144,-13.672,-15.795,-16.89,-14.8675,5.5556,2,1.3889,2,1.3889,0,0.0,105,72.9167,1,0.6944,0,0.0,0,0.0,0,0.0,7.6389,92.3611,84.1389,45.0,14.3838,7.72,-17.4328,-17.045,28.0558,22.93,LOSS_GUARD_CLOSE_LE_NEG_15=92.4%; NO_PROGRESSED_BEFORE_CUTOFF=7.6%,11
