ticker,trade_sequence,trade_id,structural_match,numeric_match,overall_match,structural_mismatch_count,numeric_mismatch_count,max_numeric_abs_error
204320,1,204320_01,True,True,True,0,0,0.0
204620,1,204620_01,True,True,True,0,0,0.0
207940,1,207940_01,False,False,False,10,12,inf
207940,2,207940_02,False,False,False,28,12,0.0
214150,1,214150_01,False,False,False,3,10,51821361600.0
226400,1,226400_01,False,True,False,1,0,0.0
241560,1,241560_01,False,True,False,1,0,0.0
251120,1,251120_01,False,True,False,1,0,0.0
267290,1,267290_01,False,True,False,1,0,0.0
271560,1,271560_01,False,False,False,3,10,434897452000.0
272210,1,272210_01,False,True,False,1,0,0.0
272210,2,272210_02,False,False,False,28,12,0.0
274090,1,274090_01,True,True,True,0,0,0.0
285490,1,285490_01,True,True,True,0,0,0.0
300720,1,300720_01,True,True,True,0,0,0.0
306200,1,306200_01,True,True,True,0,0,0.0
310200,1,310200_01,False,True,False,1,0,0.0
316140,1,316140_01,False,False,False,9,12,inf
316140,2,316140_02,False,False,False,28,12,0.0
352820,1,352820_01,True,True,True,0,0,0.0
383800,1,383800_01,False,True,False,1,0,0.0
950170,1,950170_01,False,True,False,1,0,0.0
