ticker,trade_sequence,column,authority,production,kind
003720,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
004140,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
004150,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
004170,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
004370,1,entry_signal_date,2022-12-23,2022-02-04,STRUCTURAL
004370,1,entry_execution_date,2022-12-26,2022-02-07,STRUCTURAL
004370,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20220204.csv,STRUCTURAL
004370,1,entry_open,348500.0,336500.0,NUMERIC
004370,1,fast_score,79.3,81.55,NUMERIC
004370,1,investability_market_cap,2119800737000.0,2074180922000.0,NUMERIC
004370,1,investability_avg_trading_value_20d,5626102925.0,10125925575.0,NUMERIC
004370,1,terminal_return,7.75,11.59,NUMERIC
004370,1,mfe,43.47,48.59,NUMERIC
004370,1,mae,-7.03,-21.99,NUMERIC
004370,1,peak_giveback,35.72,37.0,NUMERIC
004370,1,profit_capture,0.1783,0.2385,NUMERIC
004370,1,holding_weeks,54.4,98.4,NUMERIC
004800,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
005380,1,entry_signal_date,2023-06-30,2023-04-07,STRUCTURAL
005380,1,entry_execution_date,2023-07-03,2023-04-10,STRUCTURAL
005380,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230630.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230407.csv,STRUCTURAL
005380,1,entry_open,207500.0,186000.0,NUMERIC
005380,1,fast_score,82.05,81.55,NUMERIC
005380,1,investability_market_cap,43681255989000.0,39154481760600.0,NUMERIC
005380,1,investability_avg_trading_value_20d,107826228350.7,92328641596.4,NUMERIC
005380,1,terminal_return,14.46,27.69,NUMERIC
005380,1,mfe,44.34,61.02,NUMERIC
005380,1,mae,-18.41,-8.98,NUMERIC
005380,1,peak_giveback,29.88,33.33,NUMERIC
005380,1,profit_capture,0.3261,0.4538,NUMERIC
005380,1,holding_weeks,61.2,72.4,NUMERIC
005490,1,entry_signal_date,2023-03-31,2023-03-03,STRUCTURAL
005490,1,entry_execution_date,2023-04-03,2023-03-06,STRUCTURAL
005490,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230331.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230303.csv,STRUCTURAL
005490,1,entry_open,385000.0,334000.0,NUMERIC
005490,1,fast_score,80.24,77.24,NUMERIC
005490,1,investability_market_cap,31122212640000.0,28077648360000.0,NUMERIC
005490,1,investability_avg_trading_value_20d,289794438000.0,250844134025.0,NUMERIC
005490,1,terminal_return,37.4,58.38,NUMERIC
005490,1,mfe,98.44,128.74,NUMERIC
005490,1,mae,-7.53,-5.84,NUMERIC
005490,1,peak_giveback,61.04,70.36,NUMERIC
005490,1,profit_capture,0.3799,0.4535,NUMERIC
005490,1,holding_weeks,24.8,28.8,NUMERIC
005680,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
005710,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250328.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,STRUCTURAL
005740,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
005830,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20221223.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20221223.csv,STRUCTURAL
005850,1,entry_signal_date,2025-03-28,2024-06-07,STRUCTURAL
005850,1,entry_execution_date,2025-03-31,2024-06-10,STRUCTURAL
005850,1,daily_risk,ELEVATED,NORMAL,STRUCTURAL
005850,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250328.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240607.csv,STRUCTURAL
005850,1,entry_open,38050.0,37050.0,NUMERIC
005850,1,fast_score,69.24,76.94,NUMERIC
005850,1,investability_market_cap,1806847428000.0,1744141926000.0,NUMERIC
005850,1,investability_avg_trading_value_20d,9151076903.75,6536509065.0,NUMERIC
005850,1,terminal_return,93.43,98.65,NUMERIC
005850,1,mfe,108.94,114.57,NUMERIC
005850,1,mae,-23.52,-27.53,NUMERIC
005850,1,peak_giveback,15.51,15.92,NUMERIC
005850,1,profit_capture,0.8576,0.861,NUMERIC
005850,1,holding_weeks,57.0,96.0,NUMERIC
005930,1,entry_signal_date,2023-06-30,2023-06-02,STRUCTURAL
005930,1,entry_execution_date,2023-07-03,2023-06-05,STRUCTURAL
005930,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20230630.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230602.csv,STRUCTURAL
005930,1,fast_score,82.05,79.3,NUMERIC
005930,1,investability_avg_trading_value_20d,896696805614.25,931146264818.6,NUMERIC
005930,1,holding_weeks,152.0,155.8,NUMERIC
006730,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
006800,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
007340,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
007660,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
008060,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
008930,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
009160,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
009450,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
009680,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250328.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,STRUCTURAL
009970,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250328.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250328.csv,STRUCTURAL
010130,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
010660,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
011560,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
011780,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20240927.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20240927.csv,STRUCTURAL
012330,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
012750,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
013890,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
014620,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
