ticker,trade_sequence,column,authority,production,kind
013890,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
014620,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
014830,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
015230,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
015860,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
016090,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20241227.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20241227.csv,STRUCTURAL
017940,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20250627.csv,STRUCTURAL
018260,1,entry_signal_date,2025-06-27,2023-09-01,STRUCTURAL
018260,1,entry_execution_date,2025-06-30,2023-09-04,STRUCTURAL
018260,1,daily_risk,ELEVATED,NORMAL,STRUCTURAL
018260,1,investability_market_cap_source_file,artifacts/investability/history/source/krx_market_cap_20250627.csv,artifacts/patterns/pattern_a/validation/investability_history/source/krx_market_cap_20230901.csv,STRUCTURAL
018260,1,loss_guard_triggered,false,true,STRUCTURAL
018260,1,loss_guard_signal_date,<NULL>,2025-01-24,STRUCTURAL
018260,1,loss_guard_execution_date,<NULL>,2025-01-31,STRUCTURAL
018260,1,exit_type,NO_EXIT_BEFORE_CUTOFF,LOSS_GUARD_CLOSE_LE_NEG_15,STRUCTURAL
018260,1,exit_signal_date,<NULL>,2025-01-24,STRUCTURAL
