date,cash,invested_market_value,equity,position_count,cash_ratio,invested_ratio,high_water_mark,drawdown_pct
2023-04-06,324.0,169879266.0,169879590.0,46,1.907233235022524e-06,0.999998092766765,202469047.0,-16.096019358455315
2023-04-07,324.0,170895782.0,170896106.0,46,1.8958887220051695e-06,0.999998104111278,202469047.0,-15.593959406545732
2023-04-10,324.0,169435940.0,169436264.0,46,1.9122234659281677e-06,0.9999980877765341,202469047.0,-16.31497924717352
2023-04-11,324.0,171163786.0,171164110.0,46,1.8929201922061815e-06,0.9999981070798077,202469047.0,-15.461591519221207
2023-04-12,324.0,171758319.0,171758643.0,46,1.8863679541296795e-06,0.9999981136320458,202469047.0,-15.167950091650306
2023-04-13,324.0,172573385.0,172573709.0,46,1.8774586342117732e-06,0.9999981225413658,202469047.0,-14.765386829721184
2023-04-14,324.0,173906082.0,173906406.0,46,1.8630711050402594e-06,0.9999981369288949,202469047.0,-14.107164242245872
2023-04-17,324.0,175033662.0,175033986.0,46,1.8510690832350696e-06,0.9999981489309168,202469047.0,-13.550249485789301
2023-04-18,324.0,173509945.0,173510269.0,46,1.8673246365608482e-06,0.9999981326753634,202469047.0,-14.30281735854666
2023-04-19,324.0,174611103.0,174611427.0,46,1.855548663490391e-06,0.9999981444513365,202469047.0,-13.758952498057642
2023-04-20,324.0,172721234.0,172721558.0,46,1.8758515367259482e-06,0.9999981241484632,202469047.0,-14.692363815986154
2023-04-21,324.0,172938373.0,172938697.0,46,1.8734962482110062e-06,0.9999981265037517,202469047.0,-14.585118287241205
2023-04-24,324.0,169992504.0,169992828.0,46,1.9059627621466477e-06,0.9999980940372378,202469047.0,-16.040090809534945
2023-04-25,324.0,168317309.0,168317633.0,46,1.924932012322203e-06,0.9999980750679877,202469047.0,-16.8674740687647
2023-04-26,324.0,168756189.0,168756513.0,46,1.9199258993932876e-06,0.9999980800741006,202469047.0,-16.650710071253506
2023-04-27,324.0,169223146.0,169223470.0,46,1.914628035933786e-06,0.9999980853719641,202469047.0,-16.420078768879666
2023-04-28,324.0,169214079.0,169214403.0,46,1.914730627274086e-06,0.9999980852693727,202469047.0,-16.424556984258444
2023-05-02,324.0,170926520.0,170926844.0,46,1.895547781833496e-06,0.9999981044522182,202469047.0,-15.578777826716394
2023-05-03,324.0,170595295.0,170595619.0,46,1.8992281390297602e-06,0.999998100771861,202469047.0,-15.742370733833699
2023-05-04,324.0,170306542.0,170306866.0,46,1.9024482547873319e-06,0.9999980975517452,202469047.0,-15.884986607360286
2023-05-08,324.0,172194603.0,172194927.0,46,1.8815885325123427e-06,0.9999981184114675,202469047.0,-14.952468265433183
2023-05-09,324.0,171720353.0,171720677.0,46,1.8867850142472942e-06,0.9999981132149858,202469047.0,-15.186701599874674
2023-05-10,324.0,171258563.0,171258887.0,46,1.8918726243970042e-06,0.9999981081273756,202469047.0,-15.414780907226778
2023-05-11,324.0,172634018.0,172634342.0,46,1.8767992292055076e-06,0.9999981232007707,202469047.0,-14.735440030001223
2023-05-12,324.0,172559721.0,172560045.0,46,1.8776072989549812e-06,0.999998122392701,202469047.0,-14.772135515607976
2023-05-15,324.0,170856160.0,170856484.0,46,1.8963283828315231e-06,0.9999981036716171,202469047.0,-15.613528817567857
2023-05-16,324.0,170407857.0,170408181.0,46,1.901317167395854e-06,0.9999980986828326,202469047.0,-15.834946859803212
2023-05-17,324.0,171944784.0,171945108.0,46,1.8843222919723891e-06,0.999998115677708,202469047.0,-15.075854532964739
2023-05-18,324.0,174325316.0,174325640.0,46,1.8585906238462683e-06,0.9999981414093762,202469047.0,-13.900103456307566
2023-05-19,324.0,175399003.0,175399327.0,46,1.8472134730596772e-06,0.9999981527865269,202469047.0,-13.369806595671886
2023-05-22,324.0,177459709.0,177460033.0,46,1.8257632128356473e-06,0.9999981742367872,202469047.0,-12.352018429760282
2023-05-23,324.0,176643103.0,176643427.0,46,1.8342035449753814e-06,0.9999981657964551,202469047.0,-12.755342301779093
2023-05-24,324.0,177244627.0,177244951.0,46,1.8279787275858708e-06,0.9999981720212724,202469047.0,-12.458248000742556
2023-05-25,324.0,176020279.0,176020603.0,46,1.8406936147128186e-06,0.9999981593063852,202469047.0,-13.062956729380959
2023-05-26,324.0,174524679.0,174525003.0,46,1.856467522879802e-06,0.9999981435324771,202469047.0,-13.801637541169443
2023-05-30,324.0,174331111.0,174331435.0,46,1.858528841915401e-06,0.9999981414711581,202469047.0,-13.897241290418084
2023-05-31,324.0,174636903.0,174637227.0,46,1.8552745343351106e-06,0.9999981447254657,202469047.0,-13.746209809541899
2023-06-01,324.0,175482797.0,175483121.0,46,1.8463314201027915e-06,0.9999981536685799,202469047.0,-13.328420516544437
2023-06-02,324.0,176304107.0,176304431.0,46,1.8377303290806117e-06,0.9999981622696709,202469047.0,-12.922773326433445
2023-06-05,324.0,176641597.0,176641921.0,46,1.834219182885811e-06,0.9999981657808171,202469047.0,-12.7560861191785
2023-06-07,324.0,178789326.0,178789650.0,46,1.81218543690868e-06,0.9999981878145631,202469047.0,-11.695317062464373
2023-06-08,324.0,179454671.0,179454995.0,46,1.8054666018073221e-06,0.9999981945333982,202469047.0,-11.366701400041656
2023-06-09,324.0,180763792.0,180764116.0,46,1.7923911402858298e-06,0.9999982076088597,202469047.0,-10.720123061575926
2023-06-12,324.0,181733262.0,181733586.0,46,1.7828295095657222e-06,0.9999982171704904,202469047.0,-10.241299254004
2023-06-13,324.0,184458481.0,184458805.0,46,1.756489748483408e-06,0.9999982435102516,202469047.0,-8.895306352679178
2023-06-14,324.0,184535060.0,184535384.0,46,1.7557608355479402e-06,0.9999982442391645,202469047.0,-8.857483781212249
2023-06-15,324.0,185245636.0,185245960.0,46,1.7490259976519865e-06,0.9999982509740023,202469047.0,-8.506528407771885
2023-06-16,324.0,186484050.0,186484374.0,46,1.7374109854373106e-06,0.9999982625890146,202469047.0,-7.89487244437912
2023-06-19,324.0,185457510.0,185457834.0,46,1.747027844615073e-06,0.9999982529721554,202469047.0,-8.401883276508926
2023-06-20,324.0,184612977.0,184613301.0,46,1.7550198075923033e-06,0.9999982449801924,202469047.0,-8.819000367992047
2023-06-21,324.0,183239975.0,183240299.0,46,1.7681700028223596e-06,0.9999982318299971,202469047.0,-9.497129702003292
2023-06-22,324.0,182913488.0,182913812.0,46,1.7713260494510934e-06,0.9999982286739505,202469047.0,-9.658382498338124
2023-06-23,324.0,183218796.0,183219120.0,46,1.7683743923669103e-06,0.9999982316256076,202469047.0,-9.507590066347282
2023-06-26,324.0,183491940.0,183492264.0,46,1.765742015151113e-06,0.9999982342579848,202469047.0,-9.372683519372716
