ticker,candidate_rank,rcept_no,report_nm,rcept_dt,event_match_score,selection_status,rejection_reason
003670,22,20210125000433,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,23,20210125000424,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,24,20210125000417,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,25,20210125000404,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,26,20210125000399,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,27,20210125000397,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,28,20210125000391,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,29,20210125000384,임원ㆍ주요주주특정증권등소유상황보고서,20210125,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,30,20210122800240,최대주주등소유주식변동신고서,20210122,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,31,20210122000014,임원ㆍ주요주주특정증권등소유상황보고서,20210122,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
003670,32,20210121800246,유상증자또는주식관련사채등의발행결과(자율공시),20210121,100,SELECTED,
028260,1,20150921800362,기타경영사항(자율공시),20150921,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,2,20150911000225,임원ㆍ주요주주특정증권등소유상황보고서,20150911,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,3,20150910000139,임원ㆍ주요주주특정증권등소유상황보고서,20150910,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,4,20150910000086,임원ㆍ주요주주특정증권등소유상황보고서,20150910,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,5,20150909000327,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,6,20150909000308,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,7,20150909000307,주식등의대량보유상황보고서(일반),20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,8,20150909000288,주식등의대량보유상황보고서(일반),20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,9,20150909000276,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,10,20150909800388,최대주주등소유주식변동신고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,11,20150909000259,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,12,20150909000246,주식등의대량보유상황보고서(일반),20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,13,20150909000241,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,14,20150909000230,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,15,20150909000225,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,16,20150909000193,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,17,20150909000167,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,18,20150909000143,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,19,20150909000136,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,20,20150909000113,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,21,20150909000110,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,22,20150909000105,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,23,20150909000099,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,24,20150909000079,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,25,20150909000078,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,26,20150909000073,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,27,20150909000071,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,28,20150909000066,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,29,20150909000055,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,30,20150909000050,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
028260,31,20150909000046,임원ㆍ주요주주특정증권등소유상황보고서,20150909,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
