ticker,name,raw_market,market,close,volume,trading_value,market_cap,shares_outstanding,effective_date
097955,CJ제일제당 우,KOSPI,KOSPI,154200,1416,219045300,204690168600,1327433,2024-06-28
051500,CJ프레시웨이,KOSDAQ,KOSDAQ,20450,13433,273164500,242773933700,11871586,2024-06-28
058820,CMG제약,KOSDAQ,KOSDAQ,2135,185472,394630215,296534940940,138892244,2024-06-28
023460,CNH,KOSDAQ,KOSDAQ,2435,349015,853563940,90582000000,37200000,2024-06-28
056730,CNT85,KOSDAQ,KOSDAQ,897,16104,14352458,66477733842,74111186,2024-06-28
000480,CR홀딩스,KOSPI,KOSPI,6140,18429,112849050,287907608600,46890490,2024-06-28
065770,CS,KOSDAQ,KOSDAQ,1226,17254,21000846,23798045380,19411130,2024-06-28
083660,CSA 코스믹,KOSDAQ,KOSDAQ,1202,12566,15143288,73619111562,61247181,2024-06-28
000590,CS홀딩스,KOSPI,KOSPI,70000,290,20265200,80813740000,1154482,2024-06-28
012030,DB,KOSPI,KOSPI,1347,838898,1121268146,270981287751,201173933,2024-06-28
456440,DB금융스팩11호,KOSDAQ,KOSDAQ,2245,16302,36491690,11932175000,5315000,2024-06-28
477760,DB금융스팩12호,KOSDAQ,KOSDAQ,2070,46366,95998785,12088800000,5840000,2024-06-28
016610,DB금융투자,KOSPI,KOSPI,4345,52835,228137020,184429560205,42446389,2024-06-28
005830,DB손해보험,KOSPI,KOSPI,114500,175295,19927996000,8106600000000,70800000,2024-06-28
000990,DB하이텍,KOSPI,KOSPI,48900,862740,41776705900,2171090953200,44398588,2024-06-28
139130,DGB금융지주,KOSPI,KOSPI,8020,556206,4430370350,1356549580660,169145833,2024-06-28
060900,DGP,KOSDAQ,KOSDAQ,1200,54717,64688159,30309874800,25258229,2024-06-28
290120,DH오토리드,KOSDAQ,KOSDAQ,3010,14027,42128975,46700565380,15515138,2024-06-28
025440,DH오토웨어,KOSDAQ,KOSDAQ,403,76583,30737065,62024166360,153906120,2024-06-28
001530,DI동일,KOSPI,KOSPI,28700,237067,6766765200,723689786400,25215672,2024-06-28
000210,DL,KOSPI,KOSPI,59100,62451,3675908000,1238492744400,20955884,2024-06-28
000215,DL우,KOSPI,KOSPI,27600,6890,186906600,46536774000,1686115,2024-06-28
375500,DL이앤씨,KOSPI,KOSPI,32400,164313,5351685650,1253673385200,38693623,2024-06-28
37550L,DL이앤씨2우(전환),KOSPI,KOSPI,23000,11849,272279800,48574873000,2111951,2024-06-28
37550K,DL이앤씨우,KOSPI,KOSPI,17470,19154,336439210,36929570950,2113885,2024-06-28
068790,DMS,KOSDAQ,KOSDAQ,6450,57478,367653840,158496243450,24573061,2024-06-28
007340,DN오토모티브,KOSPI,KOSPI,79600,4885,388361000,795522798000,9994005,2024-06-28
004840,DRB동일,KOSPI,KOSPI,5160,26159,135906600,102838800000,19930000,2024-06-28
241520,DSC인베스트먼트,KOSDAQ,KOSDAQ,3345,141662,469701850,91974538125,27496125,2024-06-28
155660,DSR,KOSPI,KOSPI,4300,10374,44193605,68800000000,16000000,2024-06-28
069730,DSR제강,KOSPI,KOSPI,4490,52954,238386915,64656000000,14400000,2024-06-28
017860,DS단석,KOSPI,KOSPI,120000,274248,34515744600,703368480000,5861404,2024-06-28
180400,DXVX,KOSDAQ,KOSDAQ,2410,53385,129353550,72828831120,30219432,2024-06-28
017940,E1,KOSPI,KOSPI,77000,11027,843326900,528220000000,6860000,2024-06-28
245620,EDGC,KOSDAQ,KOSDAQ,415,0,0,57474989665,138493951,2024-06-28
