case_type,rank,ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,identity_effective_from,identity_effective_to,entry_signal_date,entry_execution_date,entry_open,v2_exit_category,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_giveback,v3_exit_reason,v3_terminal_return,v3_strategy_path_mfe,v3_strategy_path_mae,v3_holding_days,v3_giveback,full_path_raw_mfe,full_path_mfe_cohort,return_delta_v3_minus_v2
WINNER_PRESERVATION_LARGEST_DELTA,8,174900,앱클론,KOSDAQ,KR7174900001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_174900_KR7174900001_KOSDAQ_01,1,2017-09-18,2026-08-21,2025-10-17,2025-10-20,19490.0,EXIT3,0.82,391.53,-16.62,194,390.71,HARD_EXIT,207.85,391.53,-14.32,111,183.68,391.53412,WINNER_CAPABLE_GE_20,207.03
WINNER_PRESERVATION_LARGEST_DELTA,9,140410,메지온,KOSDAQ,KR7140410002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_140410_KR7140410002_KOSDAQ_04,4,2012-01-20,2026-08-21,2025-04-25,2025-04-28,39200.0,OPEN_AT_CUTOFF,60.2,358.93,-9.44,321,298.73,HARD_EXIT,222.96,358.93,-9.44,206,135.97,358.928571,WINNER_CAPABLE_GE_20,162.76
WINNER_PRESERVATION_LARGEST_DELTA,10,095340,ISC,KOSDAQ,KR7095340006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095340_KR7095340006_KOSDAQ_01,1,2010-01-04,2026-08-21,2025-01-03,2025-01-06,72000.0,LOSS_GUARD,-14.17,12.08,-17.64,18,26.25,HARD_EXIT,146.25,306.25,-40.56,345,160.0,306.25,WINNER_CAPABLE_GE_20,160.42
WINNER_ACTIVATION_LARGEST_GIVEBACK,1,006800,미래에셋증권,KOSPI,KR7006800007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006800_KR7006800007_KOSPI_02,2,2010-01-04,2026-08-21,2024-09-13,2024-09-19,8752.0,EXIT4,112.51,188.39,-9.91,211,75.88,HARD_EXIT,483.87,903.2,-9.91,416,419.33,903.199269,WINNER_CAPABLE_GE_20,371.36
WINNER_ACTIVATION_LARGEST_GIVEBACK,2,006800,미래에셋증권,KOSPI,KR7006800007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_006800_KR7006800007_KOSPI_01,1,2010-01-04,2026-08-21,2024-02-16,2024-02-19,8911.0,LOSS_GUARD,-16.65,2.79,-17.1,39,19.44,HARD_EXIT,473.45,885.3,-26.26,559,411.85,885.299069,WINNER_CAPABLE_GE_20,490.1
WINNER_ACTIVATION_LARGEST_GIVEBACK,3,095610,테스,KOSDAQ,KR7095610002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_095610_KR7095610002_KOSDAQ_02,2,2010-01-04,2026-08-21,2025-03-14,2025-03-17,24000.0,LOSS_GUARD,-23.25,2.29,-23.25,16,25.54,HARD_EXIT,486.67,885.42,-28.21,322,398.75,885.416667,WINNER_CAPABLE_GE_20,509.92
WINNER_ACTIVATION_LARGEST_GIVEBACK,4,089030,테크윙,KOSDAQ,KR7089030001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_089030_KR7089030001_KOSDAQ_01,1,2011-11-10,2026-08-21,2023-12-01,2023-12-04,9940.0,EXIT3,222.94,612.27,-10.06,424,389.33,HARD_EXIT,321.53,612.27,-10.06,166,290.74,644.466801,WINNER_CAPABLE_GE_20,98.59
WINNER_ACTIVATION_LARGEST_GIVEBACK,5,036930,주성엔지니어링,KOSDAQ,KR7036930006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_036930_KR7036930006_KOSDAQ_01,1,2010-01-04,2026-08-21,2025-03-21,2025-03-24,41950.0,LOSS_GUARD,-14.9,1.79,-18.83,12,16.69,HARD_EXIT,297.85,574.61,-37.9,308,276.76,574.612634,WINNER_CAPABLE_GE_20,312.75
WINNER_ACTIVATION_LARGEST_GIVEBACK,6,298040,효성중공업,KOSPI,KR7298040007,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_298040_KR7298040007_KOSPI_02,2,2018-07-13,2026-08-21,2022-12-02,2022-12-05,80200.0,LOSS_GUARD,-15.71,7.23,-16.08,34,22.94,HARD_EXIT,236.03,484.79,-20.32,411,248.76,5812.718204,WINNER_CAPABLE_GE_20,251.74
WINNER_ACTIVATION_LARGEST_GIVEBACK,7,032190,다우데이타,KOSDAQ,KR7032190001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_032190_KR7032190001_KOSDAQ_01,1,2010-01-04,2026-08-21,2022-10-28,2022-10-31,15250.0,EXIT4,218.36,260.66,-0.66,85,42.3,HARD_EXIT,40.0,260.66,-0.66,123,220.66,260.655738,WINNER_CAPABLE_GE_20,-178.36
